image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,survival_weight,gain_weight,phase_channels,spectral_floor,floor_gate,floor_r_min,floor_r_max,floor_survival,theta_budget,coarsen,warp_grid,flow_tau,flow_eps,flow_neighbourhood,update,step_size,saturate_at,warp_init_std,disp_field_grid,dct_mode,dct_qd,dct_pairing,dct_gate,dct_plane_weight,manifold_weight,manifold_t,manifold_only,manifold_balance,defense_steps,loss,ig_zt,ig_t_min,ig_t_max,ig_samples,gain_ratio,purify_aware,eot_qualities,eot_sigmas,eot_fractions,eot_classes,linf_deliver,consistency_weight,consistency_decay,latent_norm_weight,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,resumed,stop_reason,stopped_at,best_eval,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,warp,instruct-pix2pix,turn the color of potted plant to pink,,16.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,none,shared,rgb,0.0,uniform,,,none,0.0,1,512,0.0,,,lbfgs,0.02,0.25,1.5,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,2000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.5 1.0 1.5 2.0,0.05 0.1 0.15 0.2,identity jpeg blur crop,0.0,0.0,0.0,0.0,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0,early_stop,1101,89.88253784,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41841,0.86149,19.55,0.20022,0.23167,0.41838,0.73115,16.451,0.15569,0.23473,0.89919,0.10532,0.90791,0.82477,True,0.837,732.0
task_attr_mod_color_6205,warp,instruct-pix2pix,turn the color of toolbox to red,,16.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,none,shared,rgb,0.0,uniform,,,none,0.0,1,512,0.0,,,lbfgs,0.02,0.25,1.5,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,2000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.5 1.0 1.5 2.0,0.05 0.1 0.15 0.2,identity jpeg blur crop,0.0,0.0,0.0,0.0,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0,early_stop,1101,87.68283081,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.68089,0.32417,13.459,0.00981,0.43384,0.67193,0.34756,14.037,0.01254,0.43679,0.99216,0.21234,0.74147,0.6008,True,0.837,799.6
