image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_175843,dct_shield,instruct-pix2pix,turn the color of cap to be pink,,1.0,False,100,7.5,1.5,20260812,False,0.53481,0.79968,29.79,0.39918,0.06297,0.64377,0.60068,8.7,0.22255,0.43544,0.22393,0.0324,552.5
task_attr_mod_color_6065,dct_shield,instruct-pix2pix,turn the color of lantern to red,,1.0,False,100,7.5,1.5,20260812,False,0.49245,0.80169,29.34,0.4096,0.07538,0.57725,0.29321,12.871,0.18517,0.4749,0.32669,0.03412,552.3
task_env_weather_132698,dct_shield,instruct-pix2pix,transform the setting to a winter scene,,1.0,False,100,7.5,1.5,20260812,False,0.49954,0.88649,29.495,0.53003,0.04534,0.55204,0.61432,15.826,0.19442,0.34166,0.23585,0.03352,554.4
task_env_weather_231482,dct_shield,instruct-pix2pix,change the setting to a snowy scene,,1.0,False,100,7.5,1.5,20260812,False,0.42895,0.88036,29.345,0.5107,0.04773,0.74732,0.52449,12.166,0.15164,0.44325,0.26661,0.0341,552.3
task_env_weather_97868,dct_shield,instruct-pix2pix,change the setting to a cloudy day,,1.0,False,100,7.5,1.5,20260812,False,0.494,0.79974,29.756,0.4112,0.05728,0.62254,0.30641,13.702,0.04376,0.44261,0.21469,0.03253,553.8
task_obj_add_39816,dct_shield,instruct-pix2pix,Add palm trees,,1.0,False,100,7.5,1.5,20260812,False,0.48759,0.84806,29.478,0.49088,0.04142,0.65783,0.3554,11.425,0.07069,0.34677,0.24209,0.03358,553.7
task_obj_add_685213,dct_shield,instruct-pix2pix,Add yellow tag,,1.0,False,100,7.5,1.5,20260812,False,0.37304,0.91058,28.905,0.55315,0.03432,0.73714,0.31642,11.68,0.35396,0.44434,0.26134,0.03587,552.2
task_obj_remove_228800,dct_shield,instruct-pix2pix,Remove bear,,1.0,False,100,7.5,1.5,20260812,False,0.50208,0.87928,29.48,0.50308,0.0396,0.63578,0.26677,9.345,0.07609,0.38714,0.24323,0.03357,551.7
task_obj_remove_499725,dct_shield,instruct-pix2pix,Remove the road,,1.0,False,100,7.5,1.5,20260812,False,0.37967,0.8996,29.147,0.56023,0.03051,0.56594,0.56846,17.733,0.23427,0.2978,0.28485,0.03488,553.4
task_obj_remove_899279,dct_shield,instruct-pix2pix,Remove moth's body,,1.0,False,100,7.5,1.5,20260812,False,0.5506,0.85441,29.415,0.45004,0.04343,0.8229,0.19765,12.513,0.0336,0.48531,0.2305,0.03382,552.2
task_obj_swap_joint_mask_718058,dct_shield,instruct-pix2pix,Replace the mechanical hand with right hand,,1.0,False,100,7.5,1.5,20260812,False,0.50651,0.85578,29.893,0.51011,0.04689,0.68723,0.28349,9.872,0.08939,0.33688,0.24628,0.03201,553.8
task_obj_swap_rand_mask_401099,dct_shield,instruct-pix2pix,Replace the pizza box with clipboard,,1.0,False,100,7.5,1.5,20260812,False,0.4898,0.87979,29.289,0.52229,0.05827,0.81871,0.24302,9.589,0.0423,0.32562,0.29143,0.03432,554.0
