pair,run_s,run_p,purify,strength,s_net,p_net,s_retention,p_retention,s_over_p,s_dsiglip,p_dsiglip
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,blur,0.5,0.039477707197268806,0.018160189191500347,0.8085556107987619,0.3310949929614799,2.173859907568907,0.00497021246701479,0.0010800633269051711
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,blur,1.0,0.010956784089406332,0.002769028147061666,0.22440941687750798,0.05048468081437303,3.9569060000466387,0.011247944552451372,0.007444193586707115
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,blur,1.5,0.004743759830792745,0.0016519427299499512,0.09715846992589827,0.03011807645712965,2.871624872211197,0.008475624490529299,0.0067327250726521015
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,blur,2.0,0.0017375747362772624,0.00130842129389445,0.035587826698718635,0.023855023454017358,1.32799331865462,0.001957743273427089,0.0026326912144819894
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,blur,3.0,0.0006106048822402954,0.0009945780038833618,0.012505994865645704,0.018133059833403558,0.6139336279871151,-0.0030992721828321614,-0.003990208885322015
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,jpeg,30.0,0.008668390413125357,0.00149166335662206,0.17754009041365,0.027195876835514134,5.811224345388039,0.013242298737168312,0.0019169856483737628
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,jpeg,45.0,0.014357994000116983,0.012500224014123281,0.29407069034173067,0.22790299915543644,1.1486189354602538,0.005106812808662653,0.0023469552397727966
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,jpeg,60.0,0.004907470196485519,0.0073504311343034106,0.1005114745486178,0.1340124223934346,0.6676438574579738,0.005536460783332586,0.0011654185752073924
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,jpeg,75.0,0.010656438767910004,0.006573731700579326,0.21825794780511426,0.11985170573843289,1.6210638421660684,0.0131868834917744,0.004225388790170352
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,jpeg,85.0,0.02532614270846049,0.013686267038186392,0.5187128696327276,0.24952683261681816,1.8504784860471737,0.013996521942317486,0.005474522244185209
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,jpeg,95.0,0.03375652804970741,0.026754247024655342,0.6913783016650218,0.48778110937654356,1.261725961437043,0.002505624977250894,-0.0008624152590831121
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,noise,0.0,0.048824974646170936,0.054848878954847656,1.0,1.0,0.8901726995434915,-0.0003041856301327546,-0.002514217204103867
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,noise,0.01,0.022683733453353245,0.03392485994845629,0.4645928363043646,0.618515101765046,0.6686463404069394,0.0015733338271578152,0.003027840362240871
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,noise,0.02,0.019139550626277924,0.019171543419361115,0.3920032885829451,0.3495339154541953,0.9983312353949092,0.007982848677784204,0.005374922106663386
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,noise,0.04,0.015579121808211008,0.006674436231454213,0.3190810014979248,0.1216877420037828,2.334147974145325,0.015252122034629187,0.016739274996022385
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,noise,0.08,0.0078033556540807085,0.0014142592748006184,0.15982303545738105,0.02578465233473333,5.517627349610857,0.02162436597670118,0.015933626797050238
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,quantize,8.0,0.00630920132001241,-0.004283495247364044,0.12922078026121833,-0.07809631352520943,-1.4729096113495013,0.027049484973152477,0.0287846801802516
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,quantize,16.0,0.035502598931392036,-0.0025665325423081717,0.7271401406488247,-0.04679279852594574,-13.832904257455203,0.01313941196228067,0.016858767562856276
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,quantize,32.0,0.024531024197737377,0.022683560227354366,0.5024277918321706,0.41356470104024884,1.0814450620566667,0.010313559168328842,0.0002162156937023004
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,quantize,64.0,0.032226765217880406,0.04451591242104769,0.660046737380288,0.8116102510990935,0.7239381035946864,0.0019572762151559195,-0.00021076621487736702
E15 τ=0.02（舊約束）,e15_S_tau0.02,e15_P_tau0.02,quantize,256.0,0.047744029503018974,0.05529952048356465,0.9778608150647194,1.0082160572340588,0.8633714919319921,0.0006264739980300268,-0.0018777136380473773
E15 τ=0.05（舊約束）,e15_S_tau0.05,e15_P_tau0.05,blur,0.5,0.08571068570017815,0.03526292617122332,0.8160618910359304,0.4122103269305462,2.430617507010046,0.012008358569194874,0.0033738231286406517
E15 τ=0.05（舊約束）,e15_S_tau0.05,e15_P_tau0.05,blur,1.0,0.017222310105959576,0.0037965824206670127,0.1639757147929033,0.044380618705405134,4.536266620265767,0.013264114813258251,0.0086830483439068
E15 τ=0.05（舊約束）,e15_S_tau0.05,e15_P_tau0.05,blur,1.5,0.00976310670375824,0.004562045137087504,0.09295572954490969,0.05332858958725236,2.1400723601764255,0.007490231500317653,0.0083372644148767
E15 τ=0.05（舊約束）,e15_S_tau0.05,e15_P_tau0.05,blur,2.0,0.003673324982325236,0.0048914700746536255,0.03497417512154645,0.05717944304603368,0.7509654411174848,-0.0002179193931321303,0.0019137652901311715
E15 τ=0.05（舊約束）,e15_S_tau0.05,e15_P_tau0.05,blur,3.0,0.0009048630793889364,0.002738143006960551,0.00861531172761573,0.03200786056725143,0.3304659680260349,-0.003984704768906037,-0.0032684841814140477
