image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.02349,0.99382,37.857,0.78712,0.01998,0.04788,0.97353,29.113,0.60961,0.03168,0.15569,0.0128,37.1
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.04846,0.98348,35.489,0.72318,0.0297,0.0875,0.94695,26.763,0.52299,0.04653,0.16986,0.01681,37.2
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.02754,0.99048,32.739,0.70357,0.01408,0.06518,0.93271,25.205,0.51128,0.04535,0.21119,0.02307,37.4
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.04225,0.99629,46.304,0.85597,0.02904,0.05362,0.9865,36.645,0.74823,0.03591,0.11307,0.00484,37.4
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.0239,0.98972,37.816,0.80879,0.03016,0.04573,0.97039,31.705,0.68418,0.03389,0.16999,0.01286,37.4
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.04572,0.98301,35.922,0.72259,0.03323,0.14333,0.87899,24.164,0.4431,0.06517,0.16562,0.01599,37.5
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.02363,0.98536,36.497,0.74413,0.01906,0.07518,0.95469,30.143,0.51386,0.02682,0.11891,0.01497,37.4
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.0388,0.98007,35.652,0.69735,0.03343,0.08141,0.94694,31.508,0.58879,0.04052,0.16655,0.0165,37.5
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.03361,0.99032,32.133,0.71299,0.01474,0.15273,0.85521,22.241,0.37141,0.06792,0.23015,0.02474,37.4
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.02877,0.99388,35.874,0.75901,0.02049,0.06635,0.96203,27.507,0.50227,0.03702,0.18955,0.01608,37.4
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.0365,0.98957,35.018,0.73118,0.02695,0.1084,0.90318,25.177,0.37156,0.04759,0.1764,0.01775,37.4
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.02139,0.99365,38.202,0.81599,0.02309,0.05561,0.95807,26.465,0.63969,0.04776,0.14137,0.0123,37.5
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.06267,0.98635,35.841,0.7635,0.02104,0.13335,0.90058,23.863,0.47002,0.06264,0.16212,0.01614,37.5
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.0427,0.97779,37.494,0.72839,0.04383,0.07197,0.95208,33.495,0.62062,0.04012,0.16085,0.01334,37.5
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.0179,0.99397,36.147,0.82289,0.01201,0.04586,0.96938,28.5,0.65636,0.01569,0.17237,0.01558,37.5
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.05453,0.98929,34.216,0.76625,0.01705,0.24044,0.68975,15.726,0.20081,0.16075,0.19627,0.01946,37.4
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.0599,0.98204,37.912,0.77249,0.0523,0.11134,0.95252,31.794,0.52857,0.05873,0.15143,0.01272,37.5
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.05416,0.98913,37.914,0.79159,0.03962,0.12102,0.90663,24.635,0.46778,0.04299,0.16981,0.01271,37.5
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.03519,0.98178,33.118,0.72196,0.01921,0.08163,0.92745,25.994,0.48326,0.02828,0.29412,0.02209,37.4
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.03667,0.98726,40.351,0.82769,0.02938,0.155,0.8833,23.37,0.59508,0.09228,0.0936,0.0096,37.6
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.13519,0.98643,36.291,0.69965,0.02882,0.17668,0.87293,22.158,0.29145,0.17899,0.17691,0.01533,37.4
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.03372,0.98631,34.594,0.73602,0.01327,0.1267,0.88696,23.298,0.47661,0.07386,0.17286,0.01863,37.5
task_obj_swap_joint_mask_75733,phase,instruct-pix2pix,Replace the snowy landscape with sea,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.09057,0.9697,35.294,0.64397,0.06601,0.14123,0.92103,29.889,0.40484,0.08493,0.14926,0.01719,37.5
task_obj_swap_rand_mask_298147,phase,instruct-pix2pix,Replace the wizard's robe with red shirt,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.09198,0.98519,36.412,0.75849,0.02413,0.16369,0.87001,23.371,0.37859,0.05688,0.19273,0.01512,37.5
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.2,False,0.0,0.06,100,7.5,1.5,20260812,False,0.03806,0.98901,37.588,0.78481,0.01577,0.06888,0.93963,27.325,0.55123,0.02887,0.20901,0.0132,37.4
