image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,warp_rand,instruct-pix2pix,turn the color of potted plant to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.09919,0.83748,20.399,0.25308,0.02732,0.12169,0.81623,19.541,0.23774,0.03139,0.8974,0.09551,0.99247,0.9898,False,0.837,59.2
task_attr_mod_color_136767,warp_rand,instruct-pix2pix,turn the color of astronaut to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.08809,0.84784,21.323,0.27861,0.02855,0.11233,0.82601,21.229,0.2644,0.04189,0.9092,0.08587,0.99609,0.99652,False,0.837,46.7
task_attr_mod_color_184837,warp_rand,instruct-pix2pix,turn the color of frame to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.1303,0.75054,18.433,0.21014,0.06911,0.15513,0.72497,18.625,0.19942,0.09819,0.86568,0.11977,0.98879,0.96826,False,0.837,46.8
task_attr_mod_color_32648,warp_rand,instruct-pix2pix,turn the color of potion bottle to orange,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.0722,0.96302,31.451,0.41674,0.0434,0.07887,0.96576,31.375,0.55461,0.05478,0.78134,0.02676,0.99374,0.99092,False,0.837,46.8
task_attr_mod_color_6205,warp_rand,instruct-pix2pix,turn the color of toolbox to red,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.09607,0.87181,24.351,0.33094,0.04365,0.12705,0.83975,22.136,0.32958,0.08198,0.8222,0.06059,0.99,0.98601,False,0.837,46.8
task_env_weather_112463,warp_rand,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.09851,0.88088,25.331,0.37049,0.0474,0.16482,0.80784,22.412,0.29559,0.0579,0.81593,0.05413,0.9801,0.97572,False,0.837,46.8
task_env_weather_246440,warp_rand,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.11756,0.67995,15.892,0.18509,0.03506,0.28353,0.63515,18.485,0.1503,0.08256,0.985,0.16046,0.98871,0.97921,False,0.837,46.7
task_env_weather_63722,warp_rand,instruct-pix2pix,change the setting to a snowy landscape,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.15918,0.81098,19.773,0.20473,0.08631,0.18916,0.7925,19.184,0.18247,0.09078,0.77631,0.10265,0.96766,0.96623,False,0.837,46.9
task_obj_add_40931,warp_rand,instruct-pix2pix,Add the blood on snout,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.1532,0.79277,20.062,0.25263,0.06294,0.18968,0.75631,19.073,0.22489,0.095,0.89156,0.09928,0.98298,0.96671,False,0.837,47.0
task_obj_remove_380621,warp_rand,instruct-pix2pix,Remove iceberg,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.13187,0.80538,20.981,0.3197,0.08143,0.18123,0.76848,19.927,0.27417,0.07124,0.9956,0.08932,0.98559,0.98978,False,0.837,46.9
