image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,defense_steps,loss,gain_ratio,purify_aware,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25345,0.94943,26.226,0.50812,0.07067,0.26146,0.76343,19.345,0.36376,0.16481,0.69249,0.04883,0.90768,0.89177,False,0.837,185.2
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3057,0.92752,26.993,0.42361,0.11917,0.33208,0.67308,19.543,0.3021,0.23191,0.55149,0.0447,0.9605,0.94136,False,0.837,174.9
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.32077,0.87931,22.479,0.35562,0.16161,0.47692,0.4211,14.242,0.24852,0.31915,0.7309,0.07517,0.9351,0.80494,True,0.837,174.8
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36757,0.97982,36.175,0.49933,0.07385,0.32242,0.7129,16.629,0.78593,0.25934,0.67451,0.01553,0.91392,0.92768,False,0.837,174.4
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.21709,0.95482,30.161,0.56222,0.10375,0.38958,0.61495,11.135,0.45151,0.24856,0.54316,0.03104,0.94188,0.87685,False,0.837,174.2
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39204,0.92556,29.451,0.50536,0.06313,0.37812,0.63859,18.621,0.27894,0.17668,0.54591,0.03369,0.90121,0.90268,False,0.837,174.4
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40174,0.83985,20.216,0.28986,0.11044,0.47176,0.43221,16.115,0.11999,0.23611,0.97647,0.09754,0.91881,0.89969,False,0.837,174.4
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.32963,0.92999,25.29,0.4213,0.08057,0.34985,0.71065,19.004,0.26016,0.18311,0.64152,0.05439,0.91,0.89113,False,0.837,174.4
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44619,0.90347,25.835,0.41598,0.09898,0.42849,0.4669,16.312,0.26378,0.30643,0.58241,0.05108,0.90797,0.75469,True,0.837,174.4
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35828,0.94169,27.684,0.54073,0.08751,0.55932,0.53739,13.135,0.17204,0.30121,0.71113,0.04129,0.81172,0.79769,True,0.837,174.4
