image,condition,radius,step,loss,param_absmean,eval
task_attr_mod_color_11699,phase_gain,2.1,0,0.4220588505268097,0.0006137867817014009,0.15781719982624054
task_attr_mod_color_11699,phase_gain,2.1,100,0.10043153911828995,0.016588694343075618,0.15171872079372406
task_attr_mod_color_11699,phase_gain,2.1,200,0.11401382833719254,0.0319564357270275,0.14518189430236816
task_attr_mod_color_11699,phase_gain,2.1,300,0.0023130252957344055,0.045331750823942744,0.13990852236747742
task_attr_mod_color_11699,phase_gain,2.1,400,0.11711227148771286,0.05901653052123216,0.13552837073802948
task_attr_mod_color_11699,phase_gain,2.1,500,0.10806521773338318,0.07229294359663244,0.12875370681285858
task_attr_mod_color_11699,phase_gain,2.1,600,0.1031496524810791,0.08363335975569962,0.12207426130771637
task_attr_mod_color_11699,phase_gain,2.1,700,0.05516445264220238,0.09505182953358858,0.11636390537023544
task_attr_mod_color_11699,phase_gain,2.1,800,0.11543012410402298,0.10617087566350504,0.110502690076828
task_attr_mod_color_11699,phase_gain,2.1,900,0.001923606963828206,0.11663868071266968,0.10608608275651932
task_attr_mod_color_11699,phase_gain,2.1,1000,0.01773723028600216,0.12684654270361992,0.10114580392837524
task_attr_mod_color_11699,phase_gain,2.1,1100,0.08318200707435608,0.13703354779411764,0.0961202010512352
task_attr_mod_color_11699,phase_gain,2.1,1200,0.11844100803136826,0.14672440610859727,0.0923875942826271
task_attr_mod_color_11699,phase_gain,2.1,1300,0.10609403997659683,0.15638831632875044,0.08853991329669952
task_attr_mod_color_11699,phase_gain,2.1,1400,0.01698458380997181,0.16563329381308736,0.085453562438488
task_attr_mod_color_11699,phase_gain,2.1,1500,0.07494877278804779,0.17514492418639052,0.08223751187324524
task_attr_mod_color_11699,phase_gain,2.1,1600,0.08842168003320694,0.18438540125739644,0.07919681072235107
task_attr_mod_color_11699,phase_gain,2.1,1700,0.11157985031604767,0.1931743141968326,0.07664772868156433
task_attr_mod_color_11699,phase_gain,2.1,1800,0.0580059215426445,0.20185583585320221,0.07417456805706024
task_attr_mod_color_11699,phase_gain,2.1,1900,0.011378396302461624,0.21043641092716672,0.07176219671964645
task_attr_mod_color_11699,phase_gain,2.1,2000,0.02230216935276985,0.21889729676079012,0.06956127285957336
task_attr_mod_color_11699,phase_gain,2.1,2100,0.030863523483276367,0.2273239400234946,0.06728613376617432
task_attr_mod_color_11699,phase_gain,2.1,2200,0.007708770222961903,0.23583536373129133,0.06511055678129196
task_attr_mod_color_11699,phase_gain,2.1,2300,0.09257715940475464,0.24344787406456667,0.06328774243593216
task_attr_mod_color_11699,phase_gain,2.1,2400,0.0015510821249336004,0.2512712240036547,0.06131082773208618
task_attr_mod_color_11699,phase_gain,2.1,2500,0.05836264789104462,0.25920947724504,0.059403225779533386
task_attr_mod_color_11699,phase_gain,2.1,2600,0.03326191380620003,0.2665388286416638,0.05811813473701477
task_attr_mod_color_11699,phase_gain,2.1,2700,0.02366827055811882,0.2737388917290289,0.05668189376592636
task_attr_mod_color_11699,phase_gain,2.1,2800,0.0833432599902153,0.28124611142533934,0.05492290109395981
task_attr_mod_color_11699,phase_gain,2.1,2900,0.010116190649569035,0.2879601842586147,0.05371546372771263
task_attr_mod_color_11699,phase_gain,2.1,3000,0.028824586421251297,0.29560809965628265,0.05204880237579346
task_attr_mod_color_11699,phase_gain,2.1,3100,0.030806533992290497,0.302767346306126,0.05080929398536682
task_attr_mod_color_11699,phase_gain,2.1,3200,0.06834569573402405,0.31030333601635923,0.049435537308454514
task_attr_mod_color_11699,phase_gain,2.1,3300,0.0019641348626464605,0.31695607542203275,0.04849009960889816
task_attr_mod_color_11699,phase_gain,2.1,3400,0.027146171778440475,0.3238362420596937,0.047407835721969604
