condition,lr_key,lr,steps,image_id,final_loss,final_lpips,final_psnr,finite,diverged,final_L_def,final_L_fid,monitor,monitor_first,monitor_last,monitor_per_step
apa,lr.N4_stage1,0.0001,60,horse_00,0.0,0.15799397230148315,28.52992820739746,True,False,,,,,,
apa,lr.N4_stage1,0.001,60,horse_00,0.0,0.15692394971847534,28.606258392333984,True,False,,,,,,
apa,lr.N4_stage1,0.005,60,horse_00,0.6115956902503967,0.16048114001750946,28.160266876220703,True,False,,,,,,
apa,lr.N4_stage1,0.02,60,horse_00,1249.4459228515625,0.7173916101455688,7.873208045959473,True,False,,,,,,
apa,lr.N4_stage1,0.1,60,horse_00,1924.4508056640625,0.7461186647415161,7.6305694580078125,True,False,,,,,,
apa,lr.N4_stage2,0.0001,60,horse_00,491.4490661621094,,,True,False,491.4490661621094,0.0,attn_suppressed,-0.038970947265625,7.692718505859375,0.1310455839512712
apa,lr.N4_stage2,0.001,60,horse_00,369.3121337890625,,,True,False,369.3121337890625,0.0,attn_suppressed,-0.038970947265625,129.82965087890625,2.2011630817995234
apa,lr.N4_stage2,0.005,60,horse_00,245.0748748779297,,,True,False,244.93438720703125,0.14048665761947632,attn_suppressed,-0.038970947265625,254.2073974609375,4.309260481494968
apa,lr.N4_stage2,0.02,60,horse_00,200.33387756347656,,,True,False,194.05807495117188,6.27580451965332,attn_suppressed,-0.038970947265625,305.0837097167969,5.171570858712924
apa,lr.N4_stage2,0.1,60,horse_00,264.6121826171875,,,True,False,204.5306396484375,60.08153533935547,attn_suppressed,-0.038970947265625,294.61114501953125,4.9940697621491
