image,kind,param,r_lo,r_hi,energy_frac,energy_keep
task_attr_mod_color_11699,residual,,0.0,0.1768,0.183998,
task_attr_mod_color_11699,residual,,0.1768,0.3536,0.301902,
task_attr_mod_color_11699,residual,,0.3536,0.5303,0.185544,
task_attr_mod_color_11699,residual,,0.5303,0.7071,0.144021,
task_attr_mod_color_11699,residual,,0.7071,0.8839,0.106078,
task_attr_mod_color_11699,residual,,0.8839,1.0607,0.057895,
task_attr_mod_color_11699,residual,,1.0607,1.2374,0.017643,
task_attr_mod_color_11699,residual,,1.2374,1.4142,0.002918,
task_attr_mod_color_11699,blur_survived,1.0,0.0,0.1768,0.438444,0.354134
task_attr_mod_color_11699,blur_survived,1.0,0.1768,0.3536,0.45744,0.354134
task_attr_mod_color_11699,blur_survived,1.0,0.3536,0.5303,0.089917,0.354134
task_attr_mod_color_11699,blur_survived,1.0,0.5303,0.7071,0.012178,0.354134
task_attr_mod_color_11699,blur_survived,1.0,0.7071,0.8839,0.001532,0.354134
task_attr_mod_color_11699,blur_survived,1.0,0.8839,1.0607,0.000484,0.354134
task_attr_mod_color_11699,blur_survived,1.0,1.0607,1.2374,4e-06,0.354134
task_attr_mod_color_11699,blur_survived,1.0,1.2374,1.4142,0.0,0.354134
task_attr_mod_color_11699,blur_survived,2.0,0.0,0.1768,0.732526,0.130032
task_attr_mod_color_11699,blur_survived,2.0,0.1768,0.3536,0.260233,0.130032
task_attr_mod_color_11699,blur_survived,2.0,0.3536,0.5303,0.004664,0.130032
task_attr_mod_color_11699,blur_survived,2.0,0.5303,0.7071,0.001187,0.130032
task_attr_mod_color_11699,blur_survived,2.0,0.7071,0.8839,0.000857,0.130032
task_attr_mod_color_11699,blur_survived,2.0,0.8839,1.0607,0.000533,0.130032
task_attr_mod_color_11699,blur_survived,2.0,1.0607,1.2374,1e-06,0.130032
task_attr_mod_color_11699,blur_survived,2.0,1.2374,1.4142,0.0,0.130032
task_attr_mod_color_11699,crop_warped,0.1,0.0,0.1768,0.309121,
task_attr_mod_color_11699,crop_warped,0.1,0.1768,0.3536,0.345106,
task_attr_mod_color_11699,crop_warped,0.1,0.3536,0.5303,0.186683,
task_attr_mod_color_11699,crop_warped,0.1,0.5303,0.7071,0.106131,
task_attr_mod_color_11699,crop_warped,0.1,0.7071,0.8839,0.034318,
task_attr_mod_color_11699,crop_warped,0.1,0.8839,1.0607,0.015962,
task_attr_mod_color_11699,crop_warped,0.1,1.0607,1.2374,0.002476,
task_attr_mod_color_11699,crop_warped,0.1,1.2374,1.4142,0.000203,
task_attr_mod_color_11699,crop_warped,0.15,0.0,0.1768,0.375544,
task_attr_mod_color_11699,crop_warped,0.15,0.1768,0.3536,0.339642,
task_attr_mod_color_11699,crop_warped,0.15,0.3536,0.5303,0.183119,
task_attr_mod_color_11699,crop_warped,0.15,0.5303,0.7071,0.071935,
task_attr_mod_color_11699,crop_warped,0.15,0.7071,0.8839,0.020992,
task_attr_mod_color_11699,crop_warped,0.15,0.8839,1.0607,0.008108,
task_attr_mod_color_11699,crop_warped,0.15,1.0607,1.2374,0.000627,
task_attr_mod_color_11699,crop_warped,0.15,1.2374,1.4142,3.4e-05,
task_attr_mod_color_136767,residual,,0.0,0.1768,0.192479,
task_attr_mod_color_136767,residual,,0.1768,0.3536,0.238678,
task_attr_mod_color_136767,residual,,0.3536,0.5303,0.181205,
task_attr_mod_color_136767,residual,,0.5303,0.7071,0.171422,
task_attr_mod_color_136767,residual,,0.7071,0.8839,0.137143,
task_attr_mod_color_136767,residual,,0.8839,1.0607,0.065073,
task_attr_mod_color_136767,residual,,1.0607,1.2374,0.01252,
task_attr_mod_color_136767,residual,,1.2374,1.4142,0.00148,
task_attr_mod_color_136767,blur_survived,1.0,0.0,0.1768,0.513611,0.322738
task_attr_mod_color_136767,blur_survived,1.0,0.1768,0.3536,0.380106,0.322738
task_attr_mod_color_136767,blur_survived,1.0,0.3536,0.5303,0.090072,0.322738
task_attr_mod_color_136767,blur_survived,1.0,0.5303,0.7071,0.014617,0.322738
task_attr_mod_color_136767,blur_survived,1.0,0.7071,0.8839,0.001408,0.322738
task_attr_mod_color_136767,blur_survived,1.0,0.8839,1.0607,0.000186,0.322738
task_attr_mod_color_136767,blur_survived,1.0,1.0607,1.2374,1e-06,0.322738
task_attr_mod_color_136767,blur_survived,1.0,1.2374,1.4142,0.0,0.322738
task_attr_mod_color_136767,blur_survived,2.0,0.0,0.1768,0.821739,0.134101
task_attr_mod_color_136767,blur_survived,2.0,0.1768,0.3536,0.174226,0.134101
task_attr_mod_color_136767,blur_survived,2.0,0.3536,0.5303,0.002857,0.134101
task_attr_mod_color_136767,blur_survived,2.0,0.5303,0.7071,0.000537,0.134101
task_attr_mod_color_136767,blur_survived,2.0,0.7071,0.8839,0.000398,0.134101
task_attr_mod_color_136767,blur_survived,2.0,0.8839,1.0607,0.000244,0.134101
task_attr_mod_color_136767,blur_survived,2.0,1.0607,1.2374,0.0,0.134101
task_attr_mod_color_136767,blur_survived,2.0,1.2374,1.4142,0.0,0.134101
task_attr_mod_color_136767,crop_warped,0.1,0.0,0.1768,0.290119,
task_attr_mod_color_136767,crop_warped,0.1,0.1768,0.3536,0.307536,
task_attr_mod_color_136767,crop_warped,0.1,0.3536,0.5303,0.21507,
task_attr_mod_color_136767,crop_warped,0.1,0.5303,0.7071,0.131846,
task_attr_mod_color_136767,crop_warped,0.1,0.7071,0.8839,0.037159,
task_attr_mod_color_136767,crop_warped,0.1,0.8839,1.0607,0.016448,
task_attr_mod_color_136767,crop_warped,0.1,1.0607,1.2374,0.001709,
task_attr_mod_color_136767,crop_warped,0.1,1.2374,1.4142,0.000112,
task_attr_mod_color_136767,crop_warped,0.15,0.0,0.1768,0.339925,
task_attr_mod_color_136767,crop_warped,0.15,0.1768,0.3536,0.320784,
task_attr_mod_color_136767,crop_warped,0.15,0.3536,0.5303,0.222481,
task_attr_mod_color_136767,crop_warped,0.15,0.5303,0.7071,0.088553,
task_attr_mod_color_136767,crop_warped,0.15,0.7071,0.8839,0.01927,
task_attr_mod_color_136767,crop_warped,0.15,0.8839,1.0607,0.008481,
task_attr_mod_color_136767,crop_warped,0.15,1.0607,1.2374,0.000474,
task_attr_mod_color_136767,crop_warped,0.15,1.2374,1.4142,3.1e-05,
task_attr_mod_color_184837,residual,,0.0,0.1768,0.141168,
task_attr_mod_color_184837,residual,,0.1768,0.3536,0.238663,
task_attr_mod_color_184837,residual,,0.3536,0.5303,0.207098,
task_attr_mod_color_184837,residual,,0.5303,0.7071,0.201193,
task_attr_mod_color_184837,residual,,0.7071,0.8839,0.138187,
task_attr_mod_color_184837,residual,,0.8839,1.0607,0.058893,
task_attr_mod_color_184837,residual,,1.0607,1.2374,0.013203,
task_attr_mod_color_184837,residual,,1.2374,1.4142,0.001589,
task_attr_mod_color_184837,blur_survived,1.0,0.0,0.1768,0.428941,0.284294
task_attr_mod_color_184837,blur_survived,1.0,0.1768,0.3536,0.431621,0.284294
task_attr_mod_color_184837,blur_survived,1.0,0.3536,0.5303,0.11771,0.284294
task_attr_mod_color_184837,blur_survived,1.0,0.5303,0.7071,0.019753,0.284294
task_attr_mod_color_184837,blur_survived,1.0,0.7071,0.8839,0.001736,0.284294
task_attr_mod_color_184837,blur_survived,1.0,0.8839,1.0607,0.000237,0.284294
task_attr_mod_color_184837,blur_survived,1.0,1.0607,1.2374,2e-06,0.284294
task_attr_mod_color_184837,blur_survived,1.0,1.2374,1.4142,0.0,0.284294
task_attr_mod_color_184837,blur_survived,2.0,0.0,0.1768,0.772865,0.105997
task_attr_mod_color_184837,blur_survived,2.0,0.1768,0.3536,0.221984,0.105997
task_attr_mod_color_184837,blur_survived,2.0,0.3536,0.5303,0.003955,0.105997
task_attr_mod_color_184837,blur_survived,2.0,0.5303,0.7071,0.000553,0.105997
task_attr_mod_color_184837,blur_survived,2.0,0.7071,0.8839,0.0004,0.105997
task_attr_mod_color_184837,blur_survived,2.0,0.8839,1.0607,0.000244,0.105997
task_attr_mod_color_184837,blur_survived,2.0,1.0607,1.2374,1e-06,0.105997
task_attr_mod_color_184837,blur_survived,2.0,1.2374,1.4142,0.0,0.105997
task_attr_mod_color_184837,crop_warped,0.1,0.0,0.1768,0.231403,
task_attr_mod_color_184837,crop_warped,0.1,0.1768,0.3536,0.320731,
task_attr_mod_color_184837,crop_warped,0.1,0.3536,0.5303,0.256513,
task_attr_mod_color_184837,crop_warped,0.1,0.5303,0.7071,0.13861,
task_attr_mod_color_184837,crop_warped,0.1,0.7071,0.8839,0.034465,
task_attr_mod_color_184837,crop_warped,0.1,0.8839,1.0607,0.016273,
task_attr_mod_color_184837,crop_warped,0.1,1.0607,1.2374,0.001881,
task_attr_mod_color_184837,crop_warped,0.1,1.2374,1.4142,0.000124,
task_attr_mod_color_184837,crop_warped,0.15,0.0,0.1768,0.271601,
task_attr_mod_color_184837,crop_warped,0.15,0.1768,0.3536,0.346512,
task_attr_mod_color_184837,crop_warped,0.15,0.3536,0.5303,0.258328,
task_attr_mod_color_184837,crop_warped,0.15,0.5303,0.7071,0.092081,
task_attr_mod_color_184837,crop_warped,0.15,0.7071,0.8839,0.020665,
task_attr_mod_color_184837,crop_warped,0.15,0.8839,1.0607,0.010151,
task_attr_mod_color_184837,crop_warped,0.15,1.0607,1.2374,0.000621,
task_attr_mod_color_184837,crop_warped,0.15,1.2374,1.4142,4.1e-05,
task_attr_mod_color_32648,residual,,0.0,0.1768,0.214549,
task_attr_mod_color_32648,residual,,0.1768,0.3536,0.217345,
task_attr_mod_color_32648,residual,,0.3536,0.5303,0.10637,
