image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_shield,instruct-pix2pix,turn the color of potted plant to pink,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.72667,0.42987,16.759,0.18448,0.21656,0.69556,0.35762,8.209,0.06842,0.367,0.99179,0.14523,0.74322,0.73627,True,0.837,398.2
task_attr_mod_color_136767,dct_shield,instruct-pix2pix,turn the color of astronaut to pink,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.67022,0.40559,17.077,0.19936,0.23513,0.62435,0.22571,6.336,0.02007,0.45575,0.96471,0.14001,0.79554,0.79985,True,0.837,378.0
task_attr_mod_color_184837,dct_shield,instruct-pix2pix,turn the color of frame to pink,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.67896,0.60479,16.682,0.2666,0.20868,0.78159,0.13757,6.36,0.03593,0.66713,0.893,0.14652,0.69457,0.63571,True,0.837,378.3
task_attr_mod_color_32648,dct_shield,instruct-pix2pix,turn the color of potion bottle to orange,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.72695,0.18254,17.952,0.05298,0.36109,0.65684,0.419,9.804,0.05925,0.39881,0.8837,0.12659,0.80175,0.73258,True,0.837,379.1
task_attr_mod_color_6205,dct_shield,instruct-pix2pix,turn the color of toolbox to red,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.73804,0.36956,16.935,0.16908,0.23864,0.71995,0.19022,6.56,1.20584,0.78646,0.85881,0.14231,0.55029,0.46917,True,0.837,379.1
task_env_weather_112463,dct_shield,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.78782,0.39566,16.819,0.18697,0.20222,0.90422,0.15819,9.867,0.02732,0.38117,0.97253,0.14423,0.54275,0.56389,True,0.837,378.8
task_env_weather_246440,dct_shield,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.58153,0.60164,16.619,0.27427,0.15651,0.68316,0.19302,11.747,0.03351,0.29944,0.99997,0.1476,0.69338,0.71002,True,0.837,378.7
task_env_weather_63722,dct_shield,instruct-pix2pix,change the setting to a snowy landscape,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.70173,0.45618,16.974,0.20415,0.21322,0.69542,0.28556,11.721,0.02098,0.48225,0.83261,0.14168,0.60949,0.60174,True,0.837,378.2
task_obj_add_40931,dct_shield,instruct-pix2pix,Add the blood on snout,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.66554,0.53932,17.292,0.25275,0.23037,0.73723,0.12554,9.138,0.03523,0.41433,0.91235,0.13658,0.4318,0.53022,True,0.837,380.1
task_obj_remove_380621,dct_shield,instruct-pix2pix,Remove iceberg,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.72894,0.40856,17.048,0.19479,0.29761,0.7406,0.22829,6.984,0.06167,0.39175,0.90588,0.14047,0.70873,0.67791,True,0.837,377.7
