image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.8,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.07617,0.98496,31.938,0.66234,0.02658,0.12302,0.92721,23.644,0.4704,0.06601,0.36791,0.0253,36.2
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.8,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.13038,0.97423,32.461,0.61622,0.05464,0.16691,0.85686,25.61,0.41243,0.11554,0.30154,0.02382,36.7
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.8,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.15406,0.95831,26.922,0.52672,0.07693,0.23068,0.794,20.321,0.33765,0.1544,0.44279,0.04507,37.0
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.8,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.08854,0.99518,44.262,0.79586,0.02251,0.09513,0.9414,25.304,0.70832,0.07903,0.16204,0.00612,37.1
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.8,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.07976,0.9833,35.202,0.71083,0.05882,0.2223,0.8284,14.076,0.5175,0.13734,0.32148,0.01737,37.2
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.8,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.09915,0.97618,34.541,0.68488,0.02305,0.17257,0.87726,24.886,0.42999,0.06774,0.23813,0.01875,37.3
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,0.8,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.09346,0.98465,35.922,0.71803,0.01817,0.16307,0.92327,28.066,0.44266,0.0452,0.21811,0.01599,37.3
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,0.8,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.12237,0.96969,34.945,0.66169,0.02982,0.16729,0.88682,25.593,0.53629,0.09054,0.18199,0.0179,37.3
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.8,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.13667,0.95312,24.8,0.52747,0.05115,0.3689,0.56603,16.815,0.19113,0.19429,0.62811,0.05755,37.2
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,0.8,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.11343,0.97924,30.274,0.59146,0.04775,0.17255,0.88928,22.672,0.35342,0.09139,0.43764,0.03064,37.3
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,0.8,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.13486,0.96622,30.498,0.56098,0.05102,0.24177,0.78375,21.888,0.23457,0.13653,0.34354,0.02986,37.2
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,0.8,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.08853,0.98441,33.981,0.69633,0.04423,0.2292,0.8598,17.561,0.47992,0.13992,0.29491,0.02,37.2
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,0.8,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.21717,0.96203,30.482,0.57934,0.04517,0.26575,0.78021,21.545,0.32744,0.13208,0.32488,0.02991,37.3
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,0.8,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.07078,0.98788,39.494,0.80056,0.02654,0.10454,0.93649,31.019,0.65405,0.06339,0.27156,0.0106,37.3
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,0.8,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.08421,0.97817,31.021,0.70809,0.02942,0.13622,0.90914,24.248,0.50706,0.0442,0.3284,0.02811,37.3
