image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,disp_field_grid,dct_mode,dct_qd,dct_pairing,dct_gate,dct_plane_weight,manifold_weight,manifold_t,manifold_only,manifold_balance,defense_steps,loss,ig_zt,ig_t_min,ig_t_max,ig_samples,gain_ratio,purify_aware,eot_qualities,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,warp_rand,instruct-pix2pix,turn the color of potted plant to pink,,1.74,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.20572,0.86433,21.232,0.23959,0.11575,0.20383,0.82955,20.013,0.21474,0.12265,0.87591,0.08678,0.98532,0.97032,False,0.837,31.5
task_attr_mod_color_136767,warp_rand,instruct-pix2pix,turn the color of astronaut to pink,,1.74,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.18748,0.86933,22.083,0.26706,0.13221,0.20061,0.82824,21.215,0.24512,0.14766,0.89733,0.07867,0.98254,0.98046,False,0.837,21.9
task_attr_mod_color_184837,warp_rand,instruct-pix2pix,turn the color of frame to pink,,1.74,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.21311,0.79327,19.167,0.2053,0.15282,0.22201,0.73669,18.898,0.18979,0.17073,0.81295,0.11006,0.97285,0.95784,False,0.837,22.2
task_attr_mod_color_32648,warp_rand,instruct-pix2pix,turn the color of potion bottle to orange,,1.74,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.14217,0.96588,31.376,0.39916,0.10209,0.13297,0.95829,32.181,0.51763,0.10615,0.80097,0.02699,0.9827,0.98245,False,0.837,22.3
task_attr_mod_color_6205,warp_rand,instruct-pix2pix,turn the color of toolbox to red,,1.74,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.18886,0.89965,25.378,0.32199,0.13365,0.18586,0.87996,25.05,0.31814,0.13395,0.80669,0.05384,0.98462,0.95184,False,0.837,22.4
task_env_weather_112463,warp_rand,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.74,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.23834,0.90904,26.552,0.37849,0.11357,0.26275,0.77415,22.14,0.25782,0.11458,0.82651,0.04703,0.96045,0.94767,False,0.837,22.4
task_obj_remove_380621,warp_rand,instruct-pix2pix,Remove iceberg,,1.74,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.24428,0.83679,21.948,0.30879,0.1786,0.27117,0.76486,20.661,0.24952,0.15494,0.98928,0.07991,0.98057,0.9718,False,0.837,22.4
task_obj_swap_joint_mask_276754,warp_rand,instruct-pix2pix,Replace the satellite dish with rocket,,1.74,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.30388,0.67783,20.952,0.12836,0.13879,0.10073,0.92384,23.265,0.30138,0.13756,0.92092,0.08962,0.95164,0.93598,False,0.837,22.2
task_obj_swap_joint_mask_533428,warp_rand,instruct-pix2pix,Replace the samurai armor with red jacket,,1.74,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.24233,0.81722,20.671,0.23403,0.1266,0.34258,0.63908,16.189,0.2051,0.13874,0.88548,0.09257,0.85588,0.90546,False,0.837,22.3
task_obj_swap_rand_mask_417469,warp_rand,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.74,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.21779,0.83663,21.281,0.27237,0.11531,0.21339,0.78921,20.919,0.25274,0.11373,0.96926,0.08629,0.96475,0.94325,False,0.837,22.3
