tau,site,image,psnr,ssim,ms_ssim,lpips,dists,gmsd,haarpsi,vif_p,nlpd,stlpips,acutance_ratio,niqe,musiq,niqe_orig,musiq_orig
0.05,S,car_00,27.146251678466797,0.9735191464424133,0.9862545132637024,0.03554815053939819,0.01389223337173462,0.05786752700805664,0.892286479473114,0.5771803259849548,0.18737854063510895,0.02143002301454544,0.7863138318061829,2.586842740658519,78.63086700439453,2.9221325658834987,78.87845611572266
0.05,S,car_01,27.796659469604492,0.9719507098197937,0.9855517745018005,0.04894886910915375,0.01776123046875,0.059908248484134674,0.8926308751106262,0.5859829187393188,0.18885637819766998,0.02337758056819439,0.8156909346580505,2.0690278409958562,68.38900756835938,2.029657290103223,68.9491958618164
0.05,S,dog_00,36.076026916503906,0.9894442558288574,0.9937777519226074,0.04247494041919708,0.017259657382965088,0.03784041106700897,0.9517189860343933,0.7885940670967102,0.10231154412031174,0.007072921842336655,0.8939355611801147,4.119353276777406,65.91294860839844,4.890837184980747,71.42938232421875
0.05,S,dog_01,34.86723327636719,0.9851861000061035,0.9922540783882141,0.038644298911094666,0.0112992525100708,0.033094484359025955,0.9264741539955139,0.6860620379447937,0.1266743689775467,0.012437153607606888,0.8682658672332764,3.030712385659014,61.7113037109375,2.8344773143036273,64.90049743652344
0.05,S,person_00,35.15929412841797,0.986382246017456,0.9923462867736816,0.03767838329076767,0.018442749977111816,0.03666260093450546,0.943166196346283,0.775366485118866,0.12511004507541656,0.006404323503375053,0.9117476344108582,5.3340304231706215,68.65254974365234,4.87769212157051,70.45679473876953
0.05,S,person_01,35.53115463256836,0.9894525408744812,0.9940531253814697,0.03755463287234306,0.01621425151824951,0.025783658027648926,0.9468452334403992,0.7549591064453125,0.104274682700634,0.009583385661244392,0.8385117053985596,4.380916249035373,73.32318878173828,4.37357086504111,75.18258666992188
0.05,P,car_00,38.283302307128906,0.9892452359199524,0.9944205284118652,0.03177223727107048,0.012436091899871826,0.010668152011930943,0.9704090356826782,0.8453183770179749,0.06169140711426735,0.00605372479185462,1.0018365383148193,2.641924607410369,78.70939636230469,2.9221325658834987,78.87845611572266
0.05,P,car_01,38.492340087890625,0.9902777671813965,0.9949679970741272,0.040151551365852356,0.03768789768218994,0.009805777110159397,0.9728571772575378,0.8411933779716492,0.0663975179195404,0.006399008445441723,1.0041474103927612,1.9993369453554277,67.24402618408203,2.029657290103223,68.9491958618164
0.05,P,dog_00,42.1458625793457,0.9925951361656189,0.9961039423942566,0.03279414400458336,0.005327343940734863,0.00399328488856554,0.9852373003959656,0.8876535892486572,0.045389655977487564,0.007711402140557766,1.0092648267745972,4.7963878903733335,70.957275390625,4.890837184980747,71.42938232421875
0.05,P,dog_01,45.1077880859375,0.9957292079925537,0.9977328181266785,0.03322586789727211,0.008872628211975098,0.001933264546096325,0.9935427308082581,0.9211918711662292,0.03188926354050636,0.001809861627407372,1.0039749145507812,3.113783161743408,63.31721496582031,2.8344773143036273,64.90049743652344
0.05,P,person_00,43.05226135253906,0.9919538497924805,0.9960794448852539,0.03273069113492966,0.007973313331604004,0.0035203113220632076,0.9899585843086243,0.9029508829116821,0.042768899351358414,0.006877850741147995,1.0105568170547485,4.937893370345713,70.21759796142578,4.87769212157051,70.45679473876953
0.05,P,person_01,42.9964485168457,0.9872657656669617,0.9936451315879822,0.04399772733449936,0.016209125518798828,0.004267838783562183,0.987661600112915,0.8565039038658142,0.04557212069630623,0.00820047315210104,1.0100680589675903,4.426545822551988,74.4218521118164,4.37357086504111,75.18258666992188
