image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_rotate,instruct-pix2pix,turn the color of potted plant to pink,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.17075,0.97189,30.287,0.55972,0.06322,0.17423,0.91969,24.484,0.40119,0.07462,0.60186,0.03059,0.98681,0.98146,False,0.837,400.8
task_attr_mod_color_136767,dct_rotate,instruct-pix2pix,turn the color of astronaut to pink,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.15605,0.963,30.104,0.53022,0.07338,0.17489,0.88009,25.299,0.39017,0.0976,0.5026,0.03125,0.99165,0.98456,False,0.837,390.1
task_attr_mod_color_184837,dct_rotate,instruct-pix2pix,turn the color of frame to pink,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.20826,0.95157,26.241,0.46641,0.10444,0.22387,0.82862,21.161,0.31064,0.13962,0.60429,0.04874,0.98866,0.97993,False,0.837,390.0
task_attr_mod_color_32648,dct_rotate,instruct-pix2pix,turn the color of potion bottle to orange,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.15614,0.97941,37.817,0.54053,0.0511,0.16832,0.90352,22.269,0.61713,0.12273,0.53916,0.01286,0.96035,0.96742,False,0.837,389.8
task_attr_mod_color_6205,dct_rotate,instruct-pix2pix,turn the color of toolbox to red,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.14619,0.96365,31.727,0.61546,0.08524,0.14438,0.93415,28.156,0.51118,0.08009,0.52072,0.02592,0.99282,0.97584,False,0.837,390.2
task_env_weather_112463,dct_rotate,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.2414,0.93012,31.024,0.50905,0.08062,0.30006,0.75702,21.933,0.30526,0.12982,0.42766,0.0281,0.93282,0.94346,False,0.837,390.4
task_obj_remove_380621,dct_rotate,instruct-pix2pix,Remove iceberg,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.19376,0.95102,28.738,0.52195,0.06383,0.24646,0.79731,21.753,0.3353,0.12421,0.67575,0.03657,0.97278,0.95106,False,0.837,390.0
task_obj_swap_joint_mask_276754,dct_rotate,instruct-pix2pix,Replace the satellite dish with rocket,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.32165,0.87861,25.405,0.27196,0.08949,0.41726,0.75078,16.955,0.14881,0.25486,0.56602,0.05368,0.91587,0.9189,False,0.837,389.7
task_obj_swap_joint_mask_533428,dct_rotate,instruct-pix2pix,Replace the samurai armor with red jacket,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.26201,0.91665,26.106,0.40919,0.09247,0.418,0.5643,16.51,0.15798,0.19112,0.67629,0.04951,0.94703,0.90627,False,0.837,390.4
task_obj_swap_rand_mask_417469,dct_rotate,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.20727,0.932,28.537,0.47637,0.07342,0.2385,0.8305,23.692,0.33436,0.10364,0.59901,0.03742,0.95752,0.93685,False,0.837,390.5
