image,condition,prompt_index,prompt,block,r_min,quantile,target_image,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
bird_03,phase,0,a butterfly,32,0.05,0.5,data/targets/gray.png,human,human,0.11407,False,1.3,42.3,0.2953,0.8999,0.1141,29.1885,0.9641,5.1783,0.7157,0.5505,0.2725,0.2758,-0.0033,0.1038,0.0884,0.0154,0.03631,0.4617
cat_00,phase,0,a dog,32,0.05,0.5,data/targets/gray.png,human,human,0.11615,False,1.3,25.3,0.3032,0.8528,0.1162,20.8448,0.9183,5.1417,0.7224,0.5637,0.2452,0.2558,-0.0106,0.0621,0.0757,-0.0135,0.09314,0.5538
horse_01,phase,0,a zebra,32,0.05,0.5,data/targets/gray.png,human,human,0.15729,False,1.3,25.5,0.3841,0.7956,0.1573,21.4459,0.9147,5.0631,0.704,0.6158,0.323,0.3249,-0.002,0.1175,0.1179,-0.0004,0.08426,0.6331
man_00,phase,0,an old woman,32,0.05,0.5,data/targets/gray.png,human,human,0.13293,False,1.3,25.6,0.2165,0.9309,0.1329,32.2925,0.9622,4.7843,0.6868,0.4594,0.2819,0.2961,-0.0142,0.1079,0.1218,-0.0139,0.01808,0.279
woman_01,phase,0,a man,32,0.05,0.5,data/targets/gray.png,human,human,0.16806,False,1.3,25.7,0.2882,0.8995,0.1681,31.6579,0.9451,3.3306,0.3441,0.3671,0.208,0.221,-0.013,0.0388,0.0227,0.0161,0.01775,0.3817
