image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.32972,0.92472,24.198,0.39205,0.12734,0.46541,0.65332,14.07,0.22369,0.26709,0.90102,0.06168,0.8444,0.83088,True,0.837,388.2
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39065,0.88581,24.445,0.32158,0.19448,0.55911,0.43908,10.428,0.17439,0.33099,0.85938,0.05994,0.81172,0.80777,True,0.837,377.4
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44611,0.82941,20.555,0.27623,0.24598,0.72525,0.22564,8.088,0.15974,0.39737,0.71789,0.09381,0.82054,0.83636,True,0.837,324.1
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41641,0.96467,33.477,0.36338,0.10883,0.35038,0.71065,16.01,0.53088,0.22645,0.87597,0.02119,0.95798,0.95736,False,0.837,173.5
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3255,0.92031,27.017,0.43495,0.15496,0.54477,0.45075,9.818,0.37312,0.33224,0.8549,0.04458,0.85763,0.76815,True,0.837,173.5
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43653,0.89952,27.703,0.41826,0.10318,0.7901,0.43304,11.45,0.18756,0.33472,0.73673,0.0412,0.60696,0.6028,True,0.837,173.5
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41737,0.79981,19.031,0.23372,0.18589,0.62962,0.24345,13.84,0.12041,0.36834,0.94698,0.1118,0.87057,0.84078,False,0.837,173.5
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38825,0.9052,23.4,0.33307,0.12155,0.5014,0.58981,16.676,0.20236,0.29893,0.76704,0.06761,0.85844,0.80275,True,0.837,173.9
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49498,0.84774,23.435,0.30894,0.18054,0.55326,0.38184,15.632,0.19739,0.37346,0.67972,0.06734,0.8623,0.70189,True,0.837,173.8
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39474,0.90778,24.667,0.43508,0.13166,0.48427,0.50399,10.53,0.29038,0.28707,0.93337,0.05843,0.82244,0.76384,True,0.837,173.6
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4542,0.8156,22.378,0.20046,0.20958,0.66465,0.50666,12.871,0.01444,0.4323,0.95686,0.07605,0.78511,0.84443,False,0.837,173.4
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48975,0.83137,22.028,0.26582,0.19466,0.63958,0.24772,9.531,0.05589,0.28001,0.79525,0.07918,0.65119,0.61995,True,0.837,173.6
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45993,0.85825,23.6,0.2928,0.15911,0.6849,0.32871,8.674,0.12494,0.44473,0.95964,0.06607,0.36727,0.48024,True,0.837,173.5
