image,block,theta,r_lo,r_hi,t_frac,t_step,unet_move,latent_move,dists_cost,move_per_dists
task_attr_mod_color_11699,32,1.0,0.5303,0.7071,0.95,949,0.92625,16.5117,0.0039,237.5622
task_attr_mod_color_11699,32,1.0,0.7071,0.8839,0.05,50,26.63855,11.0486,0.00058,45576.2496
task_attr_mod_color_11699,32,1.0,0.7071,0.8839,0.2,200,14.49194,11.0486,0.00058,24794.4589
task_attr_mod_color_11699,32,1.0,0.7071,0.8839,0.4,400,7.54997,11.0486,0.00058,12917.3396
task_attr_mod_color_11699,32,1.0,0.7071,0.8839,0.6,599,4.00172,11.0486,0.00058,6846.596
task_attr_mod_color_11699,32,1.0,0.7071,0.8839,0.8,799,1.663,11.0486,0.00058,2845.2441
task_attr_mod_color_11699,32,1.0,0.7071,0.8839,0.95,949,0.59689,11.0486,0.00058,1021.2258
task_attr_mod_color_11699,32,1.0,0.8839,1.0607,0.05,50,18.88674,7.7242,4e-05,473642.6667
task_attr_mod_color_11699,32,1.0,0.8839,1.0607,0.2,200,9.89614,7.7242,4e-05,248175.9761
task_attr_mod_color_11699,32,1.0,0.8839,1.0607,0.4,400,4.83516,7.7242,4e-05,121256.3348
task_attr_mod_color_11699,32,1.0,0.8839,1.0607,0.6,599,2.78729,7.7242,4e-05,69899.8386
task_attr_mod_color_11699,32,1.0,0.8839,1.0607,0.8,799,1.14514,7.7242,4e-05,28717.9701
task_attr_mod_color_11699,32,1.0,0.8839,1.0607,0.95,949,0.42953,7.7242,4e-05,10771.7182
task_attr_mod_color_11699,32,1.0,1.0607,1.2374,0.05,50,4.51501,1.6175,0.0,1147716.3636
task_attr_mod_color_11699,32,1.0,1.0607,1.2374,0.2,200,2.28931,1.6175,0.0,581942.4242
task_attr_mod_color_11699,32,1.0,1.0607,1.2374,0.4,400,1.28166,1.6175,0.0,325797.7576
task_attr_mod_color_11699,32,1.0,1.0607,1.2374,0.6,599,0.60592,1.6175,0.0,154025.4697
task_attr_mod_color_11699,32,1.0,1.0607,1.2374,0.8,799,0.25075,1.6175,0.0,63740.1818
task_attr_mod_color_11699,32,1.0,1.0607,1.2374,0.95,949,0.08308,1.6175,0.0,21117.9186
task_attr_mod_color_11699,32,1.0,1.2374,1.4142,0.05,50,0.55755,0.225,0.0,2338531.25
task_attr_mod_color_11699,32,1.0,1.2374,1.4142,0.2,200,0.31099,0.225,0.0,1304406.75
task_attr_mod_color_11699,32,1.0,1.2374,1.4142,0.4,400,0.14186,0.225,0.0,594989.875
task_attr_mod_color_11699,32,1.0,1.2374,1.4142,0.6,599,0.06668,0.225,0.0,279690.5312
task_attr_mod_color_11699,32,1.0,1.2374,1.4142,0.8,799,0.02582,0.225,0.0,108289.3594
task_attr_mod_color_11699,32,1.0,1.2374,1.4142,0.95,949,0.01028,0.225,0.0,43134.375
task_obj_remove_380621,32,1.0,0.0,0.1768,0.05,50,81.90383,59.7596,0.30377,269.6274
task_obj_remove_380621,32,1.0,0.0,0.1768,0.2,200,51.61196,59.7596,0.30377,169.9066
task_obj_remove_380621,32,1.0,0.0,0.1768,0.4,400,31.55281,59.7596,0.30377,103.8719
task_obj_remove_380621,32,1.0,0.0,0.1768,0.6,599,17.93218,59.7596,0.30377,59.0327
task_obj_remove_380621,32,1.0,0.0,0.1768,0.8,799,8.52672,59.7596,0.30377,28.07
task_obj_remove_380621,32,1.0,0.0,0.1768,0.95,949,3.48563,59.7596,0.30377,11.4747
task_obj_remove_380621,32,1.0,0.1768,0.3536,0.05,50,50.91024,29.8271,0.04947,1029.1938
task_obj_remove_380621,32,1.0,0.1768,0.3536,0.2,200,30.73134,29.8271,0.04947,621.2602
task_obj_remove_380621,32,1.0,0.1768,0.3536,0.4,400,19.25518,29.8271,0.04947,389.2598
task_obj_remove_380621,32,1.0,0.1768,0.3536,0.6,599,10.87306,29.8271,0.04947,219.8081
task_obj_remove_380621,32,1.0,0.1768,0.3536,0.8,799,4.29411,29.8271,0.04947,86.809
task_obj_remove_380621,32,1.0,0.1768,0.3536,0.95,949,1.64794,29.8271,0.04947,33.3145
task_obj_remove_380621,32,1.0,0.3536,0.5303,0.05,50,38.64023,21.7068,0.0254,1521.0808
task_obj_remove_380621,32,1.0,0.3536,0.5303,0.2,200,23.02607,21.7068,0.0254,906.4262
task_obj_remove_380621,32,1.0,0.3536,0.5303,0.4,400,13.72309,21.7068,0.0254,540.2125
task_obj_remove_380621,32,1.0,0.3536,0.5303,0.6,599,7.8122,21.7068,0.0254,307.5289
task_obj_remove_380621,32,1.0,0.3536,0.5303,0.8,799,3.11796,21.7068,0.0254,122.7393
task_obj_remove_380621,32,1.0,0.3536,0.5303,0.95,949,1.16114,21.7068,0.0254,45.7086
task_obj_remove_380621,32,1.0,0.5303,0.7071,0.05,50,35.42213,19.4213,0.01149,3081.9904
task_obj_remove_380621,32,1.0,0.5303,0.7071,0.2,200,21.53755,19.4213,0.01149,1873.9281
task_obj_remove_380621,32,1.0,0.5303,0.7071,0.4,400,13.27592,19.4213,0.01149,1155.1039
task_obj_remove_380621,32,1.0,0.5303,0.7071,0.6,599,7.16303,19.4213,0.01149,623.2373
task_obj_remove_380621,32,1.0,0.5303,0.7071,0.8,799,3.00733,19.4213,0.01149,261.6599
