condition,purifier,rho_mean,inst_mag,surv_mag,energy_ratio,cosine,cos_vs_warped
ours_ph_q,identity,1.0,0.38384,0.38384,1.0,1.0,
ours_ph_q,jpeg75,0.8043,0.38384,0.4968,2.17252,0.88292,
ours_ph_q,jpeg50,0.71822,0.38384,0.54863,1.07169,0.50737,
ours_ph_q,jpeg30,0.67706,0.38384,0.57022,0.81595,0.34362,
ours_ph_q,blur1,0.96666,0.38384,0.37497,0.08661,0.48231,
ours_ph_q,blur2,0.8092,0.38384,0.31302,0.03294,0.30024,
ours_ph_q,crop_resize0.1,0.60054,0.38384,0.63638,0.66243,0.00586,0.9997
ours_ph_q,crop_resize0.15,0.55257,0.38384,0.71473,0.68346,0.00229,0.99968
ours_ph_n,identity,1.0,0.26203,0.26203,1.0,0.99999,
ours_ph_n,jpeg75,0.8043,0.26203,0.43064,1.22591,0.58046,
ours_ph_n,jpeg50,0.76001,0.26203,0.45541,0.95359,0.37164,
ours_ph_n,jpeg30,0.75447,0.26203,0.43598,0.80758,0.27974,
ours_ph_n,blur1,0.97369,0.26203,0.25646,0.08097,0.47331,
ours_ph_n,blur2,0.8676,0.26203,0.22668,0.02825,0.29204,
ours_ph_n,crop_resize0.1,0.7199,0.26203,0.47076,0.67695,0.00072,0.99959
ours_ph_n,crop_resize0.15,0.68447,0.26203,0.53083,0.70695,0.00148,0.99957
ours_pg_q20,identity,1.0,0.5294,0.5294,1.0,0.99992,
ours_pg_q20,jpeg75,0.80289,0.5294,0.61911,1.55157,0.92872,
ours_pg_q20,jpeg50,0.70713,0.5294,0.67999,1.10085,0.74018,
ours_pg_q20,jpeg30,0.63623,0.5294,0.73092,0.96852,0.61937,
ours_pg_q20,blur1,0.95891,0.5294,0.52162,0.17517,0.59165,
ours_pg_q20,blur2,0.72996,0.5294,0.48415,0.07561,0.43185,
ours_pg_q20,crop_resize0.1,0.48462,0.5294,0.76937,0.78424,0.01085,0.9996
ours_pg_q20,crop_resize0.15,0.44806,0.5294,0.83336,0.83836,0.00547,0.99958
dct_aj85,identity,1.0,0.48093,0.48093,1.0,0.99981,
dct_aj85,jpeg75,0.7878,0.48093,0.55213,1.83205,0.80797,
dct_aj85,jpeg50,0.6841,0.48093,0.57066,0.53281,0.25155,
dct_aj85,jpeg30,0.65039,0.48093,0.52168,0.30299,0.13015,
dct_aj85,blur1,0.96106,0.48093,0.46688,0.03379,0.37207,
dct_aj85,blur2,0.7598,0.48093,0.35259,0.01778,0.17013,
dct_aj85,crop_resize0.1,0.51856,0.48093,0.76229,0.55011,0.01032,0.99968
dct_aj85,crop_resize0.15,0.46146,0.48093,0.85341,0.56915,0.00666,0.99968
