image,condition,purifier,energy_ratio,cosine,cos_vs_warped
task_attr_mod_color_11699,ours_ph_q,identity,1.0,1.00002,
task_attr_mod_color_11699,ours_ph_q,jpeg75,2.14048,0.87494,
task_attr_mod_color_11699,ours_ph_q,jpeg50,1.12504,0.52298,
task_attr_mod_color_11699,ours_ph_q,jpeg30,0.85478,0.3567,
task_attr_mod_color_11699,ours_ph_q,blur1,0.09517,0.50356,
task_attr_mod_color_11699,ours_ph_q,blur2,0.02934,0.33048,
task_attr_mod_color_11699,ours_ph_q,crop_resize0.1,0.67124,0.00643,0.99977
task_attr_mod_color_11699,ours_ph_q,crop_resize0.15,0.7506,-0.00028,0.99975
task_attr_mod_color_136767,ours_ph_q,identity,1.0,1.00003,
task_attr_mod_color_136767,ours_ph_q,jpeg75,2.13653,0.88204,
task_attr_mod_color_136767,ours_ph_q,jpeg50,1.05154,0.52592,
task_attr_mod_color_136767,ours_ph_q,jpeg30,0.793,0.36721,
task_attr_mod_color_136767,ours_ph_q,blur1,0.11218,0.50541,
task_attr_mod_color_136767,ours_ph_q,blur2,0.0512,0.34191,
task_attr_mod_color_136767,ours_ph_q,crop_resize0.1,0.70966,0.00565,0.99958
task_attr_mod_color_136767,ours_ph_q,crop_resize0.15,0.7724,0.00265,0.99955
task_attr_mod_color_184837,ours_ph_q,identity,1.0,0.99993,
task_attr_mod_color_184837,ours_ph_q,jpeg75,2.03384,0.87199,
task_attr_mod_color_184837,ours_ph_q,jpeg50,1.33775,0.59773,
task_attr_mod_color_184837,ours_ph_q,jpeg30,1.07298,0.44601,
task_attr_mod_color_184837,ours_ph_q,blur1,0.1416,0.57259,
task_attr_mod_color_184837,ours_ph_q,blur2,0.04812,0.40533,
task_attr_mod_color_184837,ours_ph_q,crop_resize0.1,0.64382,0.00565,0.99985
task_attr_mod_color_184837,ours_ph_q,crop_resize0.15,0.49487,-0.00069,0.99987
task_attr_mod_color_32648,ours_ph_q,identity,1.0,0.99996,
task_attr_mod_color_32648,ours_ph_q,jpeg75,2.14625,0.92411,
task_attr_mod_color_32648,ours_ph_q,jpeg50,0.6524,0.43567,
task_attr_mod_color_32648,ours_ph_q,jpeg30,0.3672,0.25016,
task_attr_mod_color_32648,ours_ph_q,blur1,0.0396,0.39806,
task_attr_mod_color_32648,ours_ph_q,blur2,0.02077,0.18892,
task_attr_mod_color_32648,ours_ph_q,crop_resize0.1,0.60833,0.00915,0.9998
task_attr_mod_color_32648,ours_ph_q,crop_resize0.15,0.64485,0.0101,0.99981
task_attr_mod_color_6205,ours_ph_q,identity,1.0,1.00002,
task_attr_mod_color_6205,ours_ph_q,jpeg75,2.18341,0.89363,
task_attr_mod_color_6205,ours_ph_q,jpeg50,0.85556,0.47976,
task_attr_mod_color_6205,ours_ph_q,jpeg30,0.63756,0.32053,
task_attr_mod_color_6205,ours_ph_q,blur1,0.09085,0.48408,
task_attr_mod_color_6205,ours_ph_q,blur2,0.03207,0.31926,
task_attr_mod_color_6205,ours_ph_q,crop_resize0.1,0.73088,0.00378,0.99985
task_attr_mod_color_6205,ours_ph_q,crop_resize0.15,0.7901,-1e-05,0.99984
task_env_weather_112463,ours_ph_q,identity,1.0,1.00001,
task_env_weather_112463,ours_ph_q,jpeg75,2.25414,0.93633,
task_env_weather_112463,ours_ph_q,jpeg50,0.67323,0.46364,
task_env_weather_112463,ours_ph_q,jpeg30,0.52959,0.30717,
task_env_weather_112463,ours_ph_q,blur1,0.07912,0.44899,
task_env_weather_112463,ours_ph_q,blur2,0.03065,0.30083,
task_env_weather_112463,ours_ph_q,crop_resize0.1,0.58507,-0.00142,0.99996
task_env_weather_112463,ours_ph_q,crop_resize0.15,0.58395,0.00099,0.99998
task_obj_remove_380621,ours_ph_q,identity,1.0,1.00001,
task_obj_remove_380621,ours_ph_q,jpeg75,2.23062,0.88103,
task_obj_remove_380621,ours_ph_q,jpeg50,1.23589,0.50876,
task_obj_remove_380621,ours_ph_q,jpeg30,1.03285,0.34741,
task_obj_remove_380621,ours_ph_q,blur1,0.05606,0.45856,
task_obj_remove_380621,ours_ph_q,blur2,0.01719,0.24322,
task_obj_remove_380621,ours_ph_q,crop_resize0.1,0.66071,0.00674,0.99918
task_obj_remove_380621,ours_ph_q,crop_resize0.15,0.69405,0.00176,0.99902
task_obj_swap_joint_mask_276754,ours_ph_q,identity,1.0,0.99999,
task_obj_swap_joint_mask_276754,ours_ph_q,jpeg75,2.2549,0.79929,
task_obj_swap_joint_mask_276754,ours_ph_q,jpeg50,1.6421,0.52449,
task_obj_swap_joint_mask_276754,ours_ph_q,jpeg30,1.23964,0.35379,
task_obj_swap_joint_mask_276754,ours_ph_q,blur1,0.07832,0.48721,
task_obj_swap_joint_mask_276754,ours_ph_q,blur2,0.03419,0.27197,
task_obj_swap_joint_mask_276754,ours_ph_q,crop_resize0.1,0.68975,0.01093,0.99961
task_obj_swap_joint_mask_276754,ours_ph_q,crop_resize0.15,0.73682,0.00377,0.9996
task_attr_mod_color_11699,ours_ph_n,identity,1.0,1.00004,
task_attr_mod_color_11699,ours_ph_n,jpeg75,1.35403,0.64903,
task_attr_mod_color_11699,ours_ph_n,jpeg50,1.00602,0.42156,
task_attr_mod_color_11699,ours_ph_n,jpeg30,0.83105,0.32012,
task_attr_mod_color_11699,ours_ph_n,blur1,0.09507,0.49006,
task_attr_mod_color_11699,ours_ph_n,blur2,0.03162,0.33138,
task_attr_mod_color_11699,ours_ph_n,crop_resize0.1,0.68969,0.0059,0.99974
task_attr_mod_color_11699,ours_ph_n,crop_resize0.15,0.8053,0.0005,0.99972
task_attr_mod_color_136767,ours_ph_n,identity,1.0,0.99999,
task_attr_mod_color_136767,ours_ph_n,jpeg75,1.23549,0.6,
task_attr_mod_color_136767,ours_ph_n,jpeg50,0.92846,0.39357,
task_attr_mod_color_136767,ours_ph_n,jpeg30,0.7997,0.3032,
task_attr_mod_color_136767,ours_ph_n,blur1,0.09973,0.49779,
task_attr_mod_color_136767,ours_ph_n,blur2,0.03663,0.33424,
task_attr_mod_color_136767,ours_ph_n,crop_resize0.1,0.74019,0.00125,0.99937
task_attr_mod_color_136767,ours_ph_n,crop_resize0.15,0.83191,0.00169,0.99936
task_attr_mod_color_184837,ours_ph_n,identity,1.0,1.00004,
task_attr_mod_color_184837,ours_ph_n,jpeg75,1.46505,0.71905,
task_attr_mod_color_184837,ours_ph_n,jpeg50,1.22576,0.52048,
task_attr_mod_color_184837,ours_ph_n,jpeg30,1.05947,0.42171,
task_attr_mod_color_184837,ours_ph_n,blur1,0.14664,0.58046,
task_attr_mod_color_184837,ours_ph_n,blur2,0.04962,0.41348,
