image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_shield_y,instruct-pix2pix,turn the color of potted plant to pink,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.85,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.67256,0.74714,18.334,0.16112,0.18104,0.65623,0.40106,8.993,0.08059,0.36875,0.83135,0.12114,0.75028,0.71301,True,0.837,389.3
task_attr_mod_color_136767,dct_shield_y,instruct-pix2pix,turn the color of astronaut to pink,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.85,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.63385,0.66906,18.486,0.1692,0.20272,0.6281,0.24694,6.746,0.02394,0.45232,0.82383,0.11904,0.78953,0.81773,True,0.837,372.5
task_attr_mod_color_184837,dct_shield_y,instruct-pix2pix,turn the color of frame to pink,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.85,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.61294,0.8659,18.082,0.23536,0.15997,0.78063,0.13642,6.223,0.03271,0.66895,0.78657,0.12471,0.69768,0.63356,True,0.837,374.4
task_attr_mod_color_32648,dct_shield_y,instruct-pix2pix,turn the color of potion bottle to orange,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.85,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.7105,0.48912,19.67,0.04464,0.31683,0.62434,0.41665,10.078,0.06619,0.39605,0.76548,0.10387,0.80439,0.69479,True,0.837,373.5
task_attr_mod_color_6205,dct_shield_y,instruct-pix2pix,turn the color of toolbox to red,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.85,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.69101,0.7377,18.712,0.14984,0.21181,0.72745,0.18998,6.529,0.60073,0.78422,0.75107,0.11598,0.5506,0.47372,True,0.837,375.0
task_env_weather_112463,dct_shield_y,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.85,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.73506,0.77472,18.321,0.16614,0.16916,0.90233,0.26829,10.431,0.14794,0.40443,0.77143,0.12132,0.55254,0.59378,True,0.837,371.7
task_obj_remove_380621,dct_shield_y,instruct-pix2pix,Remove iceberg,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.85,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.68264,0.77326,18.562,0.16818,0.21745,0.74423,0.22944,7.891,0.03978,0.39425,0.7044,0.118,0.73843,0.71427,True,0.837,370.4
task_obj_swap_joint_mask_276754,dct_shield_y,instruct-pix2pix,Replace the satellite dish with rocket,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.85,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51489,0.77483,19.04,0.15164,0.16366,0.66535,0.49301,12.142,0.01161,0.39753,0.71483,0.11169,0.87593,0.90622,False,0.837,370.0
task_obj_swap_joint_mask_533428,dct_shield_y,instruct-pix2pix,Replace the samurai armor with red jacket,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.85,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.60583,0.82398,18.34,0.20943,0.16382,0.62729,0.24401,9.387,0.05599,0.27573,0.77902,0.12106,0.63828,0.63929,True,0.837,372.5
task_obj_swap_rand_mask_417469,dct_shield_y,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.85,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.64149,0.7233,19.077,0.16066,0.17556,0.75374,0.18591,8.724,0.04872,0.41337,0.80392,0.11122,0.3277,0.49357,True,0.837,372.4
