image,mode,gate,theta,dists,lpips,psnr,ssim,rms,linf,clip_fraction,degenerate_fraction,n_params
task_attr_mod_color_11699,plane,texture,0.1,7e-06,4.5e-05,63.856,0.99999,0.000634,0.017161,0.001033,0.0,1560576
task_attr_mod_color_11699,plane,texture,0.2,2.6e-05,0.000187,57.9236,0.999981,0.001266,0.034721,0.001095,0.0,1560576
task_attr_mod_color_11699,plane,texture,0.4,9.9e-05,0.000845,51.9515,0.999939,0.002524,0.070767,0.001251,0.0,1560576
task_attr_mod_color_11699,plane,texture,0.7,0.000266,0.003012,47.1572,0.999815,0.004386,0.126103,0.001509,0.0,1560576
task_attr_mod_color_11699,plane,texture,1.1,0.000596,0.008015,43.3517,0.999552,0.006798,0.199269,0.001886,0.0,1560576
task_attr_mod_color_11699,plane,texture,1.6,0.001218,0.016726,40.2972,0.999085,0.009663,0.283459,0.002368,0.0,1560576
task_attr_mod_color_11699,plane,texture,2.2,0.002421,0.028844,37.8536,0.998377,0.012803,0.363366,0.002964,0.0,1560576
task_attr_mod_color_11699,plane,texture,3.141592653589793,0.004895,0.046641,35.436,0.997155,0.016912,0.420393,0.003746,0.0,1560576
task_attr_mod_color_11699,plane,band,0.1,4.1e-05,0.000538,54.837,0.999968,0.001809,0.030302,0.001114,0.0,1560576
task_attr_mod_color_11699,plane,band,0.2,0.000163,0.002702,48.8438,0.999887,0.003611,0.060301,0.001342,0.0,1560576
task_attr_mod_color_11699,plane,band,0.4,0.000889,0.012567,42.8841,0.999561,0.007174,0.118198,0.001842,0.0,1560576
task_attr_mod_color_11699,plane,band,0.7,0.003699,0.036479,38.1704,0.998687,0.012344,0.204228,0.002716,0.0,1560576
task_attr_mod_color_11699,plane,band,1.1,0.011708,0.070569,34.5403,0.996911,0.018749,0.323727,0.00389,0.0,1560576
task_attr_mod_color_11699,plane,band,1.6,0.024668,0.107398,31.8227,0.994035,0.025637,0.453211,0.005205,0.0,1560576
task_attr_mod_color_11699,plane,band,2.2,0.039015,0.137838,29.9637,0.990488,0.031755,0.531431,0.006504,0.0,1560576
task_attr_mod_color_11699,plane,band,3.141592653589793,0.048269,0.155363,28.9816,0.987681,0.035556,0.497687,0.00722,0.0,1560576
task_attr_mod_color_11699,shared_plane,texture,0.1,9e-06,4.5e-05,64.3158,0.999991,0.0006,0.016559,0.001029,0.0,381
task_attr_mod_color_11699,shared_plane,texture,0.2,3.5e-05,0.000185,58.3903,0.999983,0.001199,0.033057,0.001062,0.0,381
task_attr_mod_color_11699,shared_plane,texture,0.4,0.000128,0.000789,52.4139,0.99995,0.002393,0.065561,0.001211,0.0,381
task_attr_mod_color_11699,shared_plane,texture,0.7,0.000412,0.002675,47.6132,0.999847,0.004161,0.112172,0.001478,0.0,381
task_attr_mod_color_11699,shared_plane,texture,1.1,0.001049,0.007146,43.8014,0.999624,0.006455,0.166883,0.001874,0.0,381
task_attr_mod_color_11699,shared_plane,texture,1.6,0.001672,0.015268,40.7421,0.999214,0.009181,0.219039,0.002374,0.0,381
task_attr_mod_color_11699,shared_plane,texture,2.2,0.002656,0.027228,38.2831,0.998566,0.012185,0.294198,0.002988,0.0,381
task_attr_mod_color_11699,shared_plane,texture,3.141592653589793,0.005281,0.04662,35.8248,0.997389,0.016171,0.376471,0.003799,0.0,381
task_attr_mod_color_11699,shared_plane,band,0.1,4.4e-05,0.000537,55.4202,0.999973,0.001691,0.023222,0.001111,0.0,381
task_attr_mod_color_11699,shared_plane,band,0.2,0.000211,0.002702,49.4295,0.999909,0.003375,0.046259,0.001371,0.0,381
task_attr_mod_color_11699,shared_plane,band,0.4,0.001161,0.012443,43.4731,0.999638,0.006703,0.091059,0.001895,0.0,381
task_attr_mod_color_11699,shared_plane,band,0.7,0.003724,0.034358,38.7608,0.998899,0.011533,0.151889,0.002762,0.0,381
task_attr_mod_color_11699,shared_plane,band,1.1,0.009124,0.067482,35.1385,0.997342,0.017501,0.23921,0.003967,0.0,381
task_attr_mod_color_11699,shared_plane,band,1.6,0.019279,0.105409,32.4233,0.994709,0.023924,0.328439,0.005199,0.0,381
task_attr_mod_color_11699,shared_plane,band,2.2,0.031282,0.139839,30.553,0.991339,0.029672,0.376471,0.006296,0.0,381
task_attr_mod_color_11699,shared_plane,band,3.141592653589793,0.040378,0.161435,29.5442,0.988669,0.033326,0.425664,0.007079,0.0,381
task_attr_mod_color_11699,gain,texture,0.1,0.000944,0.001909,48.6852,0.999638,0.003678,0.070189,0.001446,0.0,774144
task_attr_mod_color_11699,gain,texture,0.2,0.003053,0.007632,42.6837,0.998548,0.007341,0.14169,0.002172,0.0,774144
