image,mode,gate,theta,dists,lpips,psnr,ssim,rms,linf,clip_fraction,degenerate_fraction,plane_init,n_params
task_attr_mod_color_184837,plane,band,1.1,0.30248,0.560384,17.1054,0.75762,0.13955,0.992157,0.028079,0.0,aligned,1560576
task_attr_mod_color_184837,plane,band,1.6,0.367579,0.645594,14.3941,0.432627,0.190676,1.0,0.02939,0.0,aligned,1560576
task_attr_mod_color_184837,plane,band,2.2,0.364446,0.643857,12.5831,0.071809,0.234879,1.0,0.02858,0.0,aligned,1560576
task_attr_mod_color_184837,plane,band,3.141592653589793,0.335036,0.433272,11.6224,-0.11635,0.262351,1.0,0.029531,0.0,aligned,1560576
task_attr_mod_color_32648,plane,texture,0.1,0.000221,0.001251,56.6053,0.999925,0.001475,0.054309,0.000398,0.083171,aligned,1560576
task_attr_mod_color_32648,plane,texture,0.2,0.001365,0.004921,50.6269,0.9997,0.00294,0.108489,0.000529,0.083171,aligned,1560576
task_attr_mod_color_32648,plane,texture,0.4,0.004368,0.01958,44.683,0.998782,0.005832,0.218966,0.00082,0.083171,aligned,1560576
task_attr_mod_color_32648,plane,texture,0.7,0.014197,0.05853,39.9416,0.996075,0.010067,0.386509,0.001348,0.083171,aligned,1560576
task_attr_mod_color_32648,plane,texture,1.1,0.03299,0.125503,36.1716,0.989376,0.015538,0.600762,0.002047,0.083171,aligned,1560576
task_attr_mod_color_32648,plane,texture,1.6,0.071396,0.195512,33.1363,0.975145,0.022038,0.831338,0.002656,0.083171,aligned,1560576
task_attr_mod_color_32648,plane,texture,2.2,0.132798,0.251292,30.7357,0.95075,0.029054,0.980392,0.003021,0.083171,aligned,1560576
task_attr_mod_color_32648,plane,texture,3.141592653589793,0.198766,0.287451,28.4699,0.908806,0.037714,1.0,0.003569,0.083171,aligned,1560576
task_attr_mod_color_32648,plane,band,0.1,0.001353,0.006638,48.2354,0.999715,0.003873,0.128138,0.000825,0.083171,aligned,1560576
task_attr_mod_color_32648,plane,band,0.2,0.006518,0.022379,42.3271,0.998862,0.007649,0.257337,0.001488,0.083171,aligned,1560576
task_attr_mod_color_32648,plane,band,0.4,0.03322,0.070892,36.4687,0.995286,0.015016,0.513751,0.00267,0.083171,aligned,1560576
task_attr_mod_color_32648,plane,band,0.7,0.090024,0.158791,31.7627,0.984142,0.025814,0.87439,0.003976,0.083171,aligned,1560576
task_attr_mod_color_32648,plane,band,1.1,0.186228,0.271386,28.0784,0.95604,0.039453,1.0,0.004768,0.083171,aligned,1560576
task_attr_mod_color_32648,plane,band,1.6,0.293176,0.35814,25.3827,0.902238,0.05381,1.0,0.004967,0.083171,aligned,1560576
task_attr_mod_color_32648,plane,band,2.2,0.325281,0.353041,23.6463,0.835169,0.065718,1.0,0.004974,0.083171,aligned,1560576
task_attr_mod_color_32648,plane,band,3.141592653589793,0.323066,0.314751,22.7978,0.788826,0.072462,1.0,0.00532,0.083171,aligned,1560576
task_attr_mod_color_6205,plane,texture,0.1,0.000231,0.001575,50.7559,0.999855,0.002897,0.081292,0.001245,0.000326,aligned,1560576
task_attr_mod_color_6205,plane,texture,0.2,0.001479,0.008266,44.7704,0.999444,0.005773,0.162598,0.001658,0.000326,aligned,1560576
task_attr_mod_color_6205,plane,texture,0.4,0.007448,0.033862,38.824,0.997842,0.011449,0.323715,0.002642,0.000326,aligned,1560576
task_attr_mod_color_6205,plane,texture,0.7,0.023519,0.08302,34.0849,0.993427,0.019758,0.510215,0.004341,0.000326,aligned,1560576
task_attr_mod_color_6205,plane,texture,1.1,0.056958,0.153921,30.3238,0.983179,0.030465,0.732456,0.006232,0.000326,aligned,1560576
task_attr_mod_color_6205,plane,texture,1.6,0.099556,0.225197,27.2917,0.961834,0.043193,0.87451,0.008241,0.000326,aligned,1560576
task_attr_mod_color_6205,plane,texture,2.2,0.141295,0.282278,24.8545,0.923415,0.057184,0.976471,0.00974,0.000326,aligned,1560576
task_attr_mod_color_6205,plane,texture,3.141592653589793,0.193305,0.334276,22.4578,0.849752,0.075354,1.0,0.01108,0.000326,aligned,1560576
task_attr_mod_color_6205,plane,band,0.1,0.003866,0.026664,42.3604,0.998914,0.00762,0.129892,0.002227,0.000326,aligned,1560576
task_attr_mod_color_6205,plane,band,0.2,0.023967,0.088562,36.4078,0.995717,0.015122,0.261464,0.004242,0.000326,aligned,1560576
task_attr_mod_color_6205,plane,band,0.4,0.09365,0.196264,30.5239,0.982861,0.029771,0.524383,0.007937,0.000326,aligned,1560576
task_attr_mod_color_6205,plane,band,0.7,0.186532,0.317712,25.8534,0.944674,0.050972,0.777056,0.011782,0.000326,aligned,1560576
task_attr_mod_color_6205,plane,band,1.1,0.270469,0.447779,22.2284,0.849505,0.077371,0.94902,0.014351,0.000326,aligned,1560576
task_attr_mod_color_6205,plane,band,1.6,0.339821,0.524671,19.5121,0.669424,0.105778,0.980392,0.014984,0.000326,aligned,1560576
task_attr_mod_color_6205,plane,band,2.2,0.341547,0.51189,17.6958,0.469186,0.130379,1.0,0.014375,0.000326,aligned,1560576
task_attr_mod_color_6205,plane,band,3.141592653589793,0.313526,0.41151,16.7697,0.355288,0.145049,1.0,0.012278,0.000326,aligned,1560576
task_env_weather_112463,plane,texture,0.1,0.000169,0.005251,49.7187,0.999728,0.003265,0.063258,0.000518,0.0,aligned,1560576
task_env_weather_112463,plane,texture,0.2,0.000753,0.034536,43.711,0.998902,0.006522,0.126459,0.000631,0.0,aligned,1560576
task_env_weather_112463,plane,texture,0.4,0.003933,0.136671,37.7249,0.995484,0.012994,0.247059,0.000968,0.0,aligned,1560576
task_env_weather_112463,plane,texture,0.7,0.014581,0.236478,32.943,0.985207,0.022534,0.359874,0.00157,0.0,aligned,1560576
task_env_weather_112463,plane,texture,1.1,0.044011,0.31901,29.1676,0.958803,0.034803,0.549484,0.002586,0.0,aligned,1560576
task_env_weather_112463,plane,texture,1.6,0.109398,0.399201,26.1616,0.898872,0.049195,0.739755,0.003754,0.0,aligned,1560576
task_env_weather_112463,plane,texture,2.2,0.177381,0.486268,23.7879,0.78902,0.064655,0.960784,0.004771,0.0,aligned,1560576
task_env_weather_112463,plane,texture,3.141592653589793,0.256583,0.555586,21.5187,0.604469,0.083959,0.988235,0.005323,0.0,aligned,1560576
task_env_weather_112463,plane,band,0.1,0.002221,0.034595,42.6968,0.999038,0.00733,0.118641,0.000919,0.0,aligned,1560576
task_env_weather_112463,plane,band,0.2,0.014571,0.138194,36.7106,0.996115,0.014604,0.238479,0.001486,0.0,aligned,1560576
task_env_weather_112463,plane,band,0.4,0.056208,0.274487,30.7792,0.983781,0.028909,0.476957,0.002778,0.0,aligned,1560576
task_env_weather_112463,plane,band,0.7,0.130645,0.393735,26.1022,0.944717,0.049532,0.74828,0.005102,0.0,aligned,1560576
task_env_weather_112463,plane,band,1.1,0.239846,0.513062,22.4834,0.839612,0.075132,0.952941,0.007011,0.0,aligned,1560576
task_env_weather_112463,plane,band,1.6,0.350576,0.620835,19.7765,0.626342,0.102606,1.0,0.007538,0.0,aligned,1560576
task_env_weather_112463,plane,band,2.2,0.351194,0.63266,17.9704,0.374918,0.126323,1.0,0.007173,0.0,aligned,1560576
task_env_weather_112463,plane,band,3.141592653589793,0.346503,0.584112,17.0485,0.22656,0.140468,1.0,0.006869,0.0,aligned,1560576
