condition,image_id,tau,kind,stlpips,lpips_alex
N1,bird_03,0.2,非加性,0.02768,0.20033
N1,cat_02,0.2,非加性,0.02901,0.20002
N1,dog_03,0.2,非加性,0.03988,0.20008
N2,bird_03,0.2,非加性,0.02729,0.19768
N2,cat_02,0.2,非加性,0.02841,0.20094
N2,dog_03,0.2,非加性,0.03375,0.20152
N3,bird_03,0.2,非加性,0.04336,0.19809
N3,dog_03,0.2,非加性,0.09649,0.20116
R,bird_03,0.2,非加性,0.02649,0.19539
R,cat_02,0.2,非加性,0.02866,0.20402
R,dog_03,0.2,非加性,0.04276,0.20163
photoguard_c,bird_03,0.2,加性,0.00285,0.19983
photoguard_c,cat_02,0.2,加性,0.01158,0.20211
photoguard_c,dog_03,0.2,加性,0.00237,0.1966
mist,bird_03,0.2,加性,0.01062,0.21321
mist,cat_02,0.2,加性,0.01576,0.19559
mist,dog_03,0.2,加性,0.01031,0.1914
dia_r,bird_03,0.2,加性,0.00661,0.20127
dia_r,cat_02,0.2,加性,0.01426,0.20317
dia_r,dog_03,0.2,加性,0.02009,0.20608
