image,condition,budget_target,mode,q_alg,radius,steps,unreachable,fid_lpips,fid_dists,fid_psnr,fid_ssim,fid_linf,fid_rms,edit_lpips,edit_strength,total_seconds
person_a_00,dct_shield,,paper,0.95,1.0,1000,False,0.58962,0.08748,29.793,0.84268,0.22082,0.03238,0.71705,0.7,150.3
person_a_00,dct_shield_y,,paper,0.85,1.0,1000,False,0.67345,0.13885,24.315,0.89667,0.40921,0.06085,0.72932,0.7,150.8
person_b_00,dct_shield,,paper,0.95,1.0,1000,False,0.57287,0.07048,29.563,0.82997,0.22361,0.03325,0.72163,0.7,151.3
person_b_00,dct_shield_y,,paper,0.85,1.0,1000,False,0.64849,0.12739,24.13,0.89241,0.35964,0.06216,0.70039,0.7,151.0
cat_00,dct_shield,,paper,0.95,1.0,1000,False,0.54806,0.10616,30.854,0.8703,0.24019,0.02866,0.62469,0.7,149.5
cat_00,dct_shield_y,,paper,0.85,1.0,1000,False,0.62091,0.15277,25.152,0.85334,0.40517,0.05526,0.65412,0.7,149.4
person_c_00,dct_shield,,paper,0.95,1.0,1000,False,0.54925,0.04728,29.538,0.86862,0.24011,0.03335,0.51434,0.7,150.0
person_c_00,dct_shield_y,,paper,0.85,1.0,1000,False,0.61845,0.1053,24.805,0.90741,0.39034,0.05751,0.55679,0.7,149.6
raccoon_00,dct_shield,,paper,0.95,1.0,1000,False,0.49412,0.04735,29.166,0.87444,0.2317,0.03481,0.64077,0.7,147.7
raccoon_00,dct_shield_y,,paper,0.85,1.0,1000,False,0.61055,0.06517,23.88,0.92433,0.42716,0.06397,0.64285,0.7,147.9
shiba_00,dct_shield,,paper,0.95,1.0,1000,False,0.56109,0.03607,29.494,0.84392,0.26138,0.03352,0.74259,0.7,148.3
shiba_00,dct_shield_y,,paper,0.85,1.0,1000,False,0.66705,0.07638,24.236,0.90861,0.37935,0.06141,0.74884,0.7,147.7
parrot_00,dct_shield,,paper,0.95,1.0,1000,False,0.55712,0.07609,29.822,0.78075,0.24642,0.03228,0.6194,0.7,149.5
parrot_00,dct_shield_y,,paper,0.85,1.0,1000,False,0.6471,0.10738,24.216,0.84937,0.38186,0.06155,0.63472,0.7,149.9
