image_id,condition,seed,scale_k,prompt,fid_lpips,fid_psnr,fid_linf,siglip_ctrl,siglip_def,clip_ctrl,clip_def,effect_siglip,effect_clip,edit_lpips
bird_03,N1,0,1.0,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.10526016354560852,0.10608693212270737,0.269233763217926,0.27267026901245117,-0.0008267685770988464,-0.0034365057945251465,0.3619099259376526
bird_03,N1,1,1.0,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.09076821804046631,0.0952528789639473,0.2739551067352295,0.2666212320327759,-0.0044846609234809875,0.007333874702453613,0.17514678835868835
bird_03,N1,2,1.0,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.10278099775314331,0.10053334385156631,0.2651432752609253,0.271884560585022,0.002247653901576996,-0.00674128532409668,0.15474149584770203
bird_03,N1,3,1.0,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.08482608199119568,0.09617564082145691,0.2741086184978485,0.2727351784706116,-0.01134955883026123,0.0013734400272369385,0.16600948572158813
bird_03,N1,4,1.0,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.09524726867675781,0.09461940824985504,0.25115323066711426,0.2566704750061035,0.000627860426902771,-0.005517244338989258,0.21770256757736206
bird_03,N2,0,1.0,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.10526016354560852,0.10227496176958084,0.269233763217926,0.279949426651001,0.0029852017760276794,-0.010715663433074951,0.255574107170105
bird_03,N2,1,1.0,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.09076821804046631,0.09768877923488617,0.2739551067352295,0.27747267484664917,-0.006920561194419861,-0.0035175681114196777,0.2712257504463196
bird_03,N2,2,1.0,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.10278099775314331,0.1019134521484375,0.2651432752609253,0.27919214963912964,0.0008675456047058105,-0.014048874378204346,0.30427175760269165
bird_03,N2,3,1.0,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.08482608199119568,0.09919726103544235,0.2741086184978485,0.2686271071434021,-0.014371179044246674,0.005481511354446411,0.19018617272377014
bird_03,N2,4,1.0,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.09524726867675781,0.08947078883647919,0.25115323066711426,0.2490190863609314,0.0057764798402786255,0.0021341443061828613,0.0938006043434143
bird_03,N3,0,1.0,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.10526016354560852,0.10795240104198456,0.269233763217926,0.26782289147377014,-0.0026922374963760376,0.0014108717441558838,0.2756061553955078
bird_03,N3,1,1.0,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.09076821804046631,0.09433367848396301,0.2739551067352295,0.271801620721817,-0.003565460443496704,0.0021534860134124756,0.22921119630336761
bird_03,N3,2,1.0,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.10278099775314331,0.1011449322104454,0.2651432752609253,0.2773340344429016,0.0016360655426979065,-0.012190759181976318,0.25308769941329956
bird_03,N3,3,1.0,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.08482608199119568,0.08893382549285889,0.2741086184978485,0.2754858136177063,-0.004107743501663208,-0.001377195119857788,0.10973645001649857
bird_03,N3,4,1.0,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.09524726867675781,0.09248362481594086,0.25115323066711426,0.25266775488853455,0.0027636438608169556,-0.001514524221420288,0.14241263270378113
bird_03,photoguard_c,0,1.0,a butterfly,0.4014667570590973,40.826332092285156,0.2235293984413147,0.10526016354560852,0.07962047308683395,0.269233763217926,0.2699732780456543,0.025639690458774567,-0.0007395148277282715,0.5870041847229004
bird_03,photoguard_c,1,1.0,a butterfly,0.4014667570590973,40.826332092285156,0.2235293984413147,0.09076821804046631,0.0980522409081459,0.2739551067352295,0.2830626964569092,-0.007284022867679596,-0.009107589721679688,0.5313360095024109
bird_03,photoguard_c,2,1.0,a butterfly,0.4014667570590973,40.826332092285156,0.2235293984413147,0.10278099775314331,0.1078263521194458,0.2651432752609253,0.30474287271499634,-0.00504535436630249,-0.039599597454071045,0.5789779424667358
bird_03,photoguard_c,3,1.0,a butterfly,0.4014667570590973,40.826332092285156,0.2235293984413147,0.08482608199119568,0.10729706287384033,0.2741086184978485,0.2677224278450012,-0.022470980882644653,0.00638619065284729,0.5858476161956787
bird_03,photoguard_c,4,1.0,a butterfly,0.4014667570590973,40.826332092285156,0.2235293984413147,0.09524726867675781,0.08302610367536545,0.25115323066711426,0.2881137728691101,0.012221165001392365,-0.03696054220199585,0.609039306640625
bird_03,mist,0,1.0,a butterfly,0.6212081909179688,26.619626998901367,0.0627451241016388,0.10526016354560852,0.09033006429672241,0.269233763217926,0.27065181732177734,0.014930099248886108,-0.0014180541038513184,0.7453159093856812
bird_03,mist,1,1.0,a butterfly,0.6212081909179688,26.619626998901367,0.0627451241016388,0.09076821804046631,0.07940475642681122,0.2739551067352295,0.2639007270336151,0.01136346161365509,0.01005437970161438,0.7119648456573486
bird_03,mist,2,1.0,a butterfly,0.6212081909179688,26.619626998901367,0.0627451241016388,0.10278099775314331,0.10697130113840103,0.2651432752609253,0.2662903070449829,-0.004190303385257721,-0.0011470317840576172,0.6685931086540222
bird_03,mist,3,1.0,a butterfly,0.6212081909179688,26.619626998901367,0.0627451241016388,0.08482608199119568,0.09207149595022202,0.2741086184978485,0.2883160710334778,-0.007245413959026337,-0.014207452535629272,0.7096771001815796
bird_03,mist,4,1.0,a butterfly,0.6212081909179688,26.619626998901367,0.0627451241016388,0.09524726867675781,0.10291151702404022,0.25115323066711426,0.287204384803772,-0.00766424834728241,-0.036051154136657715,0.7821860313415527
bird_03,dia_r,0,1.0,a butterfly,0.2968597114086151,40.46031188964844,0.02352944016456604,0.10526016354560852,0.09948407113552094,0.269233763217926,0.2670380175113678,0.0057760924100875854,0.0021957457065582275,0.34700852632522583
bird_03,dia_r,1,1.0,a butterfly,0.2968597114086151,40.46031188964844,0.02352944016456604,0.09076821804046631,0.10559998452663422,0.2739551067352295,0.2672197222709656,-0.014831766486167908,0.006735384464263916,0.3439546227455139
bird_03,dia_r,2,1.0,a butterfly,0.2968597114086151,40.46031188964844,0.02352944016456604,0.10278099775314331,0.10124455392360687,0.2651432752609253,0.28317520022392273,0.001536443829536438,-0.018031924962997437,0.4123839735984802
bird_03,dia_r,3,1.0,a butterfly,0.2968597114086151,40.46031188964844,0.02352944016456604,0.08482608199119568,0.09578901529312134,0.2741086184978485,0.2761463522911072,-0.01096293330192566,-0.002037733793258667,0.4037020802497864
bird_03,dia_r,4,1.0,a butterfly,0.2968597114086151,40.46031188964844,0.02352944016456604,0.09524726867675781,0.09385118633508682,0.25115323066711426,0.28562307357788086,0.00139608234167099,-0.0344698429107666,0.35724565386772156
bird_03,R,0,1.0,a butterfly,0.02159298025071621,36.64715576171875,0.43921568989753723,0.10526016354560852,0.10573474317789078,0.269233763217926,0.2693016827106476,-0.0004745796322822571,-6.791949272155762e-05,0.2549779713153839
bird_03,R,1,1.0,a butterfly,0.02159298025071621,36.64715576171875,0.43921568989753723,0.09076821804046631,0.09276580810546875,0.2739551067352295,0.2768230736255646,-0.0019975900650024414,-0.002867966890335083,0.15975654125213623
bird_03,R,2,1.0,a butterfly,0.02159298025071621,36.64715576171875,0.43921568989753723,0.10278099775314331,0.10197561234235764,0.2651432752609253,0.26828598976135254,0.000805385410785675,-0.003142714500427246,0.09627199172973633
bird_03,R,3,1.0,a butterfly,0.02159298025071621,36.64715576171875,0.43921568989753723,0.08482608199119568,0.09237775206565857,0.2741086184978485,0.27307870984077454,-0.007551670074462891,0.0010299086570739746,0.13046571612358093
bird_03,R,4,1.0,a butterfly,0.02159298025071621,36.64715576171875,0.43921568989753723,0.09524726867675781,0.08874469995498657,0.25115323066711426,0.2666212320327759,0.00650256872177124,-0.015468001365661621,0.15797105431556702
