[env] 載入 SDWrapper(CompVis/stable-diffusion-v1-4) dtype=torch.float32
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.

Loading pipeline components...:   0%|          | 0/6 [00:00<?, ?it/s]
Loading pipeline components...:  50%|█████     | 3/6 [00:00<00:00, 22.34it/s]

Loading weights:   0%|          | 0/196 [00:00<?, ?it/s][A
Loading weights: 100%|██████████| 196/196 [00:00<00:00, 3570.21it/s]

Loading pipeline components...: 100%|██████████| 6/6 [00:00<00:00, 15.80it/s]
Loading pipeline components...: 100%|██████████| 6/6 [00:00<00:00, 16.51it/s]
There are modules in UNet2DConditionModel that should be kept in float32: []. Casting directly with `to()` can lead to inconsistent results; set `torch_dtype` in `from_pretrained()` instead to keep these modules in float32.
There are modules in AutoencoderKL that should be kept in float32: []. Casting directly with `to()` can lead to inconsistent results; set `torch_dtype` in `from_pretrained()` instead to keep these modules in float32.
/nfs/home/nelson0314/venvs/wacv/lib/python3.11/site-packages/torchvision/models/_utils.py:207: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/nfs/home/nelson0314/venvs/wacv/lib/python3.11/site-packages/torchvision/models/_utils.py:222: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
[env] 影像 1 張：['bird_03']

Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 398/398 [00:00<00:00, 20321.04it/s]
[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.

Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]
Loading weights:  91%|█████████ | 370/408 [00:00<00:00, 3697.58it/s]
Loading weights: 100%|██████████| 408/408 [00:00<00:00, 3733.52it/s]
  N1             bird_03 seed0  effect_siglip=-0.0008  lpips(def,orig)=0.0526
  N1             bird_03 seed1  effect_siglip=-0.0045  lpips(def,orig)=0.0526
  N1             bird_03 seed2  effect_siglip=+0.0022  lpips(def,orig)=0.0526
  N1             bird_03 seed3  effect_siglip=-0.0113  lpips(def,orig)=0.0526
  N1             bird_03 seed4  effect_siglip=+0.0006  lpips(def,orig)=0.0526
  N2             bird_03 seed0  effect_siglip=+0.0030  lpips(def,orig)=0.0666
  N2             bird_03 seed1  effect_siglip=-0.0069  lpips(def,orig)=0.0666
  N2             bird_03 seed2  effect_siglip=+0.0009  lpips(def,orig)=0.0666
  N2             bird_03 seed3  effect_siglip=-0.0144  lpips(def,orig)=0.0666
  N2             bird_03 seed4  effect_siglip=+0.0058  lpips(def,orig)=0.0666
  N3             bird_03 seed0  effect_siglip=-0.0027  lpips(def,orig)=0.1348
  N3             bird_03 seed1  effect_siglip=-0.0036  lpips(def,orig)=0.1348
  N3             bird_03 seed2  effect_siglip=+0.0016  lpips(def,orig)=0.1348
  N3             bird_03 seed3  effect_siglip=-0.0041  lpips(def,orig)=0.1348
  N3             bird_03 seed4  effect_siglip=+0.0028  lpips(def,orig)=0.1348
  photoguard_c   bird_03 seed0  effect_siglip=+0.0256  lpips(def,orig)=0.4015
  photoguard_c   bird_03 seed1  effect_siglip=-0.0073  lpips(def,orig)=0.4015
  photoguard_c   bird_03 seed2  effect_siglip=-0.0050  lpips(def,orig)=0.4015
  photoguard_c   bird_03 seed3  effect_siglip=-0.0225  lpips(def,orig)=0.4015
  photoguard_c   bird_03 seed4  effect_siglip=+0.0122  lpips(def,orig)=0.4015
  mist           bird_03 seed0  effect_siglip=+0.0149  lpips(def,orig)=0.6212
  mist           bird_03 seed1  effect_siglip=+0.0114  lpips(def,orig)=0.6212
  mist           bird_03 seed2  effect_siglip=-0.0042  lpips(def,orig)=0.6212
  mist           bird_03 seed3  effect_siglip=-0.0072  lpips(def,orig)=0.6212
  mist           bird_03 seed4  effect_siglip=-0.0077  lpips(def,orig)=0.6212
  dia_r          bird_03 seed0  effect_siglip=+0.0058  lpips(def,orig)=0.2969
  dia_r          bird_03 seed1  effect_siglip=-0.0148  lpips(def,orig)=0.2969
  dia_r          bird_03 seed2  effect_siglip=+0.0015  lpips(def,orig)=0.2969
  dia_r          bird_03 seed3  effect_siglip=-0.0110  lpips(def,orig)=0.2969
  dia_r          bird_03 seed4  effect_siglip=+0.0014  lpips(def,orig)=0.2969
  R              bird_03 seed0  effect_siglip=-0.0005  lpips(def,orig)=0.0216
  R              bird_03 seed1  effect_siglip=-0.0020  lpips(def,orig)=0.0216
  R              bird_03 seed2  effect_siglip=+0.0008  lpips(def,orig)=0.0216
  R              bird_03 seed3  effect_siglip=-0.0076  lpips(def,orig)=0.0216
  R              bird_03 seed4  effect_siglip=+0.0065  lpips(def,orig)=0.0216

寫出 /nfs/home/nelson0314/wacv_runs/v14_bird_03/native_strength.csv（35 列）

=== 原始強度（k=1）下的 effect_siglip ===
  N1               mean=-0.0028  sd=0.0054  n=5
  N2               mean=-0.0023  sd=0.0082  n=5
  N3               mean=-0.0012  sd=0.0032  n=5
  R                mean=-0.0005  sd=0.0051  n=5
  dia_r            mean=-0.0034  sd=0.0089  n=5
  mist             mean=+0.0014  sd=0.0108  n=5
  photoguard_c     mean=+0.0006  sd=0.0186  n=5
[exit 0]
