[env] 載入 SDWrapper(CompVis/stable-diffusion-v1-4) dtype=torch.float32
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading pipeline components...:   0%|          | 0/6 [00:00<?, ?it/s]Loading pipeline components...:  33%|███▎      | 2/6 [00:00<00:00, 10.55it/s]
Loading weights:   0%|          | 0/196 [00:00<?, ?it/s][ALoading weights: 100%|██████████| 196/196 [00:00<00:00, 4275.16it/s]
Loading pipeline components...:  83%|████████▎ | 5/6 [00:00<00:00, 14.28it/s]Loading pipeline components...: 100%|██████████| 6/6 [00:00<00:00, 16.39it/s]
There are modules in UNet2DConditionModel that should be kept in float32: []. Casting directly with `to()` can lead to inconsistent results; set `torch_dtype` in `from_pretrained()` instead to keep these modules in float32.
There are modules in AutoencoderKL that should be kept in float32: []. Casting directly with `to()` can lead to inconsistent results; set `torch_dtype` in `from_pretrained()` instead to keep these modules in float32.
/nfs/home/nelson0314/venvs/wacv/lib/python3.11/site-packages/torchvision/models/_utils.py:207: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/nfs/home/nelson0314/venvs/wacv/lib/python3.11/site-packages/torchvision/models/_utils.py:222: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
[env] 影像 1 張：['bird_03']
Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]Loading weights: 100%|██████████| 398/398 [00:00<00:00, 9554.28it/s]
[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.
Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]Loading weights:  87%|████████▋ | 356/408 [00:00<00:00, 3555.79it/s]Loading weights: 100%|██████████| 408/408 [00:00<00:00, 3569.57it/s]
  st=0.30 N1             bird_03 seed0  effect=-0.0010  lpips(def,orig)=0.2003
  st=0.30 N1             bird_03 seed1  effect=-0.0596  lpips(def,orig)=0.2003
  st=0.30 N1             bird_03 seed2  effect=-0.0085  lpips(def,orig)=0.2003
  st=0.30 N1             bird_03 seed3  effect=-0.0160  lpips(def,orig)=0.2003
  st=0.30 N1             bird_03 seed4  effect=-0.0029  lpips(def,orig)=0.2003
  st=0.30 N1             bird_03 seed5  effect=-0.0044  lpips(def,orig)=0.2003
  st=0.30 N1             bird_03 seed6  effect=+0.0041  lpips(def,orig)=0.2003
  st=0.30 N1             bird_03 seed7  effect=+0.0060  lpips(def,orig)=0.2003
  st=0.30 N1             bird_03 seed8  effect=-0.0158  lpips(def,orig)=0.2003
  st=0.30 N1             bird_03 seed9  effect=-0.0191  lpips(def,orig)=0.2003
  st=0.30 N2             bird_03 seed0  effect=+0.0041  lpips(def,orig)=0.1977
  st=0.30 N2             bird_03 seed1  effect=-0.0300  lpips(def,orig)=0.1977
  st=0.30 N2             bird_03 seed2  effect=+0.0190  lpips(def,orig)=0.1977
  st=0.30 N2             bird_03 seed3  effect=-0.0110  lpips(def,orig)=0.1977
  st=0.30 N2             bird_03 seed4  effect=-0.0065  lpips(def,orig)=0.1977
  st=0.30 N2             bird_03 seed5  effect=+0.0174  lpips(def,orig)=0.1977
  st=0.30 N2             bird_03 seed6  effect=+0.0069  lpips(def,orig)=0.1977
  st=0.30 N2             bird_03 seed7  effect=+0.0103  lpips(def,orig)=0.1977
  st=0.30 N2             bird_03 seed8  effect=+0.0191  lpips(def,orig)=0.1977
  st=0.30 N2             bird_03 seed9  effect=-0.0628  lpips(def,orig)=0.1977
  st=0.30 N3             bird_03 seed0  effect=+0.0067  lpips(def,orig)=0.1981
  st=0.30 N3             bird_03 seed1  effect=-0.0159  lpips(def,orig)=0.1981
  st=0.30 N3             bird_03 seed2  effect=-0.0213  lpips(def,orig)=0.1981
  st=0.30 N3             bird_03 seed3  effect=-0.0117  lpips(def,orig)=0.1981
  st=0.30 N3             bird_03 seed4  effect=-0.0168  lpips(def,orig)=0.1981
  st=0.30 N3             bird_03 seed5  effect=+0.0027  lpips(def,orig)=0.1981
  st=0.30 N3             bird_03 seed6  effect=-0.0059  lpips(def,orig)=0.1981
  st=0.30 N3             bird_03 seed7  effect=-0.0031  lpips(def,orig)=0.1981
  st=0.30 N3             bird_03 seed8  effect=+0.0062  lpips(def,orig)=0.1981
  st=0.30 N3             bird_03 seed9  effect=-0.0063  lpips(def,orig)=0.1981
  st=0.30 photoguard_c   bird_03 seed0  effect=+0.0098  lpips(def,orig)=0.1998
  st=0.30 photoguard_c   bird_03 seed1  effect=-0.0041  lpips(def,orig)=0.1998
  st=0.30 photoguard_c   bird_03 seed2  effect=-0.0008  lpips(def,orig)=0.1998
  st=0.30 photoguard_c   bird_03 seed3  effect=-0.0004  lpips(def,orig)=0.1998
  st=0.30 photoguard_c   bird_03 seed4  effect=-0.0098  lpips(def,orig)=0.1998
  st=0.30 photoguard_c   bird_03 seed5  effect=+0.0066  lpips(def,orig)=0.1998
  st=0.30 photoguard_c   bird_03 seed6  effect=+0.0236  lpips(def,orig)=0.1998
  st=0.30 photoguard_c   bird_03 seed7  effect=+0.0000  lpips(def,orig)=0.1998
  st=0.30 photoguard_c   bird_03 seed8  effect=+0.0116  lpips(def,orig)=0.1998
  st=0.30 photoguard_c   bird_03 seed9  effect=-0.0002  lpips(def,orig)=0.1998
  st=0.30 mist           bird_03 seed0  effect=+0.0079  lpips(def,orig)=0.2132
