image,condition,prompt_index,prompt,block,r_min,quantile,target_image,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
bird_00,phase,1,a bird on a flooded street,32,0.12,0.5,data/targets/gray.png,human,human,0.04347,False,1.3,42.4,0.165,0.9689,0.0435,32.6043,0.996,5.3184,0.7159,0.5564,0.2615,0.2543,0.0072,0.1141,0.0925,0.0216,0.01821,0.3902
bird_00,add,1,a bird on a flooded street,32,0.12,0.5,data/targets/gray.png,human,human,0.00282,False,0.00471,25.2,0.2717,0.997,0.0028,48.0319,0.9879,5.5673,0.7131,0.359,0.2615,0.276,-0.0145,0.1141,0.1255,-0.0114,,
bird_00,phase_rand,1,a bird on a flooded street,32,0.12,0.5,data/targets/gray.png,human,human,0.05922,False,1.3,11.0,0.0718,0.9709,0.0592,33.3097,0.9953,5.2122,0.7111,0.1081,0.2615,0.2474,0.0142,0.1141,0.101,0.0131,0.0178,0.3902
bird_01,phase,1,a bird on a flooded street,32,0.12,0.5,data/targets/gray.png,human,human,0.07866,False,1.3,25.7,0.2962,0.9379,0.0787,29.9701,0.9891,5.0383,0.7289,0.5404,0.2669,0.2809,-0.014,0.1097,0.094,0.0158,0.02643,0.5692
bird_01,add,1,a bird on a flooded street,32,0.12,0.5,data/targets/gray.png,human,human,0.0048,False,0.00471,25.5,0.1509,0.9985,0.0048,47.2884,0.9987,4.9893,0.7145,0.2382,0.2669,0.2835,-0.0167,0.1097,0.1019,0.0078,,
bird_01,phase_rand,1,a bird on a flooded street,32,0.12,0.5,data/targets/gray.png,human,human,0.07682,False,1.3,11.1,0.0904,0.9509,0.0768,31.0484,0.9946,4.8999,0.7098,0.2503,0.2669,0.2853,-0.0184,0.1097,0.1094,0.0003,0.02454,0.5692
bird_02,phase,1,a bird on a flooded street,32,0.12,0.5,data/targets/gray.png,human,human,0.04427,False,1.3,25.6,0.3939,0.9589,0.0443,33.9055,0.9956,4.3354,0.6018,0.5985,0.2764,0.2694,0.0071,0.0985,0.0605,0.038,0.01987,0.6916
bird_02,add,1,a bird on a flooded street,32,0.12,0.5,data/targets/gray.png,human,human,0.00261,False,0.00471,25.5,0.1301,0.9979,0.0026,47.5605,0.9997,4.4845,0.6067,0.4935,0.2764,0.3161,-0.0396,0.0985,0.1502,-0.0517,,
bird_02,phase_rand,1,a bird on a flooded street,32,0.12,0.5,data/targets/gray.png,human,human,0.04294,False,1.3,11.0,0.0699,0.9676,0.0429,35.4523,0.9968,4.2743,0.5666,0.1433,0.2764,0.276,0.0004,0.0985,0.0849,0.0137,0.01812,0.6916
bird_03,phase,1,a bird on a flooded street,32,0.12,0.5,data/targets/gray.png,human,human,0.02572,False,1.3,25.7,0.1916,0.9644,0.0257,34.956,0.9982,5.4831,0.7188,0.4872,0.2462,0.2687,-0.0224,0.0816,0.1117,-0.0301,0.0146,0.4617
