step,loss,step_size,delta_linf01,delta_l2
0,264.3186340332031,1.0,0.16224491596221924,0.99996417760849
1,263.5348587036133,1.0,0.1627427041530609,1.467698335647583
2,261.4663833618164,1.0,0.16298162937164307,1.9220921993255615
3,256.69242706298826,1.0,0.16322267055511475,2.45265531539917
4,250.45797576904297,1.0,0.16296949982643127,2.8292291164398193
5,250.107421875,1.0,0.16283974051475525,3.2917730808258057
6,243.2560775756836,1.0,0.16289275884628296,3.713639259338379
7,241.94019927978516,1.0,0.16157406568527222,4.051191329956055
8,241.94224700927734,1.0,0.1614474654197693,4.338278770446777
9,238.09833679199218,1.0,0.1613810658454895,4.472992420196533
10,235.4813690185547,1.0,0.1603401005268097,4.8725457191467285
11,232.78006744384766,1.0,0.16053363680839539,5.154404163360596
12,235.67251892089843,1.0,0.16058573126792908,5.311324596405029
13,225.90128479003906,1.0,0.1589430570602417,5.5735764503479
14,230.66097412109374,1.0,0.1586970090866089,5.785819053649902
15,233.98753509521484,1.0,0.15831506252288818,6.011883735656738
16,232.66228332519532,1.0,0.15885642170906067,6.21481466293335
17,232.73584747314453,1.0,0.1579883098602295,6.387760162353516
18,231.40452270507814,1.0,0.15912538766860962,6.558181285858154
19,225.63388214111328,1.0,0.15689483284950256,6.866616249084473
20,223.1872528076172,1.0,0.1581006646156311,7.0539469718933105
21,223.2805191040039,1.0,0.15933769941329956,7.260068416595459
22,226.01032104492188,1.0,0.15821227431297302,7.5092267990112305
23,223.27215423583985,1.0,0.15714311599731445,7.77742338180542
24,220.19532928466796,1.0,0.1550769805908203,8.032944679260254
25,220.59537048339843,1.0,0.1545392870903015,8.26667594909668
26,222.91634063720704,1.0,0.1546081304550171,8.476080894470215
27,216.15079650878906,1.0,0.15435844659805298,8.735733032226562
28,222.73736877441405,1.0,0.15261703729629517,8.952972412109375
29,212.13213958740235,1.0,0.15394875407218933,9.21645450592041
30,213.40569458007812,1.0,0.15765824913978577,9.471016883850098
31,216.8950180053711,1.0,0.1620040237903595,9.720516204833984
32,212.0868881225586,1.0,0.16252508759498596,9.967132568359375
33,210.83912811279296,1.0,0.16503742337226868,10.157390594482422
34,208.44375915527343,1.0,0.1679096519947052,10.317522048950195
35,204.25501251220703,1.0,0.17579010128974915,10.604413032531738
36,207.3982681274414,1.0,0.1740882694721222,10.824554443359375
37,209.3854019165039,1.0,0.17871347069740295,11.072338104248047
38,209.04745788574218,1.0,0.18787291646003723,11.27096176147461
39,201.15221710205077,1.0,0.18997707962989807,11.453317642211914
40,202.77245483398437,1.0,0.19201049208641052,11.667625427246094
41,202.36636657714843,1.0,0.19312432408332825,11.782361030578613
42,201.99498138427734,1.0,0.19487884640693665,11.946235656738281
43,200.68633117675782,1.0,0.19942054152488708,12.121155738830566
