image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44305,0.97406,28.082,0.38076,0.06436,0.43967,0.66372,17.275,0.25995,0.24713,0.43265,0.03944,0.8619,0.86345,False,0.837,409.2
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42295,0.96363,29.158,0.4065,0.09923,0.60617,0.32043,7.941,0.14856,0.38365,0.42557,0.03484,0.80292,0.80592,True,0.837,400.3
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42773,0.95351,24.985,0.39059,0.11,0.54116,0.49357,16.208,0.24659,0.3181,0.39346,0.05633,0.94505,0.90964,False,0.837,400.2
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53926,0.96588,33.63,0.20918,0.09798,0.56095,0.41343,11.24,0.10898,0.36211,0.44728,0.02082,0.78607,0.6909,True,0.837,401.3
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47345,0.97152,30.271,0.39653,0.10154,0.6439,0.23602,6.972,0.61913,0.46695,0.43194,0.03065,0.74695,0.81727,True,0.837,401.4
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53914,0.97227,30.356,0.42405,0.04206,0.83958,0.34173,10.138,0.14841,0.36128,0.30514,0.03035,0.55733,0.58698,True,0.837,400.2
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48276,0.97367,29.145,0.44602,0.08422,0.69742,0.28887,8.427,0.08394,0.36452,0.4424,0.03489,0.73385,0.71024,True,0.837,401.2
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44894,0.91353,27.335,0.34512,0.08078,0.68044,0.45538,12.616,0.00999,0.41519,0.44805,0.04298,0.84645,0.8909,False,0.837,400.8
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44149,0.95685,26.814,0.40101,0.07141,0.58423,0.35947,11.799,0.10981,0.28098,0.43424,0.04564,0.66384,0.61207,True,0.837,400.2
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46474,0.95446,28.202,0.37489,0.06155,0.77862,0.25927,9.367,0.0578,0.5263,0.4549,0.0389,0.37534,0.4946,True,0.837,372.7
