image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,gain_only,instruct-pix2pix,turn the color of potted plant to pink,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46162,0.96665,27.569,0.35857,0.077,0.45922,0.64828,17.028,0.25135,0.26154,0.45167,0.04183,0.85589,0.85187,False,0.837,424.9
task_attr_mod_color_136767,gain_only,instruct-pix2pix,turn the color of astronaut to pink,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43192,0.95779,28.753,0.39356,0.11005,0.61202,0.3211,7.995,0.16551,0.37903,0.43409,0.03651,0.79193,0.80294,True,0.837,414.5
task_attr_mod_color_184837,gain_only,instruct-pix2pix,turn the color of frame to pink,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43288,0.94339,24.408,0.3763,0.12778,0.58836,0.47261,15.598,0.24064,0.33158,0.45262,0.0602,0.93356,0.88098,False,0.837,414.4
task_attr_mod_color_32648,gain_only,instruct-pix2pix,turn the color of potion bottle to orange,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54532,0.95832,32.945,0.19559,0.1112,0.59723,0.40561,10.992,0.07566,0.38061,0.34706,0.02253,0.76915,0.74942,True,0.837,414.0
task_attr_mod_color_6205,gain_only,instruct-pix2pix,turn the color of toolbox to red,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49312,0.96535,29.721,0.37613,0.10906,0.64645,0.26199,7.454,0.50482,0.45002,0.48847,0.03266,0.85117,0.81831,True,0.837,413.7
task_env_weather_112463,gain_only,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54744,0.96771,30.034,0.411,0.05375,0.82852,0.33574,10.23,0.1513,0.36071,0.38567,0.0315,0.5573,0.57979,True,0.837,413.9
task_env_weather_246440,gain_only,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38168,0.94153,23.314,0.37197,0.08348,0.52657,0.35773,15.433,0.13145,0.30809,0.65902,0.06828,0.92335,0.85013,False,0.837,413.8
task_env_weather_63722,gain_only,instruct-pix2pix,change the setting to a snowy landscape,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46409,0.96089,26.923,0.36598,0.07321,0.51126,0.59043,15.306,0.20421,0.30209,0.42871,0.04507,0.86716,0.82697,True,0.837,413.2
task_obj_add_40931,gain_only,instruct-pix2pix,Add the blood on snout,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46554,0.95614,27.485,0.43178,0.10313,0.54132,0.39301,15.663,0.24823,0.3639,0.37959,0.04224,0.88284,0.72304,True,0.837,413.8
task_obj_remove_380621,gain_only,instruct-pix2pix,Remove iceberg,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50062,0.9691,28.527,0.41678,0.10021,0.7093,0.27269,8.151,0.07319,0.37765,0.49834,0.03747,0.73213,0.71729,True,0.837,413.7
