purify,purify_family,strength,method,model,edit_method,image_id,prompt_idx,psnr,ssim,vifp,fsim,lpips,drop_psnr,drop_ssim,drop_vifp,drop_fsim,drop_lpips,drop_valid
jpeg_q90,jpeg,90,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,13.054238319396973,0.3998776276906331,0.17739669481913248,0.6364456613858541,0.6943898995717367,-0.20860536464299181,-1.1101670441006721,-0.5389143920324222,-0.5346633584078122,0.212089021900992,True
jpeg_q80,jpeg,80,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,13.268013954162598,0.4146711428960164,0.2093897114197413,0.6486695011456808,0.6182228922843933,-0.22839743314106642,-1.1882328974795788,-0.8164534619762389,-0.5641387403871724,0.29851427268251657,True
jpeg_q65,jpeg,65,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,13.93220297495524,0.47657182812690735,0.20032247404257456,0.6930118600527445,0.5708250800768534,-0.2898902904052232,-1.5148847953010058,-0.7377952766592974,-0.6710616052423738,0.352295666391193,True
jpeg_q50,jpeg,50,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,15.14141050974528,0.597740630308787,0.35129527747631073,0.7863365610440572,0.47642985979715985,-0.4018427979170884,-2.154296443844567,-2.047482699226772,-0.8960957404957565,0.4594041228712128,True
blur_s0.5,blur,0.5,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,11.66243839263916,0.26962889234224957,0.15218558410803476,0.48742856582005817,0.8124446670214335,-0.07974783831073777,-0.42284029752762964,-0.3202082816847189,-0.175337982784684,0.07813452839826489,True
blur_s1.0,blur,1.0,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,20.40406099955241,0.8041699131329855,0.5751299063364664,0.9018166263898214,0.28488534688949585,-0.8890767106587536,-3.243630378500107,-3.9892456623943287,-1.1745531731802414,0.6767460292089276,True
blur_s1.5,blur,1.5,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,23.36510976155599,0.8870808680852255,0.6558541655540466,0.9428316354751587,0.1898612082004547,-1.1632205811141791,-3.681154142321392,-4.689527730348009,-1.2734527892935326,0.7845681074155294,True
crop_r0.1,crop_resize,0.1,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,12.23648198445638,0.2933584451675415,0.15151865283648172,0.5184276501337687,0.7552110950152079,-0.1328947280513928,-0.5480619075295686,-0.31442266018068865,-0.25008616904280984,0.1430763711977316,True
crop_r0.2,crop_resize,0.2,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,12.37730598449707,0.36590325832366943,0.1915664921204249,0.5814267893632253,0.7113852699597677,-0.14593268842528648,-0.9308832092027252,-0.661837229018612,-0.40199618501519335,0.19280469919720958,True
crop_r0.3,crop_resize,0.3,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,11.779853185017904,0.40207070112228394,0.21849551796913147,0.6315045754114786,0.7239885131518046,-0.09061849537132899,-1.1217399628145508,-0.8954462344414015,-0.5227489027744671,0.17850403947162619,True
advclean_bf,advclean_bf,,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,13.80019505818685,0.48382972677548725,0.17073691884676614,0.6883267760276794,0.6179349819819132,-0.27766855272294433,-1.5531849588438005,-0.48114090813501575,-0.6597644478877728,0.29884095901273505,True
advclean_bfgf,advclean_bfgf,,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,13.214963595072428,0.40845828255017597,0.20339121917883554,0.6459358135859171,0.6267091433207194,-0.22348585216453817,-1.1554474345190575,-0.7644166072341791,-0.5575469912625584,0.2888850854513238,True
jpeg_q90,jpeg,90,advdiff,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,12.727004686991373,0.48647645115852356,0.25502677261829376,0.7411173184712728,0.7089120546976725,-0.001167320575413023,0.012494314620220626,0.0015650622383609563,0.002389478687666001,0.0041193412994939916,True
