image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,defense_steps,loss,gain_ratio,purify_aware,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_shield,instruct-pix2pix,turn the color of potted plant to pink,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44448,0.89218,30.011,0.49607,0.0463,0.41908,0.68456,17.554,0.27605,0.23916,0.29331,0.03158,0.88691,0.90261,False,0.837,47.6
task_attr_mod_color_136767,dct_shield,instruct-pix2pix,turn the color of astronaut to pink,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40256,0.87768,30.477,0.53146,0.04778,0.57581,0.37585,8.745,0.20773,0.32192,0.24872,0.02993,0.79474,0.80788,True,0.837,38.2
task_attr_mod_color_184837,dct_shield,instruct-pix2pix,turn the color of frame to pink,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.33237,0.93794,29.507,0.59838,0.02937,0.45427,0.62756,17.847,0.27834,0.26464,0.27032,0.03347,0.96637,0.92691,False,0.837,38.7
task_attr_mod_color_32648,dct_shield,instruct-pix2pix,turn the color of potion bottle to orange,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5705,0.79274,31.646,0.23945,0.0855,0.57279,0.41785,11.253,0.14278,0.3432,0.20362,0.02616,0.79423,0.77888,True,0.837,38.9
task_attr_mod_color_6205,dct_shield,instruct-pix2pix,turn the color of toolbox to red,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48644,0.88424,30.362,0.48499,0.05388,0.63488,0.29608,7.903,0.42509,0.41442,0.31723,0.03033,0.87971,0.83045,True,0.837,39.1
task_env_weather_112463,dct_shield,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54605,0.9039,30.418,0.51935,0.03181,0.8332,0.40172,10.658,0.18247,0.33958,0.23334,0.03014,0.55944,0.58472,True,0.837,39.2
task_env_weather_246440,dct_shield,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25052,0.93781,28.575,0.61119,0.01587,0.44144,0.45518,15.965,0.14395,0.23426,0.29351,0.03726,0.92667,0.86554,False,0.837,39.1
task_env_weather_63722,dct_shield,instruct-pix2pix,change the setting to a snowy landscape,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44061,0.9049,30.564,0.528,0.03689,0.4684,0.66013,17.225,0.25255,0.25918,0.26775,0.02964,0.87674,0.85802,False,0.837,39.2
task_obj_add_40931,dct_shield,instruct-pix2pix,Add the blood on snout,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41346,0.93309,30.404,0.60071,0.04666,0.48664,0.45283,16.418,0.27118,0.32792,0.24075,0.03019,0.8871,0.76937,True,0.837,39.3
task_obj_remove_380621,dct_shield,instruct-pix2pix,Remove iceberg,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49624,0.89979,30.518,0.53028,0.06858,0.68875,0.27535,8.538,0.08526,0.36609,0.25759,0.02979,0.72311,0.69901,True,0.837,39.3
