image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.10688,0.96634,28.809,0.54729,0.05775,0.13972,0.8994,23.032,0.41382,0.07601,0.46509,0.03627,38.7
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.17461,0.93097,27.959,0.46469,0.08823,0.20711,0.80179,23.268,0.33746,0.14078,0.34129,0.04,38.7
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.16727,0.91692,23.514,0.43033,0.07601,0.26024,0.69186,17.508,0.29629,0.19147,0.58851,0.06673,38.7
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.168,0.98571,40.026,0.63735,0.0705,0.16636,0.90521,23.619,0.62705,0.13408,0.20179,0.00997,38.7
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.1108,0.95317,30.147,0.57662,0.10306,0.23354,0.80092,16.523,0.4708,0.15546,0.37136,0.03109,38.9
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.20096,0.92551,29.601,0.49158,0.07539,0.3063,0.72645,20.803,0.24391,0.12261,0.33256,0.03311,38.9
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.17999,0.9382,29.968,0.49979,0.06769,0.24864,0.85724,24.551,0.31275,0.0858,0.32273,0.03174,38.8
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.20815,0.91822,30.075,0.46602,0.07654,0.23943,0.81652,23.301,0.40697,0.14889,0.26144,0.03135,39.0
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.21366,0.90965,21.917,0.42868,0.06838,0.35465,0.59039,17.616,0.1904,0.15621,0.90211,0.08019,38.8
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.15395,0.95726,26.94,0.4974,0.06156,0.19472,0.85785,22.107,0.31983,0.09246,0.52246,0.04498,38.9
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.20206,0.9298,26.756,0.45674,0.08234,0.46036,0.6166,16.907,0.22596,0.24757,0.44235,0.04594,38.8
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.11064,0.96448,30.184,0.6019,0.07403,0.21951,0.83328,17.379,0.44563,0.14675,0.42157,0.03096,38.9
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.30549,0.92848,27.475,0.48263,0.07532,0.29122,0.7129,20.35,0.30209,0.14622,0.37267,0.04229,38.9
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.13571,0.9508,33.546,0.59101,0.08372,0.16347,0.88777,28.193,0.52443,0.10416,0.38961,0.02102,38.9
