cell_id,config_hash,condition,image_id,subtask,tau,purify_kind,purify_strength,seed,fid_psnr,fid_lpips,fid_ssim,fid_linf,fid_fsim,fid_vif_p,fid_dists,fid_niqe,fid_acutance_ratio,fid_rms,fid_frac_gt_16_255,edit_clip_b,edit_siglip_b,edit_psnr,edit_lpips,edit_ssim,edit_mse,edit_fsim,edit_vif_p,effect_abs,effect_clip,effect_siglip,effect_control,retention,retention_usable,steps_used,stop_reason,seconds,proxy_gap,attn_full,attn_steps,defimg_acutance_ratio,defimg_dists,defimg_frac_gt_16_255,defimg_fsim,defimg_linf,defimg_lpips,defimg_psnr,defimg_rms,defimg_ssim,defimg_vif_p,edit_acutance_ratio,edit_clip_a,edit_dists,edit_frac_gt_16_255,edit_linf,edit_niqe_a,edit_niqe_b,edit_rms,edit_siglip_a,finished,group,image,prompt,purify_available,stage,started,status,lr,tau_achieved,scale_k,skipped_reason,modified_from_paper
eval/N4/bird_03/purifyadverse_cleaner0/seed0/tau0.5,02e32a7d5289,N4,bird_03,bird,0.5,adverse_cleaner,0.0,0,17.0470027923584,0.49703851342201233,0.49405282735824585,1.0,0.7092782855033875,0.06353267282247543,0.332136869430542,6.925761520929616,0.9582495093345642,0.14049141108989716,0.5747731924057007,0.273335725069046,0.0838235542178154,18.44424819946289,0.44741907715797424,0.7324246168136597,0.014307869598269463,0.8000373244285583,0.1439150720834732,-0.03419136628508568,-0.03633725643157959,-0.03419136628508568,-0.012892517820000648,2.6520317258777277,False,54,約束已啟動且 attn_suppressed 在最近 20 步的每步改善 +1.25e-01 低於 1.4e-01,9.380819437094033,0.0,False,11,0.7994024157524109,0.31214189529418945,0.5552381277084351,0.7323424220085144,1.0,0.5096944570541382,17.27877426147461,0.1367921680212021,0.5800232887268066,0.07594609260559082,0.5054935812950134,0.23699846863746643,0.2908833622932434,0.48784637451171875,0.9210272431373596,4.648159065422983,5.577936109234891,0.11961551010608673,0.04963218793272972,2026-08-09T06:56:15+08:00,bird,bird_03,a butterfly,True,eval,2026-08-09T06:56:06+08:00,done,0.1,0.49703851342201233,0.875,,
eval/N4/bird_03/purifyadverse_cleaner0/seed1/tau0.5,670134e46d36,N4,bird_03,bird,0.5,adverse_cleaner,0.0,1,17.0470027923584,0.49703851342201233,0.49405282735824585,1.0,0.7092782855033875,0.06353267282247543,0.332136869430542,6.925761520929616,0.9582495093345642,0.14049141108989716,0.5747731924057007,0.2822016179561615,0.07510341703891754,18.338348388671875,0.4329572319984436,0.7188846468925476,0.014661051332950592,0.7849189639091492,0.172361359000206,0.012749016284942627,-0.07019063830375671,0.012749016284942627,-0.012892517820000648,-0.9888693940887635,False,54,約束已啟動且 attn_suppressed 在最近 20 步的每步改善 +1.25e-01 低於 1.4e-01,9.389412734191865,0.0,False,11,0.7994024157524109,0.31214189529418945,0.5552381277084351,0.7323424220085144,1.0,0.5096944570541382,17.27877426147461,0.1367921680212021,0.5800232887268066,0.07594609260559082,0.45421767234802246,0.21201097965240479,0.27591419219970703,0.5099233388900757,0.9454322457313538,3.9502919886555476,4.962999337703457,0.12108282744884491,0.08785243332386017,2026-08-09T06:56:25+08:00,bird,bird_03,a butterfly,True,eval,2026-08-09T06:56:15+08:00,done,0.1,0.49703851342201233,0.875,,
eval/N4/bird_03/purifyadverse_cleaner0/seed2/tau0.5,77bc17e5d066,N4,bird_03,bird,0.5,adverse_cleaner,0.0,2,17.0470027923584,0.49703851342201233,0.49405282735824585,1.0,0.7092782855033875,0.06353267282247543,0.332136869430542,6.925761520929616,0.9582495093345642,0.14049141108989716,0.5747731924057007,0.2667388916015625,0.08457518368959427,17.705163955688477,0.4917181730270386,0.665241003036499,0.016962246969342232,0.7284120321273804,0.14026282727718353,-0.009863205254077911,-0.008906066417694092,-0.009863205254077911,-0.012892517820000648,0.7650332845595722,False,54,約束已啟動且 attn_suppressed 在最近 20 步的每步改善 +1.25e-01 低於 1.4e-01,9.334126949077472,0.0,False,11,0.7994024157524109,0.31214189529418945,0.5552381277084351,0.7323424220085144,1.0,0.5096944570541382,17.27877426147461,0.1367921680212021,0.5800232887268066,0.07594609260559082,0.6685395836830139,0.2578328251838684,0.2980331778526306,0.5420303344726562,0.958422839641571,3.3370313345822034,4.739887563251246,0.13023918867111206,0.07471197843551636,2026-08-09T06:56:34+08:00,bird,bird_03,a butterfly,True,eval,2026-08-09T06:56:25+08:00,done,0.1,0.49703851342201233,0.875,,
eval/N4/bird_03/purifyadverse_cleaner0/seed3/tau0.5,eb797274e57f,N4,bird_03,bird,0.5,adverse_cleaner,0.0,3,17.0470027923584,0.49703851342201233,0.49405282735824585,1.0,0.7092782855033875,0.06353267282247543,0.332136869430542,6.925761520929616,0.9582495093345642,0.14049141108989716,0.5747731924057007,0.27251577377319336,0.09352166950702667,18.372957229614258,0.4266549348831177,0.7342637777328491,0.014544676057994366,0.789933979511261,0.1807771772146225,-0.02756362408399582,-0.07281620800495148,-0.02756362408399582,-0.012892517820000648,2.1379550890544694,False,54,約束已啟動且 attn_suppressed 在最近 20 步的每步改善 +1.25e-01 低於 1.4e-01,9.294831180013716,0.0,False,11,0.7994024157524109,0.31214189529418945,0.5552381277084351,0.7323424220085144,1.0,0.5096944570541382,17.27877426147461,0.1367921680212021,0.5800232887268066,0.07594609260559082,0.7426673769950867,0.19969956576824188,0.264509916305542,0.5136451721191406,0.9706926345825195,4.228801555151191,4.884023057443395,0.12060131132602692,0.06595804542303085,2026-08-09T06:56:44+08:00,bird,bird_03,a butterfly,True,eval,2026-08-09T06:56:34+08:00,done,0.1,0.49703851342201233,0.875,,
eval/N4/bird_03/purifyadverse_cleaner0/seed4/tau0.5,a1bd1c8e0e76,N4,bird_03,bird,0.5,adverse_cleaner,0.0,4,17.0470027923584,0.49703851342201233,0.49405282735824585,1.0,0.7092782855033875,0.06353267282247543,0.332136869430542,6.925761520929616,0.9582495093345642,0.14049141108989716,0.5747731924057007,0.2626253366470337,0.10089869052171707,18.20235252380371,0.4357752203941345,0.7098702788352966,0.015127407386898994,0.7727407813072205,0.1813962459564209,-0.02819419652223587,-0.006093740463256836,-0.02819419652223587,-0.012892517820000648,2.186865041869258,False,54,約束已啟動且 attn_suppressed 在最近 20 步的每步改善 +1.25e-01 低於 1.4e-01,9.292724636849016,0.0,False,11,0.7994024157524109,0.31214189529418945,0.5552381277084351,0.7323424220085144,1.0,0.5096944570541382,17.27877426147461,0.1367921680212021,0.5800232887268066,0.07594609260559082,0.538876473903656,0.25653159618377686,0.26261961460113525,0.5382589101791382,0.9490196108818054,4.137459911669288,5.390855517919815,0.12299352884292603,0.0727044939994812,2026-08-09T06:56:53+08:00,bird,bird_03,a butterfly,True,eval,2026-08-09T06:56:44+08:00,done,0.1,0.49703851342201233,0.875,,
eval/N4/bird_03/purifyblur0.5/seed0/tau0.5,55f884adb38c,N4,bird_03,bird,0.5,blur,0.5,0,17.0470027923584,0.49703851342201233,0.49405282735824585,1.0,0.7092782855033875,0.06353267282247543,0.332136869430542,6.925761520929616,0.9582495093345642,0.14049141108989716,0.5747731924057007,0.26314476132392883,0.08807621896266937,18.35944175720215,0.5017471313476562,0.6824626922607422,0.014590012840926647,0.7662590146064758,0.15827298164367676,-0.02794865518808365,-0.022590070962905884,-0.02794865518808365,-0.012892517820000648,2.1678197834038166,False,54,約束已啟動且 attn_suppressed 在最近 20 步的每步改善 +1.25e-01 低於 1.4e-01,9.116051231976599,,False,11,0.8660556077957153,0.3325665593147278,0.5734812617301941,0.7125996947288513,1.0,0.4992576539516449,17.096059799194336,0.13970017433166504,0.49999815225601196,0.06498897820711136,0.5783426761627197,0.24055469036102295,0.2896532416343689,0.5217577815055847,0.8921821713447571,3.4627326187153677,5.516183769215414,0.12078912556171417,0.060127563774585724,2026-08-09T07:02:42+08:00,bird,bird_03,a butterfly,True,eval,2026-08-09T07:02:33+08:00,done,0.1,0.49703851342201233,0.875,,
eval/N4/bird_03/purifyblur0.5/seed1/tau0.5,eee26436cc5e,N4,bird_03,bird,0.5,blur,0.5,1,17.0470027923584,0.49703851342201233,0.49405282735824585,1.0,0.7092782855033875,0.06353267282247543,0.332136869430542,6.925761520929616,0.9582495093345642,0.14049141108989716,0.5747731924057007,0.2707994878292084,0.07926717400550842,18.030086517333984,0.465889573097229,0.6537858843803406,0.015739504247903824,0.7550854086875916,0.16606701910495758,0.0015156716108322144,-0.014528751373291016,0.0015156716108322144,-0.012892517820000648,-0.11756211098509368,False,54,約束已啟動且 attn_suppressed 在最近 20 步的每步改善 +1.25e-01 低於 1.4e-01,8.971324271056801,,False,11,0.8660556077957153,0.3325665593147278,0.5734812617301941,0.7125996947288513,1.0,0.4992576539516449,17.096059799194336,0.13970017433166504,0.49999815225601196,0.06498897820711136,0.6316277980804443,0.25627073645591736,0.2709174156188965,0.5368894338607788,0.9515138864517212,3.7300055202110647,4.897055069410489,0.12545718252658844,0.08078284561634064,2026-08-09T07:02:51+08:00,bird,bird_03,a butterfly,True,eval,2026-08-09T07:02:42+08:00,done,0.1,0.49703851342201233,0.875,,
eval/N4/bird_03/purifyblur0.5/seed2/tau0.5,71835f8926ce,N4,bird_03,bird,0.5,blur,0.5,2,17.0470027923584,0.49703851342201233,0.49405282735824585,1.0,0.7092782855033875,0.06353267282247543,0.332136869430542,6.925761520929616,0.9582495093345642,0.14049141108989716,0.5747731924057007,0.2689417898654938,0.0899367481470108,17.48758316040039,0.5154394507408142,0.6275946497917175,0.01783369854092598,0.7263222932815552,0.14225207269191742,0.0005020350217819214,-0.016908764839172363,0.0005020350217819214,-0.012892517820000648,-0.03894002930933286,False,54,約束已啟動且 attn_suppressed 在最近 20 步的每步改善 +1.25e-01 低於 1.4e-01,8.970238374080509,,False,11,0.8660556077957153,0.3325665593147278,0.5734812617301941,0.7125996947288513,1.0,0.4992576539516449,17.096059799194336,0.13970017433166504,0.49999815225601196,0.06498897820711136,0.7669582962989807,0.2520330250263214,0.29249751567840576,0.5432891845703125,0.9867780208587646,3.468806747000773,4.925475378920206,0.13354286551475525,0.09043878316879272,2026-08-09T07:03:00+08:00,bird,bird_03,a butterfly,True,eval,2026-08-09T07:02:51+08:00,done,0.1,0.49703851342201233,0.875,,
eval/N4/bird_03/purifyblur0.5/seed3/tau0.5,f49414fda35c,N4,bird_03,bird,0.5,blur,0.5,3,17.0470027923584,0.49703851342201233,0.49405282735824585,1.0,0.7092782855033875,0.06353267282247543,0.332136869430542,6.925761520929616,0.9582495093345642,0.14049141108989716,0.5747731924057007,0.28538525104522705,0.0879477933049202,18.1800479888916,0.5011261105537415,0.6712087392807007,0.015205303207039833,0.7578970193862915,0.15346680581569672,-1.9021332263946533e-05,-0.039676666259765625,-1.9021332263946533e-05,-0.012892517820000648,0.001475377620532587,False,54,約束已啟動且 attn_suppressed 在最近 20 步的每步改善 +1.25e-01 低於 1.4e-01,8.96484565618448,,False,11,0.8660556077957153,0.3325665593147278,0.5734812617301941,0.7125996947288513,1.0,0.4992576539516449,17.096059799194336,0.13970017433166504,0.49999815225601196,0.06498897820711136,0.9114777445793152,0.24570858478546143,0.2837074398994446,0.536596953868866,0.9686274528503418,3.9347885702807934,5.946258315071274,0.12330978363752365,0.08792877197265625,2026-08-09T07:03:09+08:00,bird,bird_03,a butterfly,True,eval,2026-08-09T07:03:00+08:00,done,0.1,0.49703851342201233,0.875,,
eval/N4/bird_03/purifyblur0.5/seed4/tau0.5,f05fc094daa7,N4,bird_03,bird,0.5,blur,0.5,4,17.0470027923584,0.49703851342201233,0.49405282735824585,1.0,0.7092782855033875,0.06353267282247543,0.332136869430542,6.925761520929616,0.9582495093345642,0.14049141108989716,0.5747731924057007,0.2658417820930481,0.0898013561964035,18.147663116455078,0.47185564041137695,0.6804466247558594,0.015319110825657845,0.7677660584449768,0.17331822216510773,-0.013643108308315277,-0.013688623905181885,-0.013643108308315277,-0.012892517820000648,1.0582190770487212,False,54,約束已啟動且 attn_suppressed 在最近 20 步的每步改善 +1.25e-01 低於 1.4e-01,8.961422506952658,,False,11,0.8660556077957153,0.3325665593147278,0.5734812617301941,0.7125996947288513,1.0,0.4992576539516449,17.096059799194336,0.13970017433166504,0.49999815225601196,0.06498897820711136,0.6699355840682983,0.2521531581878662,0.28320586681365967,0.5346781611442566,0.9450980424880981,4.229357071179409,5.560481167696384,0.12377039343118668,0.07615824788808823,2026-08-09T07:03:18+08:00,bird,bird_03,a butterfly,True,eval,2026-08-09T07:03:09+08:00,done,0.1,0.49703851342201233,0.875,,
