image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_124169,phase,instruct-pix2pix,turn the color of backpack to gray,,1.3,False,100,7.5,1.5,20260812,False,0.18227,0.94185,29.838,0.54692,0.03856,0.19492,0.86094,23.9,0.47432,0.09786,0.40062,0.03222,120.9
task_attr_mod_color_229454,phase,instruct-pix2pix,turn the color of cat to orange,,1.3,False,100,7.5,1.5,20260812,False,0.25925,0.95083,31.545,0.5518,0.05534,0.22857,0.82012,20.994,0.43815,0.16592,0.37115,0.02647,121.0
task_attr_mod_color_75937,phase,instruct-pix2pix,turn the color of eye to green,,1.3,False,100,7.5,1.5,20260812,False,0.23589,0.97803,33.581,0.67286,0.06368,0.23424,0.85229,24.687,0.40233,0.13199,0.37016,0.02094,121.2
task_env_weather_146611,phase,instruct-pix2pix,change the setting to spring with blooming trees,,1.3,False,100,7.5,1.5,20260812,False,0.13145,0.95132,27.069,0.52757,0.03767,0.15949,0.90045,22.009,0.40334,0.06027,0.52233,0.04432,121.0
task_env_weather_52051,phase,instruct-pix2pix,change the setting to a snowy scene,,1.3,False,100,7.5,1.5,20260812,False,0.28072,0.9125,25.85,0.40155,0.09391,0.31678,0.67015,20.39,0.26826,0.20291,0.52937,0.05099,121.0
task_obj_add_239597,phase,instruct-pix2pix,Add goalkeeper,,1.3,False,100,7.5,1.5,20260812,False,0.20905,0.93618,27.848,0.51609,0.06318,0.26098,0.80331,22.572,0.32433,0.11723,0.43093,0.04051,120.9
task_obj_add_458919,phase,instruct-pix2pix,Add the person with a hat,,1.3,False,100,7.5,1.5,20260812,False,0.39529,0.92189,27.513,0.46325,0.07628,0.43881,0.5781,20.024,0.15682,0.21419,0.58392,0.04211,121.0
task_obj_add_726991,phase,instruct-pix2pix,Add stem,,1.3,False,100,7.5,1.5,20260812,False,0.11292,0.98247,38.235,0.75931,0.0336,0.14333,0.90458,29.195,0.59098,0.07516,0.28061,0.01225,121.0
task_obj_remove_286801,phase,instruct-pix2pix,Remove red boat,,1.3,False,100,7.5,1.5,20260812,False,0.23604,0.93722,26.508,0.50887,0.06424,0.31615,0.64288,17.572,0.30075,0.18685,0.59017,0.04727,121.1
task_obj_remove_606694,phase,instruct-pix2pix,Remove facial expression,,1.3,False,100,7.5,1.5,20260812,False,0.38654,0.94138,34.406,0.51466,0.06802,0.78753,0.44304,19.369,0.15924,0.54819,0.2182,0.01904,121.0
task_obj_swap_joint_mask_356849,phase,instruct-pix2pix,Replace the robot with glowing eyes with Yoda,,1.3,False,100,7.5,1.5,20260812,False,0.17551,0.97761,37.472,0.70476,0.03831,0.3044,0.59484,17.251,0.2048,0.17104,0.30235,0.01338,121.2
task_obj_swap_rand_mask_116052,phase,instruct-pix2pix,Replace the mountain path with ocean,,1.3,False,100,7.5,1.5,20260812,False,0.21644,0.96344,29.827,0.61905,0.04165,0.20911,0.72438,19.814,0.51214,0.17195,0.44349,0.03226,120.7
task_obj_swap_rand_mask_683349,phase,instruct-pix2pix,Replace the abstract sculpture with bronze statue,,1.3,False,100,7.5,1.5,20260812,False,0.22479,0.93701,26.515,0.54965,0.03505,0.24342,0.70304,19.586,0.38131,0.1239,0.55857,0.04724,121.0
