condition,lr_key,lr,steps,image_id,final_loss,final_L_def,final_L_fid,finite,diverged,monitor,monitor_first,monitor_last,monitor_per_step,final_lpips,final_psnr
N1,lr.N1,0.0001,60,bird_03,0.05554826185107231,0.05554826185107231,0.0,True,False,shared_mass,0.9443062543869019,0.9444517493247986,2.4660158965547204e-06,,
N1,lr.N1,0.001,60,bird_03,0.05538859963417053,0.05538859963417053,0.0,True,False,shared_mass,0.9443062543869019,0.9446114301681519,5.1724708686440676e-06,,
N1,lr.N1,0.005,60,bird_03,0.05490860342979431,0.05490860342979431,0.0,True,False,shared_mass,0.9443062543869019,0.9450913667678833,1.330698950816009e-05,,
N1,lr.N1,0.02,60,bird_03,0.05401045083999634,0.05401045083999634,0.0,True,False,shared_mass,0.9443062543869019,0.9459895491600037,2.853041988308147e-05,,
N1,lr.N1,0.1,60,bird_03,0.052046291530132294,0.052046291530132294,0.0,True,False,shared_mass,0.9443062543869019,0.9479537010192871,6.182112936246193e-05,,
N2,lr.N2,0.0001,60,bird_03,0.6881340742111206,0.6881340742111206,0.0,True,False,edit_shift,0.12198688089847565,0.12127264589071274,-1.2105678097676422e-05,,
N2,lr.N2,0.001,60,bird_03,0.6826078295707703,0.6826078295707703,0.0,True,False,edit_shift,0.12198688089847565,0.12658663094043732,7.796186511799441e-05,,
N2,lr.N2,0.005,60,bird_03,0.6732836961746216,0.6732836961746216,0.0,True,False,edit_shift,0.12198688089847565,0.1433573067188263,0.0003622106071245872,,
N2,lr.N2,0.02,60,bird_03,0.653682291507721,0.653682291507721,0.0,True,False,edit_shift,0.12198688089847565,0.1796453893184662,0.0009772628545761108,,
N2,lr.N2,0.1,60,bird_03,0.619043231010437,0.619043231010437,0.0,True,False,edit_shift,0.12198688089847565,0.25375473499298096,0.0022333534592289036,,
N3,lr.N3_stage1,0.0001,60,bird_03,0.0,,,True,False,,,,,0.1306578665971756,30.299253463745117
N3,lr.N3_stage1,0.001,60,bird_03,0.0,,,True,False,,,,,0.1296970397233963,30.467121124267578
N3,lr.N3_stage1,0.005,60,bird_03,34.842411041259766,,,True,False,,,,,0.14891159534454346,28.60504150390625
N3,lr.N3_stage1,0.02,60,bird_03,1302.6607666015625,,,True,False,,,,,0.7393254637718201,8.940206527709961
N3,lr.N3_stage1,0.1,60,bird_03,2669.73486328125,,,True,False,,,,,0.7628176808357239,9.084728240966797
N3,lr.N3_stage2,0.0001,60,bird_03,0.02078821510076523,0.02078821510076523,0.0,True,False,edit_shift,0.11842404305934906,0.11888939142227173,7.887260388519804e-06,,
N3,lr.N3_stage2,0.001,60,bird_03,0.012445196509361267,0.012445196509361267,0.0,True,False,edit_shift,0.11842404305934906,0.15359342098236084,0.0005960911512374878,,
N3,lr.N3_stage2,0.005,60,bird_03,0.012091013602912426,0.012091013602912426,0.0,True,False,edit_shift,0.11842404305934906,0.17305442690849304,0.0009259387093075251,,
N3,lr.N3_stage2,0.02,60,bird_03,0.01978253945708275,0.01978253945708275,0.0,True,False,edit_shift,0.11842404305934906,0.1324598640203476,0.0002378952705253989,,
N3,lr.N3_stage2,0.1,60,bird_03,0.5358148217201233,0.01913047768175602,0.516684353351593,True,False,edit_shift,0.11842404305934906,0.2268844097852707,0.0018383113004393496,,
