image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,complement_rank,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52315,0.92028,24.91,0.27257,0.12988,0.58662,0.49022,10.368,0.13534,0.30017,0.65556,0.05682,0.77236,0.72743,True,0.837,411.1
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,complement_rank,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49306,0.88237,26.032,0.30157,0.15798,0.63017,0.25702,7.097,0.02278,0.40958,0.51776,0.04993,0.75235,0.86891,False,0.837,399.7
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,complement_rank,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52021,0.87872,21.658,0.26273,0.21874,0.78241,0.1362,6.184,0.03216,0.66933,0.49168,0.08262,0.69918,0.63651,True,0.837,397.8
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,complement_rank,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51555,0.93331,32.868,0.2202,0.14431,0.5822,0.39285,10.913,0.07096,0.39296,0.41247,0.02273,0.78118,0.71566,True,0.837,397.2
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,complement_rank,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54273,0.92615,27.442,0.30377,0.14971,0.72261,0.21488,6.794,0.49427,0.57539,0.70591,0.04245,0.59515,0.60742,True,0.837,397.6
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,complement_rank,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.58582,0.91921,27.292,0.30866,0.09996,0.8486,0.33459,10.486,0.20215,0.37234,0.36613,0.04319,0.55466,0.5737,True,0.837,397.4
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,complement_rank,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46645,0.87058,20.589,0.25847,0.14946,0.6205,0.30573,13.693,0.09216,0.29949,0.74406,0.09344,0.90967,0.90011,False,0.837,397.7
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,complement_rank,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52354,0.91614,24.461,0.27524,0.1173,0.67636,0.34257,12.477,0.03992,0.46503,0.58535,0.05983,0.61761,0.62127,True,0.837,397.5
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,complement_rank,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52332,0.89326,24.586,0.32453,0.16556,0.76406,0.18367,11.205,0.07117,0.39812,0.61855,0.05898,0.60123,0.6825,True,0.837,397.4
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,complement_rank,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.55024,0.93073,26.065,0.32853,0.13778,0.73026,0.24215,8.091,0.04423,0.38248,0.73383,0.04975,0.73754,0.71653,True,0.837,397.0
