image,attack,n_seeds,edit_psnr,edit_ssim,edit_vif_p,edit_fsim,edit_lpips,pert_linf,pert_lpips,mask_coverage,seconds,peak_mb
woman_01,pg_encoder,20,16.74529457092285,0.7809593349695205,0.5512600407004357,0.7963621884584426,0.5560675323009491,0.06000000238418579,0.6706132888793945,,6.8,8776.5
woman_01,pg_diffusion,20,18.795136737823487,0.6469040721654892,0.14895687028765678,0.8234094142913818,0.6712530165910721,0.06000000238418579,0.6764559745788574,,207.5,11556.1
woman_01,semantic,20,24.469933128356935,0.6711783677339553,0.12904517017304898,0.8250198632478714,0.5990991145372391,0.06000000238418579,0.5846359729766846,0.798583984375,122.3,8777.4
woman_02,pg_encoder,20,17.500517272949217,0.7072394877672196,0.3498009338974953,0.7729327082633972,0.5759218811988831,0.06000000238418579,0.6107269525527954,,6.8,8776.5
woman_02,pg_diffusion,20,20.063252639770507,0.6240166991949081,0.1138721201568842,0.8092831581830978,0.604553884267807,0.06000000238418579,0.5912986993789673,,206.7,11556.1
woman_02,semantic,20,22.587431716918946,0.6566848009824753,0.10595084764063359,0.8149413287639617,0.582441794872284,0.06000000238418579,0.5766383409500122,0.282958984375,122.3,8777.4
woman_03,pg_encoder,20,18.850016593933105,0.8086131185293197,0.26605684608221053,0.8401361048221588,0.4470661595463753,0.06000000238418579,0.5360580086708069,,6.8,8776.5
woman_03,pg_diffusion,20,20.08928337097168,0.5989425241947174,0.04366120081394911,0.7781061381101608,0.5592090249061584,0.06000000238418579,0.5512144565582275,,207.8,11556.1
woman_03,semantic,20,23.78162364959717,0.6003943741321563,0.056917370110750196,0.7577189594507218,0.5229383200407028,0.06000000238418579,0.5306222438812256,0.27880859375,121.8,8777.4
dog_00,pg_encoder,20,18.848081588745117,0.5565494269132614,0.31092680245637894,0.7169237673282624,0.6746258407831192,0.06000000238418579,0.6205776929855347,,6.8,8776.5
dog_00,pg_diffusion,20,19.670074272155762,0.5194251745939255,0.10066504329442978,0.787237885594368,0.6693046778440476,0.06000000238418579,0.605797529220581,,207.9,11556.1
dog_00,semantic,20,20.759248733520508,0.5114135354757309,0.0944245107471943,0.7814315676689148,0.6084918648004531,0.06000000238418579,0.5620527863502502,0.2578125,122.0,8777.4
dog_01,pg_encoder,20,18.61433343887329,0.6246378511190415,0.3480235829949379,0.7482105106115341,0.6961578547954559,0.06000000238418579,0.6221333742141724,,6.9,8776.5
dog_01,pg_diffusion,20,19.198972606658934,0.593009027838707,0.12234497033059596,0.8046433091163635,0.6790505379438401,0.06000000238418579,0.6140601634979248,,208.1,11556.1
dog_01,semantic,20,21.799821853637695,0.6037309616804123,0.1205114047974348,0.8006562381982804,0.5757843226194381,0.06000000238418579,0.559467077255249,0.1142578125,122.2,8777.4
dog_02,pg_encoder,20,17.180011367797853,0.42673278599977493,0.22325989380478858,0.6203914046287536,0.6775450974702835,0.06000000238418579,0.43530452251434326,,6.8,8776.5
dog_02,pg_diffusion,20,18.474341201782227,0.5820975214242935,0.1392581880092621,0.8013077914714813,0.5354959070682526,0.06000000238418579,0.4099063277244568,,207.6,11556.1
dog_02,semantic,20,18.602893161773682,0.5914651364088058,0.12894064597785473,0.8103616386651993,0.5197181090712547,0.06000000238418579,0.4401424527168274,0.29443359375,122.0,8777.4
dog_03,pg_encoder,20,17.346986865997316,0.5151610374450684,0.25463310033082964,0.662342655658722,0.6330801844596863,0.06000000238418579,0.5644285082817078,,6.8,8776.5
dog_03,pg_diffusion,20,18.003486251831056,0.4788171321153641,0.098654992505908,0.7343820929527283,0.6456533372402191,0.06000000238418579,0.5531435608863831,,207.5,11556.1
dog_03,semantic,20,19.260500526428224,0.5612823605537415,0.12083146907389164,0.7736551254987717,0.5875266879796982,0.06000000238418579,0.5311684608459473,0.221923828125,121.9,8777.4
cat_00,pg_encoder,20,16.632870197296143,0.3600124970078468,0.11457203924655915,0.6457662224769593,0.6116917043924331,0.06000000238418579,0.39529186487197876,,6.8,8776.5
cat_00,pg_diffusion,20,16.1281786441803,0.43038736283779144,0.07714424803853034,0.7656483709812164,0.5133962795138359,0.06000000238418579,0.35044193267822266,,196.4,10194.4
cat_00,semantic,20,16.108903408050537,0.4587752684950829,0.07835214100778103,0.7780270546674728,0.4658386155962944,0.06000000238418579,0.3349347412586212,0.029296875,119.8,8776.6
cat_01,pg_encoder,20,17.45088472366333,0.5715409457683563,0.3273120164871216,0.7243779569864273,0.6655526161193848,0.06000000238418579,0.6092244386672974,,6.6,8776.8
cat_01,pg_diffusion,20,18.855484867095946,0.6203496068716049,0.1683639869093895,0.8178715199232102,0.6638327568769455,0.06000000238418579,0.6001331806182861,,196.2,11556.4
cat_01,semantic,20,21.0575834274292,0.6541669577360153,0.16638169735670089,0.8302577555179596,0.596050763130188,0.06000000238418579,0.5578404664993286,0.079833984375,120.5,8777.6
cat_02,pg_encoder,20,19.959484577178955,0.4022019818425179,0.3192204602062702,0.5638187915086746,0.7753349184989929,0.06000000238418579,0.5464878082275391,,6.7,8777.8
cat_02,pg_diffusion,20,19.897616863250732,0.5261140286922454,0.09065787121653557,0.7822265833616256,0.6135556101799011,0.06000000238418579,0.5029686689376831,,195.3,11557.4
cat_02,semantic,20,20.42756748199463,0.5363149374723435,0.10058102384209633,0.7933398008346557,0.5305160105228424,0.06000000238418579,0.48764702677726746,0.102294921875,119.5,8778.6
cat_03,pg_encoder,20,16.870168209075928,0.36231574416160583,0.1221498291939497,0.5922722965478897,0.6701942384243011,0.06000000238418579,0.37687599658966064,,6.6,8776.8
cat_03,pg_diffusion,20,16.81999006271362,0.5186533778905869,0.09827176555991173,0.7966136693954468,0.42289057970046995,0.06000000238418579,0.32390233874320984,,196.2,11556.4
cat_03,semantic,20,16.36231598854065,0.47895083427429197,0.08307572305202485,0.7961825162172318,0.47285965234041216,0.06000000238418579,0.3448278307914734,0.058349609375,119.3,8777.6
horse_00,pg_encoder,20,20.379959774017333,0.6775562256574631,0.35498346090316774,0.7282924830913544,0.6408627361059189,0.06000000238418579,0.623296856880188,,6.7,8777.8
horse_00,pg_diffusion,20,20.814431381225585,0.5389627486467361,0.057772271893918516,0.792518076300621,0.6347336202859879,0.06000000238418579,0.637875497341156,,195.6,11557.4
horse_00,semantic,20,22.43081464767456,0.5357842683792114,0.06344703398644924,0.7677821516990662,0.5980628043413162,0.06000000238418579,0.5868813991546631,0.063720703125,119.6,8778.6
horse_01,pg_encoder,20,17.371628284454346,0.468059678375721,0.1333655048161745,0.650219276547432,0.730175593495369,0.06000000238418579,0.48837268352508545,,6.6,8776.8
horse_01,pg_diffusion,20,17.070895671844482,0.43010531216859815,0.06582291331142187,0.7383313089609146,0.5862937301397324,0.06000000238418579,0.44337260723114014,,194.9,11556.4
horse_01,semantic,20,16.792528676986695,0.4434880092740059,0.06441056821495295,0.7622839868068695,0.5309561610221862,0.06000000238418579,0.43338245153427124,0.036865234375,119.5,8777.6
horse_02,pg_encoder,20,18.608268451690673,0.40705317705869676,0.1629658780992031,0.6185364484786987,0.6880454540252685,0.06000000238418579,0.5042502880096436,,6.7,8777.8
horse_02,pg_diffusion,20,18.254110050201415,0.469937364757061,0.09426068477332591,0.7801189243793487,0.5079918950796127,0.06000000238418579,0.4546208679676056,,193.5,11557.4
horse_02,semantic,20,17.82051725387573,0.427804633975029,0.07423265539109707,0.780651006102562,0.5496669739484787,0.06000000238418579,0.4420890212059021,0.142333984375,119.6,8778.6
horse_03,pg_encoder,20,19.362371253967286,0.5771365702152252,0.22555173709988594,0.7252575397491455,0.6292379200458527,0.06000000238418579,0.5623952746391296,,6.6,8776.8
horse_03,pg_diffusion,20,19.380198192596435,0.5075024425983429,0.09306675754487514,0.7746752947568893,0.5884742081165314,0.06000000238418579,0.5432929992675781,,195.4,11556.4
horse_03,semantic,20,20.20885648727417,0.5227001562714577,0.08880351185798645,0.7914362609386444,0.5603560775518417,0.06000000238418579,0.51372230052948,0.1533203125,119.4,8777.6
bird_00,pg_encoder,20,19.27427558898926,0.698855459690094,0.3488400340080261,0.7454385697841645,0.6410218328237534,0.06000000238418579,0.6574596762657166,,6.7,8777.8
bird_00,pg_diffusion,20,19.42148962020874,0.573320546746254,0.06066602785140276,0.7414291381835938,0.7480772346258163,0.06000000238418579,0.6702944040298462,,192.6,11557.4
bird_00,semantic,20,21.566479301452638,0.5578155905008316,0.07875684313476086,0.7534992903470993,0.6493824064731598,0.06000000238418579,0.6234017014503479,0.15185546875,119.4,8778.6
bird_01,pg_encoder,20,19.223775386810303,0.443058454990387,0.29574440196156504,0.5534792006015777,0.7006282567977905,0.06000000238418579,0.5617234110832214,,6.6,8776.8
bird_01,pg_diffusion,20,19.550184059143067,0.5402210742235184,0.09346933104097843,0.7635099411010742,0.6446347773075104,0.06000000238418579,0.5282002091407776,,192.5,11556.4
bird_01,semantic,20,20.486864185333253,0.5606434226036072,0.11599278263747692,0.7948922723531723,0.5792588621377945,0.06000000238418579,0.5168642997741699,0.109619140625,119.3,8777.6
bird_02,pg_encoder,20,20.24244918823242,0.6721733629703521,0.4182888209819794,0.7655540883541108,0.7636620908975601,0.06000000238418579,0.5921320915222168,,6.7,8777.8
bird_02,pg_diffusion,20,20.400629711151122,0.5897276192903519,0.11011717878282071,0.8083552539348602,0.6472822576761246,0.06000000238418579,0.548449695110321,,196.5,11557.4
bird_02,semantic,20,21.22705135345459,0.5462394908070565,0.09428053982555866,0.7442801922559739,0.6212996810674667,0.06000000238418579,0.5492514967918396,0.0654296875,119.5,8778.6
bird_03,pg_encoder,20,20.559507751464842,0.687599065899849,0.37457251995801927,0.6859255403280258,0.6060939878225327,0.06000000238418579,0.6224965453147888,,6.6,8776.8
bird_03,pg_diffusion,20,21.108115482330323,0.6143998295068741,0.08454774767160415,0.7690401256084443,0.6686177670955658,0.06000000238418579,0.6214185953140259,,193.0,11556.4
bird_03,semantic,20,22.18504066467285,0.5512549996376037,0.07699061259627342,0.7556208312511444,0.6218420952558518,0.06000000238418579,0.6029348373413086,0.054931640625,119.3,8777.6
