cell_id,config_hash,condition,image_id,subtask,tau,purify_kind,purify_strength,seed,fid_psnr,fid_lpips,fid_ssim,fid_linf,fid_fsim,fid_vif_p,fid_dists,fid_niqe,fid_acutance_ratio,fid_rms,fid_frac_gt_16_255,edit_clip_b,edit_siglip_b,edit_psnr,edit_lpips,edit_ssim,edit_mse,edit_fsim,edit_vif_p,effect_abs,effect_clip,effect_siglip,effect_control,retention,retention_usable,steps_used,stop_reason,seconds,disp_mean_px,disp_max_px,proxy_gap,attn_full,attn_steps,defimg_acutance_ratio,defimg_dists,defimg_frac_gt_16_255,defimg_fsim,defimg_linf,defimg_lpips,defimg_psnr,defimg_rms,defimg_ssim,defimg_vif_p,edit_acutance_ratio,edit_clip_a,edit_dists,edit_frac_gt_16_255,edit_linf,edit_niqe_a,edit_niqe_b,edit_rms,edit_siglip_a,finished,group,image,prompt,purify_available,stage,started,status,lr,tau_achieved,scale_k,skipped_reason,modified_from_paper
eval/N1/dog_03/purifyadverse_cleaner0/seed0/tau0.2,400ac6f4f11b,N1,dog_03,dog,0.2,adverse_cleaner,0.0,0,20.754535675048828,0.20045629143714905,0.7168822288513184,0.8075780868530273,0.8493781089782715,0.21590980887413025,0.06810390949249268,2.5559687901892265,1.013516902923584,0.09167966991662979,0.24233373999595642,0.26554128527641296,0.09011326730251312,20.934736251831055,0.34056177735328674,0.7478131055831909,0.0080635417252779,0.8207135796546936,0.25517258048057556,0.0007459968328475952,-0.01818343997001648,0.0007459968328475952,-0.0010723069310188294,-0.6956933796359988,False,35,約束已啟動且 shared_mass 在最近 20 步的每步改善 -2.38e-06 低於 3.2e-06,9.402741207974032,1.0967086553573608,3.5072014331817627,0.0,True,11,0.9258494973182678,0.0878528356552124,0.22779974341392517,0.8434932231903076,0.8078431487083435,0.2561967074871063,20.879499435424805,0.09037008881568909,0.7145822048187256,0.2308541238307953,0.9320489764213562,0.24735784530639648,0.155867338180542,0.329254150390625,0.7602677345275879,3.4594028909015764,3.3275721987209317,0.08979722857475281,0.09085926413536072,2026-08-07T09:25:47+08:00,dog,dog_03,a cat,True,eval,2026-08-07T09:25:38+08:00,done,0.1,0.20045629143714905,2.0625,,
eval/N1/dog_03/purifyadverse_cleaner0/seed0/tau0.35,1ba8c3b84fdf,N1,dog_03,dog,0.35,adverse_cleaner,0.0,0,18.03955078125,0.3521910011768341,0.5236181020736694,0.8826704025268555,0.7717721462249756,0.11398491263389587,0.1287992000579834,2.410402321716541,1.0368027687072754,0.12532058358192444,0.34249624609947205,0.25697270035743713,0.08605309575796127,20.22212028503418,0.3766937255859375,0.7224130630493164,0.009501396678388119,0.8048739433288574,0.23719827830791473,0.004806168377399445,-0.00961485505104065,0.004806168377399445,-0.0015791833400726318,-3.043451799066214,False,35,約束已啟動且 shared_mass 在最近 20 步的每步改善 -2.38e-06 低於 3.2e-06,9.404989558039233,1.0967086553573608,3.5072014331817627,0.0,False,11,0.9492998123168945,0.13714778423309326,0.32037609815597534,0.7663004398345947,0.8941176533699036,0.37139585614204407,18.17060661315918,0.12344387173652649,0.5408815145492554,0.12592574954032898,0.7819466590881348,0.24735784530639648,0.16175532341003418,0.36304473876953125,0.8024271130561829,3.4594028909015764,3.4759314575357516,0.09747511148452759,0.09085926413536072,2026-08-07T09:44:40+08:00,dog,dog_03,a cat,True,eval,2026-08-07T09:44:31+08:00,done,0.1,0.3521910011768341,3.75,,
eval/N1/dog_03/purifyadverse_cleaner0/seed1/tau0.2,d32a93c5eaf3,N1,dog_03,dog,0.2,adverse_cleaner,0.0,1,20.754535675048828,0.20045629143714905,0.7168822288513184,0.8075780868530273,0.8493781089782715,0.21590980887413025,0.06810390949249268,2.5559687901892265,1.013516902923584,0.09167966991662979,0.24233373999595642,0.26610004901885986,0.08606411516666412,20.386808395385742,0.3621034622192383,0.7197738885879517,0.009147845208644867,0.8297622203826904,0.24569037556648254,-0.011133834719657898,0.002699822187423706,-0.011133834719657898,-0.0010723069310188294,10.383067009628785,False,35,約束已啟動且 shared_mass 在最近 20 步的每步改善 -2.38e-06 低於 3.2e-06,9.392986094811931,1.0967086553573608,3.5072014331817627,0.0,False,11,0.9258494973182678,0.0878528356552124,0.22779974341392517,0.8434932231903076,0.8078431487083435,0.2561967074871063,20.879499435424805,0.09037008881568909,0.7145822048187256,0.2308541238307953,0.9982199668884277,0.26879987120628357,0.16573083400726318,0.337158203125,0.8874034881591797,2.7836130490026116,2.86095702888906,0.09564436972141266,0.07493028044700623,2026-08-07T09:25:57+08:00,dog,dog_03,a cat,True,eval,2026-08-07T09:25:47+08:00,done,0.1,0.20045629143714905,2.0625,,
eval/N1/dog_03/purifyadverse_cleaner0/seed1/tau0.35,0eaed7fc4a8f,N1,dog_03,dog,0.35,adverse_cleaner,0.0,1,18.03955078125,0.3521910011768341,0.5236181020736694,0.8826704025268555,0.7717721462249756,0.11398491263389587,0.1287992000579834,2.410402321716541,1.0368027687072754,0.12532058358192444,0.34249624609947205,0.267172247171402,0.08961218595504761,19.52486228942871,0.4052165150642395,0.669237494468689,0.011156123131513596,0.796833872795105,0.2099330723285675,-0.014681905508041382,0.0016276240348815918,-0.014681905508041382,-0.0015791833400726318,9.297150707888113,False,35,約束已啟動且 shared_mass 在最近 20 步的每步改善 -2.38e-06 低於 3.2e-06,9.38344720005989,1.0967086553573608,3.5072014331817627,0.0,False,11,0.9492998123168945,0.13714778423309326,0.32037609815597534,0.7663004398345947,0.8941176533699036,0.37139585614204407,18.17060661315918,0.12344387173652649,0.5408815145492554,0.12592574954032898,0.9047787189483643,0.26879987120628357,0.1714407205581665,0.4059893488883972,0.8291513919830322,2.7836130490026116,2.833547475781017,0.1056225523352623,0.07493028044700623,2026-08-07T09:44:50+08:00,dog,dog_03,a cat,True,eval,2026-08-07T09:44:40+08:00,done,0.1,0.3521910011768341,3.75,,
eval/N1/dog_03/purifyadverse_cleaner0/seed2/tau0.2,ec3ac4b39b88,N1,dog_03,dog,0.2,adverse_cleaner,0.0,2,20.754535675048828,0.20045629143714905,0.7168822288513184,0.8075780868530273,0.8493781089782715,0.21590980887413025,0.06810390949249268,2.5559687901892265,1.013516902923584,0.09167966991662979,0.24233373999595642,0.2659454941749573,0.09260176867246628,22.298748016357422,0.26853275299072266,0.8197972178459167,0.0058901249431073666,0.8746899366378784,0.3038104474544525,0.0033948272466659546,0.0008869171142578125,0.0033948272466659546,-0.0010723069310188294,-3.1659100099636888,False,35,約束已啟動且 shared_mass 在最近 20 步的每步改善 -2.38e-06 低於 3.2e-06,9.383461449062452,1.0967086553573608,3.5072014331817627,0.0,False,11,0.9258494973182678,0.0878528356552124,0.22779974341392517,0.8434932231903076,0.8078431487083435,0.2561967074871063,20.879499435424805,0.09037008881568909,0.7145822048187256,0.2308541238307953,0.8964043855667114,0.2668324112892151,0.11571264266967773,0.2542839050292969,0.7875628471374512,2.9893824420681883,3.6275087167096975,0.07674714922904968,0.09599659591913223,2026-08-07T09:26:06+08:00,dog,dog_03,a cat,True,eval,2026-08-07T09:25:57+08:00,done,0.1,0.20045629143714905,2.0625,,
eval/N1/dog_03/purifyadverse_cleaner0/seed2/tau0.35,18bba4b56d7c,N1,dog_03,dog,0.35,adverse_cleaner,0.0,2,18.03955078125,0.3521910011768341,0.5236181020736694,0.8826704025268555,0.7717721462249756,0.11398491263389587,0.1287992000579834,2.410402321716541,1.0368027687072754,0.12532058358192444,0.34249624609947205,0.2644154131412506,0.09644348919391632,20.152366638183594,0.3338787853717804,0.7332610487937927,0.009655240923166275,0.8213160037994385,0.23668915033340454,-0.00044689327478408813,0.0024169981479644775,-0.00044689327478408813,-0.0015791833400726318,0.28299011485489334,False,35,約束已啟動且 shared_mass 在最近 20 步的每步改善 -2.38e-06 低於 3.2e-06,9.339347208850086,1.0967086553573608,3.5072014331817627,0.0,False,11,0.9492998123168945,0.13714778423309326,0.32037609815597534,0.7663004398345947,0.8941176533699036,0.37139585614204407,18.17060661315918,0.12344387173652649,0.5408815145492554,0.12592574954032898,0.8805292844772339,0.2668324112892151,0.14080017805099487,0.3493766784667969,0.7614859342575073,2.9893824420681883,3.6109546470087985,0.09826108813285828,0.09599659591913223,2026-08-07T09:44:59+08:00,dog,dog_03,a cat,True,eval,2026-08-07T09:44:50+08:00,done,0.1,0.3521910011768341,3.75,,
eval/N1/dog_03/purifyadverse_cleaner0/seed3/tau0.2,d7b2b565f3ca,N1,dog_03,dog,0.2,adverse_cleaner,0.0,3,20.754535675048828,0.20045629143714905,0.7168822288513184,0.8075780868530273,0.8493781089782715,0.21590980887413025,0.06810390949249268,2.5559687901892265,1.013516902923584,0.09167966991662979,0.24233373999595642,0.2680668532848358,0.09376820921897888,20.276966094970703,0.41427189111709595,0.6809136867523193,0.009382164105772972,0.8139444589614868,0.2188122272491455,-0.001231566071510315,0.003033071756362915,-0.001231566071510315,-0.0010723069310188294,1.1485201073354705,False,35,約束已啟動且 shared_mass 在最近 20 步的每步改善 -2.38e-06 低於 3.2e-06,9.406075648963451,1.0967086553573608,3.5072014331817627,0.0,False,11,0.9258494973182678,0.0878528356552124,0.22779974341392517,0.8434932231903076,0.8078431487083435,0.2561967074871063,20.879499435424805,0.09037008881568909,0.7145822048187256,0.2308541238307953,0.7812376618385315,0.27109992504119873,0.1949479579925537,0.3476817011833191,0.8016617298126221,3.4337179340813373,2.7589475985432808,0.0968615710735321,0.09253664314746857,2026-08-07T09:26:16+08:00,dog,dog_03,a cat,True,eval,2026-08-07T09:26:06+08:00,done,0.1,0.20045629143714905,2.0625,,
eval/N1/dog_03/purifyadverse_cleaner0/seed3/tau0.35,930f6894a99c,N1,dog_03,dog,0.35,adverse_cleaner,0.0,3,18.03955078125,0.3521910011768341,0.5236181020736694,0.8826704025268555,0.7717721462249756,0.11398491263389587,0.1287992000579834,2.410402321716541,1.0368027687072754,0.12532058358192444,0.34249624609947205,0.2732356786727905,0.09167777001857758,19.904647827148438,0.41447165608406067,0.6758090257644653,0.010221974924206734,0.815883219242096,0.21126875281333923,0.0008588731288909912,-0.002135753631591797,0.0008588731288909912,-0.0015791833400726318,-0.5438717007054348,False,35,約束已啟動且 shared_mass 在最近 20 步的每步改善 -2.38e-06 低於 3.2e-06,9.331941928947344,1.0967086553573608,3.5072014331817627,0.0,False,11,0.9492998123168945,0.13714778423309326,0.32037609815597534,0.7663004398345947,0.8941176533699036,0.37139585614204407,18.17060661315918,0.12344387173652649,0.5408815145492554,0.12592574954032898,0.7191978096961975,0.27109992504119873,0.19505029916763306,0.3529904782772064,0.8864285945892334,3.4337179340813373,3.945966548249796,0.1011037826538086,0.09253664314746857,2026-08-07T09:45:09+08:00,dog,dog_03,a cat,True,eval,2026-08-07T09:44:59+08:00,done,0.1,0.3521910011768341,3.75,,
eval/N1/dog_03/purifyadverse_cleaner0/seed4/tau0.2,c1fda952b36c,N1,dog_03,dog,0.2,adverse_cleaner,0.0,4,20.754535675048828,0.20045629143714905,0.7168822288513184,0.8075780868530273,0.8493781089782715,0.21590980887413025,0.06810390949249268,2.5559687901892265,1.013516902923584,0.09167966991662979,0.24233373999595642,0.2513805031776428,0.0808287262916565,20.323331832885742,0.3066850006580353,0.7508409023284912,0.009282531216740608,0.8600645661354065,0.3012232482433319,-0.012040376663208008,-6.842613220214844e-05,-0.012040376663208008,-0.0010723069310188294,11.228479752311312,False,35,約束已啟動且 shared_mass 在最近 20 步的每步改善 -2.38e-06 低於 3.2e-06,9.39188082399778,1.0967086553573608,3.5072014331817627,0.0,False,11,0.9258494973182678,0.0878528356552124,0.22779974341392517,0.8434932231903076,0.8078431487083435,0.2561967074871063,20.879499435424805,0.09037008881568909,0.7145822048187256,0.2308541238307953,0.936843991279602,0.2513120770454407,0.14996027946472168,0.3242327570915222,0.7840430736541748,2.708241474461305,3.152186466623608,0.09634589403867722,0.06878834962844849,2026-08-07T09:26:25+08:00,dog,dog_03,a cat,True,eval,2026-08-07T09:26:16+08:00,done,0.1,0.20045629143714905,2.0625,,
eval/N1/dog_03/purifyadverse_cleaner0/seed4/tau0.35,f4c930fb02f5,N1,dog_03,dog,0.35,adverse_cleaner,0.0,4,18.03955078125,0.3521910011768341,0.5236181020736694,0.8826704025268555,0.7717721462249756,0.11398491263389587,0.1287992000579834,2.410402321716541,1.0368027687072754,0.12532058358192444,0.34249624609947205,0.2597340941429138,0.08659243583679199,20.10517120361328,0.3376218378543854,0.7192914485931396,0.009760737419128418,0.8462272882461548,0.27206864953041077,-0.017804086208343506,-0.008422017097473145,-0.017804086208343506,-0.0015791833400726318,11.274236345176133,False,35,約束已啟動且 shared_mass 在最近 20 步的每步改善 -2.38e-06 低於 3.2e-06,9.347165521001443,1.0967086553573608,3.5072014331817627,0.0,False,11,0.9492998123168945,0.13714778423309326,0.32037609815597534,0.7663004398345947,0.8941176533699036,0.37139585614204407,18.17060661315918,0.12344387173652649,0.5408815145492554,0.12592574954032898,0.8169921040534973,0.2513120770454407,0.16404902935028076,0.36660513281822205,0.8382302522659302,2.708241474461305,3.0773863495636236,0.09879644215106964,0.06878834962844849,2026-08-07T09:45:18+08:00,dog,dog_03,a cat,True,eval,2026-08-07T09:45:09+08:00,done,0.1,0.3521910011768341,3.75,,
