image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,defense_steps,loss,gain_ratio,purify_aware,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.28404,0.85055,20.93,0.30807,0.15781,0.34062,0.65961,17.98,0.27162,0.26818,1.0,0.08985,0.86505,0.8577,False,0.837,47.2
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39926,0.76467,19.313,0.21201,0.21648,0.49717,0.54287,15.277,0.19445,0.34301,1.0,0.10823,0.86161,0.86825,False,0.837,37.8
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40794,0.68876,16.992,0.22498,0.23478,0.50771,0.38181,14.61,0.2248,0.33144,0.98824,0.14138,0.92304,0.85749,False,0.837,38.4
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42487,0.91043,27.332,0.17945,0.18391,0.37926,0.68477,16.397,0.42405,0.26657,0.99608,0.04299,0.89257,0.87376,False,0.837,38.6
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.30926,0.85238,23.876,0.33593,0.18289,0.54461,0.44714,9.517,0.35645,0.3508,0.98039,0.064,0.83411,0.77771,True,0.837,38.6
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45975,0.82319,21.434,0.333,0.13538,0.45297,0.51233,16.413,0.26415,0.23925,0.99608,0.08478,0.87934,0.85857,False,0.837,38.7
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46337,0.64198,14.911,0.19546,0.19985,0.51242,0.36407,15.481,0.10743,0.28606,1.0,0.17966,0.91583,0.87969,False,0.837,38.7
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34476,0.79741,19.965,0.26675,0.17489,0.38293,0.62684,17.739,0.18707,0.25589,0.87843,0.1004,0.88204,0.84392,False,0.837,38.8
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54946,0.67466,18.336,0.19013,0.2469,0.56728,0.33872,15.125,0.16079,0.41161,0.99216,0.12112,0.86432,0.64262,True,0.837,38.9
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45209,0.80556,21.297,0.3498,0.1801,0.65351,0.32604,13.123,0.06185,0.38419,1.0,0.08612,0.59148,0.63612,True,0.837,38.8
