image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_121425,phase,instruct-pix2pix,turn the color of LCD screen to be green,,1.3,False,100,7.5,1.5,20260812,False,0.02303,0.99829,45.718,0.93876,0.01834,0.02586,0.99501,37.959,0.88001,0.02688,0.19135,0.00518,124.8
task_attr_mod_color_202962,phase,instruct-pix2pix,turn the color of a water bottle to brown,,1.3,False,100,7.5,1.5,20260812,False,0.11717,0.9847,37.021,0.64514,0.0559,0.11592,0.93873,28.326,0.48953,0.10549,0.34108,0.01409,123.8
task_attr_mod_color_71564,phase,instruct-pix2pix,turn the color of machine to be gray,,1.3,False,100,7.5,1.5,20260812,False,0.21608,0.93365,27.347,0.47441,0.07002,0.25481,0.77248,21.478,0.33765,0.16994,0.41716,0.04292,124.2
task_env_weather_137030,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.3,False,100,7.5,1.5,20260812,False,0.18935,0.94414,26.401,0.53112,0.06418,0.37886,0.57224,16.822,0.14917,0.14885,0.59932,0.04786,124.1
task_env_weather_262001,phase,instruct-pix2pix,change the setting to a snowy scene,,1.3,False,100,7.5,1.5,20260812,False,0.25959,0.91439,25.432,0.42287,0.06277,0.32484,0.65565,15.584,0.30495,0.21685,0.49385,0.0535,124.1
task_obj_add_161232,phase,instruct-pix2pix,Add mountain,,1.3,False,100,7.5,1.5,20260812,False,0.12807,0.96859,28.714,0.6142,0.04125,0.22559,0.83001,21.113,0.37183,0.15165,0.63229,0.03667,123.8
task_obj_add_441549,phase,instruct-pix2pix,Add climbing gear,,1.3,False,100,7.5,1.5,20260812,False,0.18974,0.97122,37.059,0.6501,0.07691,0.21308,0.83279,25.299,0.46249,0.15705,0.2665,0.01403,124.5
task_obj_add_697862,phase,instruct-pix2pix,Add blimp,,1.3,False,100,7.5,1.5,20260812,False,0.21335,0.95785,29.572,0.59324,0.06516,0.69928,0.47799,14.054,0.09195,0.42217,0.56592,0.03322,123.8
task_obj_remove_271889,phase,instruct-pix2pix,Remove flower vase,,1.3,False,100,7.5,1.5,20260812,False,0.12028,0.97164,32.852,0.69801,0.04865,0.31071,0.72663,15.812,0.38499,0.25951,0.37616,0.02277,124.4
task_obj_remove_560476,phase,instruct-pix2pix,Remove peruvian flag,,1.3,False,100,7.5,1.5,20260812,False,0.14411,0.97074,34.371,0.67753,0.07198,0.87757,0.29156,11.662,0.121,0.44307,0.46269,0.01912,123.9
task_obj_swap_joint_mask_310537,phase,instruct-pix2pix,Replace the desert buttes with layered mountain range,,1.3,False,100,7.5,1.5,20260812,False,0.1966,0.97109,35.143,0.63919,0.02283,0.22852,0.77983,21.948,0.3496,0.09079,0.16448,0.01749,123.5
task_obj_swap_joint_mask_890199,phase,instruct-pix2pix,Replace the robot with man,,1.3,False,100,7.5,1.5,20260812,False,0.13606,0.96161,30.869,0.61783,0.04362,0.15676,0.88246,26.004,0.53271,0.06768,0.41244,0.02861,124.1
task_obj_swap_rand_mask_598617,phase,instruct-pix2pix,Replace the chameleon with body,,1.3,False,100,7.5,1.5,20260812,False,0.2099,0.933,27.674,0.51921,0.06266,0.31076,0.71973,19.059,0.37403,0.23356,0.45707,0.04133,123.5
