image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.5,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35206,0.94853,23.966,0.41345,0.09232,0.51235,0.59403,12.261,0.19987,0.27814,0.96078,0.06334,0.7619,0.77406,True,0.837,404.8
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.5,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41272,0.91668,23.994,0.32972,0.17459,0.57557,0.37835,9.278,0.14869,0.31226,0.99216,0.06314,0.7846,0.8365,True,0.837,393.6
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.5,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47136,0.88421,20.038,0.28804,0.21745,0.73204,0.2117,7.946,0.1751,0.41515,0.88627,0.09957,0.7995,0.83053,True,0.837,393.3
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.5,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44008,0.97662,31.993,0.3421,0.07746,0.34363,0.67437,14.738,0.5951,0.25273,0.9748,0.02514,0.93914,0.9282,False,0.837,392.7
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.5,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35612,0.94953,26.919,0.45473,0.12692,0.53415,0.48148,10.144,0.38079,0.31689,0.96863,0.04509,0.86055,0.79093,True,0.837,393.3
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.5,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46404,0.93984,28.987,0.45569,0.07318,0.80599,0.4284,11.203,0.19229,0.33877,0.66628,0.03554,0.60983,0.58253,True,0.837,392.7
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.5,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4374,0.85768,18.723,0.25576,0.15075,0.62562,0.24064,13.676,0.12911,0.37201,1.0,0.11584,0.87595,0.8518,False,0.837,392.2
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.5,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41806,0.93957,23.476,0.3417,0.09983,0.49244,0.59652,16.778,0.20863,0.29326,0.76993,0.06702,0.86992,0.79891,True,0.837,392.7
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.5,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49481,0.89885,23.889,0.33196,0.14696,0.56292,0.36774,15.283,0.21307,0.40633,0.65591,0.06391,0.86607,0.69197,True,0.837,393.3
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.5,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41321,0.93471,23.839,0.45036,0.11064,0.6924,0.30183,8.088,0.09855,0.36856,1.0,0.06428,0.72974,0.71149,True,0.837,393.2
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.5,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46251,0.84761,20.84,0.19211,0.18187,0.66543,0.49594,12.7,0.01391,0.43822,0.95686,0.09079,0.78252,0.81929,True,0.837,328.7
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.5,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50071,0.88807,22.03,0.28344,0.15456,0.63027,0.25717,9.553,0.06119,0.26804,0.92941,0.07916,0.6432,0.6382,True,0.837,183.6
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,3.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.5,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47533,0.89729,23.14,0.30627,0.11551,0.67582,0.33257,8.869,0.11923,0.45119,1.0,0.06966,0.36482,0.47535,True,0.837,187.8
