image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,3.2,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36204,0.93681,23.662,0.38937,0.10701,0.49911,0.61035,12.65,0.21101,0.27846,0.95686,0.0656,0.78518,0.79426,True,0.837,187.4
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,3.2,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42046,0.90206,23.781,0.31321,0.18899,0.56842,0.38233,9.354,0.12875,0.31141,1.0,0.06471,0.7967,0.82293,True,0.837,177.6
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,3.2,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47886,0.85696,19.701,0.26842,0.23188,0.77173,0.13385,7.147,0.13968,0.48712,0.88087,0.1035,0.70322,0.71644,True,0.837,177.6
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,3.2,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44301,0.9708,31.929,0.33256,0.09317,0.36607,0.66179,14.094,0.59698,0.28666,0.95207,0.02532,0.91974,0.91871,False,0.837,177.4
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,3.2,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36312,0.93458,26.424,0.4304,0.14329,0.57421,0.38226,8.965,0.39689,0.36207,0.95294,0.04773,0.85444,0.73956,True,0.837,177.5
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.2,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46655,0.92242,28.256,0.42811,0.08849,0.81201,0.40921,10.959,0.18676,0.33985,0.67986,0.03866,0.59809,0.57731,True,0.837,177.6
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.2,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44564,0.83108,18.596,0.23908,0.16737,0.62706,0.24786,14.006,0.12233,0.37232,1.0,0.11755,0.87695,0.85559,False,0.837,177.5
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,3.2,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42295,0.92289,22.943,0.32351,0.1157,0.52334,0.56495,15.132,0.16659,0.30987,0.80392,0.07126,0.80536,0.78526,True,0.837,177.7
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,3.2,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50168,0.87486,23.422,0.31056,0.16953,0.56791,0.36221,15.327,0.2058,0.37668,0.73318,0.06744,0.81795,0.74506,True,0.837,177.6
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,3.2,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42047,0.92148,23.662,0.43445,0.12288,0.69694,0.29788,8.159,0.0942,0.37198,1.0,0.0656,0.7308,0.71166,True,0.837,177.5
