image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.12878,0.95958,27.535,0.55153,0.04513,0.16102,0.87445,21.922,0.40959,0.08957,0.56592,0.042,122.3
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.19802,0.94442,28.297,0.49819,0.09037,0.2319,0.77896,22.747,0.34638,0.15296,0.56266,0.03847,123.3
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.23281,0.89081,22.828,0.41445,0.10994,0.29596,0.63229,17.362,0.28806,0.2066,0.64079,0.07221,123.8
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.18139,0.98821,40.454,0.67274,0.04253,0.20049,0.85999,21.431,0.68451,0.16684,0.21317,0.00949,123.9
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.13071,0.95857,30.771,0.59592,0.09297,0.26576,0.77243,14.433,0.47677,0.17029,0.49001,0.02894,123.8
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.20278,0.93499,30.451,0.56806,0.03909,0.28912,0.74749,21.299,0.29061,0.11329,0.36297,0.03002,123.8
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.21889,0.95874,31.771,0.58196,0.04183,0.26415,0.87177,24.321,0.35811,0.07886,0.28314,0.02579,124.1
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.23657,0.91782,30.801,0.54297,0.04216,0.61824,0.66648,14.075,0.33556,0.35912,0.2624,0.02884,123.6
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.26929,0.86603,20.407,0.4037,0.0882,0.39142,0.55045,17.04,0.17667,0.18414,0.90588,0.09542,123.4
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.19616,0.94109,25.85,0.47367,0.07232,0.22866,0.82102,21.24,0.30191,0.11261,0.59321,0.05099,123.8
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.25759,0.90909,26.153,0.43771,0.08976,0.35031,0.66322,19.647,0.20248,0.21577,0.53204,0.04924,123.4
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.13803,0.96425,29.97,0.60352,0.06344,0.23015,0.83217,17.77,0.44858,0.15393,0.45711,0.03173,123.6
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.37036,0.91439,26.269,0.44998,0.0776,0.35086,0.58659,17.756,0.28482,0.24038,0.52882,0.04859,123.9
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.14555,0.96768,35.226,0.69402,0.04638,0.15822,0.88805,27.431,0.60156,0.10882,0.41116,0.01733,123.4
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.17239,0.93238,26.412,0.59488,0.06102,0.22279,0.84127,22.771,0.428,0.07796,0.54014,0.0478,123.1
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.29398,0.91131,24.803,0.50859,0.06601,0.43268,0.41001,13.347,0.0698,0.25668,0.76347,0.05752,123.9
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.23952,0.96869,33.242,0.65075,0.04709,0.22806,0.8577,24.483,0.43179,0.10588,0.3895,0.02177,123.6
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.26872,0.94191,27.883,0.57501,0.07326,0.44401,0.63164,14.688,0.23007,0.22586,0.69439,0.04035,123.3
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.28297,0.90348,25.204,0.43247,0.07313,0.29159,0.72798,20.893,0.29634,0.12108,0.65295,0.05493,79.6
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.12998,0.97916,37.124,0.77287,0.04669,0.27627,0.81207,20.429,0.68193,0.17971,0.23181,0.01392,39.3
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.43068,0.84475,25.635,0.27457,0.11341,0.19474,0.79589,21.1,0.27253,0.20881,0.48407,0.05227,39.1
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.30148,0.90558,24.581,0.43855,0.08994,0.35845,0.60594,16.77,0.21571,0.16781,0.66895,0.05901,39.2
