image,condition,scenario,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
horse_03,phase,background,identity,0.12913,0.02302,0.12913,0.02302,1.0,True,706.7
horse_03,phase,background,blur1,0.13424,0.02615,0.12913,0.02302,1.03955,True,706.7
horse_03,phase,background,noise0.05,0.18825,0.01347,0.12913,0.02302,1.45783,True,706.7
horse_03,phase,background,quantize16,0.15557,0.01479,0.12913,0.02302,1.20479,True,706.7
horse_03,phase,background,jpeg75,0.10165,0.01782,0.12913,0.02302,0.78718,True,706.7
horse_03,phase,background,jpeg30,0.13381,0.02211,0.12913,0.02302,1.03627,True,706.7
horse_03,phase,background,crop_resize0.1,0.23495,0.02762,0.12913,0.02302,1.81945,True,706.7
horse_03,phase,background,jpeg_then_resize75,0.11462,0.01352,0.12913,0.02302,0.8876,True,706.7
horse_03,phase,background,adverse_cleaner,0.13349,0.00751,0.12913,0.02302,1.03378,True,706.7
horse_03,phase,background,impress,0.12083,0.00402,0.12913,0.02302,0.93571,True,706.7
horse_03,add,background,identity,0.07043,0.0165,0.07043,0.0165,1.0,True,706.5
horse_03,add,background,blur1,0.12159,0.02468,0.07043,0.0165,1.72654,True,706.5
horse_03,add,background,noise0.05,0.18238,0.02441,0.07043,0.0165,2.58967,True,706.5
horse_03,add,background,quantize16,0.10599,0.0192,0.07043,0.0165,1.50498,True,706.5
horse_03,add,background,jpeg75,0.06783,0.01519,0.07043,0.0165,0.96308,True,706.5
horse_03,add,background,jpeg30,0.1146,0.01469,0.07043,0.0165,1.62725,True,706.5
horse_03,add,background,crop_resize0.1,0.21902,0.02429,0.07043,0.0165,3.10993,True,706.5
horse_03,add,background,jpeg_then_resize75,0.1077,0.01928,0.07043,0.0165,1.5293,True,706.5
horse_03,add,background,adverse_cleaner,0.07094,0.01839,0.07043,0.0165,1.00725,True,706.5
horse_03,add,background,impress,0.07776,0.00972,0.07043,0.0165,1.10417,True,706.5
horse_03,phase_rand,background,identity,0.05275,0.01063,0.05275,0.01063,1.0,True,705.7
horse_03,phase_rand,background,blur1,0.13068,0.0251,0.05275,0.01063,2.47739,True,705.7
horse_03,phase_rand,background,noise0.05,0.18678,0.02011,0.05275,0.01063,3.54092,True,705.7
horse_03,phase_rand,background,quantize16,0.10851,0.01734,0.05275,0.01063,2.05701,True,705.7
