image,condition,scenario,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
cat_01,phase,background,identity,0.32689,0.05509,0.32689,0.05509,1.0,True,705.2
cat_01,phase,background,blur1,0.3266,0.09798,0.32689,0.05509,0.99911,True,705.2
cat_01,phase,background,noise0.05,0.46226,0.07864,0.32689,0.05509,1.4141,True,705.2
cat_01,phase,background,quantize16,0.38443,0.09334,0.32689,0.05509,1.176,True,705.2
cat_01,phase,background,jpeg75,0.2655,0.08078,0.32689,0.05509,0.8122,True,705.2
cat_01,phase,background,jpeg30,0.33103,0.04364,0.32689,0.05509,1.01264,True,705.2
cat_01,phase,background,crop_resize0.1,0.39721,0.07864,0.32689,0.05509,1.21509,True,705.2
cat_01,phase,background,jpeg_then_resize75,0.27477,0.09945,0.32689,0.05509,0.84056,True,705.2
cat_01,phase,background,adverse_cleaner,0.33134,0.02289,0.32689,0.05509,1.0136,True,705.2
cat_01,phase,background,impress,0.29746,0.06621,0.32689,0.05509,0.90996,True,705.2
cat_01,add,background,identity,0.22348,0.10163,0.22348,0.10163,1.0,False,705.2
cat_01,add,background,blur1,0.39767,0.06376,0.22348,0.10163,1.77946,False,705.2
cat_01,add,background,noise0.05,0.46323,0.07851,0.22348,0.10163,2.07282,False,705.2
cat_01,add,background,quantize16,0.35388,0.05692,0.22348,0.10163,1.58353,False,705.2
cat_01,add,background,jpeg75,0.29898,0.08192,0.22348,0.10163,1.33784,False,705.2
cat_01,add,background,jpeg30,0.29658,0.09283,0.22348,0.10163,1.32713,False,705.2
cat_01,add,background,crop_resize0.1,0.40383,0.04198,0.22348,0.10163,1.80705,False,705.2
cat_01,add,background,jpeg_then_resize75,0.30359,0.08625,0.22348,0.10163,1.35849,False,705.2
cat_01,add,background,adverse_cleaner,0.29289,0.08431,0.22348,0.10163,1.31058,False,705.2
cat_01,add,background,impress,0.28105,0.05422,0.22348,0.10163,1.25761,False,705.2
cat_01,phase_rand,background,identity,0.26702,0.0226,0.26702,0.0226,1.0,True,704.5
cat_01,phase_rand,background,blur1,0.42796,0.06088,0.26702,0.0226,1.60269,True,704.5
cat_01,phase_rand,background,noise0.05,0.47026,0.07209,0.26702,0.0226,1.7611,True,704.5
