image,condition,scenario,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
woman_02,phase,background,identity,0.14225,0.02575,0.14225,0.02575,1.0,True,694.9
woman_02,phase,background,blur1,0.13109,0.04512,0.14225,0.02575,0.92155,True,694.9
woman_02,phase,background,noise0.05,0.18146,0.0172,0.14225,0.02575,1.27568,True,694.9
woman_02,phase,background,quantize16,0.13185,0.01528,0.14225,0.02575,0.92686,True,694.9
woman_02,phase,background,jpeg75,0.12123,0.05297,0.14225,0.02575,0.85224,True,694.9
woman_02,phase,background,jpeg30,0.15275,0.03176,0.14225,0.02575,1.07382,True,694.9
woman_02,phase,background,crop_resize0.1,0.21343,0.0165,0.14225,0.02575,1.50041,True,694.9
woman_02,phase,background,jpeg_then_resize75,0.13094,0.04232,0.14225,0.02575,0.92053,True,694.9
woman_02,phase,background,adverse_cleaner,0.15514,0.04051,0.14225,0.02575,1.09064,True,694.9
woman_02,phase,background,impress,0.13586,0.0441,0.14225,0.02575,0.95508,True,694.9
woman_02,add,background,identity,0.10738,0.04878,0.10738,0.04878,1.0,False,694.6
woman_02,add,background,blur1,0.14728,0.08571,0.10738,0.04878,1.37163,False,694.6
woman_02,add,background,noise0.05,0.18012,0.03025,0.10738,0.04878,1.67746,False,694.6
woman_02,add,background,quantize16,0.12594,0.01354,0.10738,0.04878,1.1729,False,694.6
woman_02,add,background,jpeg75,0.11113,0.07055,0.10738,0.04878,1.03494,False,694.6
woman_02,add,background,jpeg30,0.13447,0.04843,0.10738,0.04878,1.25233,False,694.6
woman_02,add,background,crop_resize0.1,0.14895,0.03904,0.10738,0.04878,1.38718,False,694.6
woman_02,add,background,jpeg_then_resize75,0.12163,0.06,0.10738,0.04878,1.13273,False,694.6
woman_02,add,background,adverse_cleaner,0.08514,0.02909,0.10738,0.04878,0.79296,False,694.6
woman_02,add,background,impress,0.10404,0.02308,0.10738,0.04878,0.96892,False,694.6
woman_02,phase_rand,background,identity,0.05343,0.03216,0.05343,0.03216,1.0,False,693.7
woman_02,phase_rand,background,blur1,0.11991,0.0558,0.05343,0.03216,2.24422,False,693.7
woman_02,phase_rand,background,noise0.05,0.17062,0.02158,0.05343,0.03216,3.1933,False,693.7
woman_02,phase_rand,background,quantize16,0.11546,0.0126,0.05343,0.03216,2.16096,False,693.7
woman_02,phase_rand,background,jpeg75,0.1336,0.04149,0.05343,0.03216,2.50049,False,693.7
woman_02,phase_rand,background,jpeg30,0.14537,0.03535,0.05343,0.03216,2.72075,False,693.7
woman_02,phase_rand,background,crop_resize0.1,0.1621,0.05544,0.05343,0.03216,3.03383,False,693.7
woman_02,phase_rand,background,jpeg_then_resize75,0.11354,0.05823,0.05343,0.03216,2.12498,False,693.7
woman_02,phase_rand,background,adverse_cleaner,0.12269,0.03742,0.05343,0.03216,2.29621,False,693.7
woman_02,phase_rand,background,impress,0.08579,0.01825,0.05343,0.03216,1.60559,False,693.7
woman_02,apa_weak,background,identity,0.0631,0.01944,0.0631,0.01944,1.0,True,692.6
woman_02,apa_weak,background,blur1,0.13655,0.05033,0.0631,0.01944,2.16407,True,692.6
woman_02,apa_weak,background,noise0.05,0.18818,0.01484,0.0631,0.01944,2.98228,True,692.6
woman_02,apa_weak,background,quantize16,0.17266,0.04253,0.0631,0.01944,2.7363,True,692.6
woman_02,apa_weak,background,jpeg75,0.12412,0.05782,0.0631,0.01944,1.96701,True,692.6
woman_02,apa_weak,background,jpeg30,0.14131,0.0362,0.0631,0.01944,2.23947,True,692.6
woman_02,apa_weak,background,crop_resize0.1,0.15525,0.04458,0.0631,0.01944,2.4604,True,692.6
woman_02,apa_weak,background,jpeg_then_resize75,0.13872,0.04443,0.0631,0.01944,2.19836,True,692.6
woman_02,apa_weak,background,adverse_cleaner,0.13825,0.03263,0.0631,0.01944,2.19092,True,692.6
woman_02,apa_weak,background,impress,0.09837,0.00428,0.0631,0.01944,1.55901,True,692.6
woman_02,mist,background,identity,0.24472,0.01556,0.24472,0.01556,1.0,True,695.3
woman_02,mist,background,blur1,0.16637,0.0065,0.24472,0.01556,0.67983,True,695.3
woman_02,mist,background,noise0.05,0.2196,0.01225,0.24472,0.01556,0.89736,True,695.3
woman_02,mist,background,quantize16,0.23538,0.00476,0.24472,0.01556,0.96187,True,695.3
woman_02,mist,background,jpeg75,0.21191,0.01432,0.24472,0.01556,0.86595,True,695.3
woman_02,mist,background,jpeg30,0.16297,0.02476,0.24472,0.01556,0.66597,True,695.3
woman_02,mist,background,crop_resize0.1,0.23693,0.0062,0.24472,0.01556,0.96819,True,695.3
woman_02,mist,background,jpeg_then_resize75,0.15477,0.0294,0.24472,0.01556,0.63246,True,695.3
woman_02,mist,background,adverse_cleaner,0.22801,0.01527,0.24472,0.01556,0.93175,True,695.3
woman_02,mist,background,impress,0.2089,0.01257,0.24472,0.01556,0.85364,True,695.3
woman_02,dia_r,background,identity,0.13975,0.01374,0.13975,0.01374,1.0,True,693.6
woman_02,dia_r,background,blur1,0.15486,0.06283,0.13975,0.01374,1.10816,True,693.6
woman_02,dia_r,background,noise0.05,0.17683,0.02205,0.13975,0.01374,1.26536,True,693.6
woman_02,dia_r,background,quantize16,0.12468,0.0128,0.13975,0.01374,0.89218,True,693.6
woman_02,dia_r,background,jpeg75,0.12363,0.05348,0.13975,0.01374,0.88464,True,693.6
woman_02,dia_r,background,jpeg30,0.15804,0.02622,0.13975,0.01374,1.13088,True,693.6
woman_02,dia_r,background,crop_resize0.1,0.16458,0.05132,0.13975,0.01374,1.1777,True,693.6
woman_02,dia_r,background,jpeg_then_resize75,0.13425,0.03566,0.13975,0.01374,0.96066,True,693.6
woman_02,dia_r,background,adverse_cleaner,0.09583,0.01645,0.13975,0.01374,0.68574,True,693.6
woman_02,dia_r,background,impress,0.11953,0.02235,0.13975,0.01374,0.85536,True,693.6
woman_02,photoguard_c,background,identity,0.21692,0.022,0.21692,0.022,1.0,True,695.0
woman_02,photoguard_c,background,blur1,0.16748,0.07057,0.21692,0.022,0.77207,True,695.0
woman_02,photoguard_c,background,noise0.05,0.18369,0.02829,0.21692,0.022,0.84679,True,695.0
woman_02,photoguard_c,background,quantize16,0.19716,0.02079,0.21692,0.022,0.90892,True,695.0
woman_02,photoguard_c,background,jpeg75,0.12178,0.02342,0.21692,0.022,0.56141,True,695.0
woman_02,photoguard_c,background,jpeg30,0.13055,0.05236,0.21692,0.022,0.60185,True,695.0
woman_02,photoguard_c,background,crop_resize0.1,0.19927,0.02392,0.21692,0.022,0.91865,True,695.0
woman_02,photoguard_c,background,jpeg_then_resize75,0.14462,0.05657,0.21692,0.022,0.66667,True,695.0
woman_02,photoguard_c,background,adverse_cleaner,0.11319,0.02964,0.21692,0.022,0.52178,True,695.0
woman_02,photoguard_c,background,impress,0.13661,0.03958,0.21692,0.022,0.62976,True,695.0
