image,condition,scenario,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
man_02,phase,background,identity,0.07297,0.00757,0.07297,0.00757,1.0,True,682.3
man_02,phase,background,blur1,0.08777,0.00973,0.07297,0.00757,1.20287,True,682.3
man_02,phase,background,noise0.05,0.12167,0.00568,0.07297,0.00757,1.66755,True,682.3
man_02,phase,background,quantize16,0.10331,0.00759,0.07297,0.00757,1.41587,True,682.3
man_02,phase,background,jpeg75,0.09803,0.02203,0.07297,0.00757,1.34357,True,682.3
man_02,phase,background,jpeg30,0.11741,0.01546,0.07297,0.00757,1.6091,True,682.3
man_02,phase,background,crop_resize0.1,0.17053,0.00707,0.07297,0.00757,2.33708,True,682.3
man_02,phase,background,jpeg_then_resize75,0.10133,0.0202,0.07297,0.00757,1.38876,True,682.3
man_02,phase,background,adverse_cleaner,0.10154,0.0194,0.07297,0.00757,1.39165,True,682.3
man_02,phase,background,impress,0.0961,0.00425,0.07297,0.00757,1.3171,True,682.3
man_02,add,background,identity,0.03921,0.01637,0.03921,0.01637,1.0,False,684.2
man_02,add,background,blur1,0.07381,0.01903,0.03921,0.01637,1.88242,False,684.2
man_02,add,background,noise0.05,0.11367,0.01075,0.03921,0.01637,2.89872,False,684.2
man_02,add,background,quantize16,0.08546,0.01161,0.03921,0.01637,2.17952,False,684.2
man_02,add,background,jpeg75,0.07114,0.03091,0.03921,0.01637,1.81433,False,684.2
man_02,add,background,jpeg30,0.09589,0.02263,0.03921,0.01637,2.44532,False,684.2
man_02,add,background,crop_resize0.1,0.15416,0.00783,0.03921,0.01637,3.93141,False,684.2
man_02,add,background,jpeg_then_resize75,0.09612,0.01948,0.03921,0.01637,2.45123,False,684.2
man_02,add,background,adverse_cleaner,0.07337,0.03499,0.03921,0.01637,1.87122,False,684.2
man_02,add,background,impress,0.06089,0.01088,0.03921,0.01637,1.55294,False,684.2
man_02,phase_rand,background,identity,0.0437,0.01642,0.0437,0.01642,1.0,False,682.4
man_02,phase_rand,background,blur1,0.07808,0.00804,0.0437,0.01642,1.78675,False,682.4
man_02,phase_rand,background,noise0.05,0.12326,0.00589,0.0437,0.01642,2.8206,False,682.4
man_02,phase_rand,background,quantize16,0.09103,0.0144,0.0437,0.01642,2.08305,False,682.4
man_02,phase_rand,background,jpeg75,0.07369,0.00837,0.0437,0.01642,1.68623,False,682.4
man_02,phase_rand,background,jpeg30,0.10599,0.01852,0.0437,0.01642,2.42528,False,682.4
man_02,phase_rand,background,crop_resize0.1,0.16702,0.01633,0.0437,0.01642,3.82204,False,682.4
man_02,phase_rand,background,jpeg_then_resize75,0.08385,0.01373,0.0437,0.01642,1.9187,False,682.4
man_02,phase_rand,background,adverse_cleaner,0.06431,0.01271,0.0437,0.01642,1.47159,False,682.4
man_02,phase_rand,background,impress,0.07314,0.00403,0.0437,0.01642,1.67361,False,682.4
man_02,apa_weak,background,identity,0.08608,0.01137,0.08608,0.01137,1.0,True,678.1
man_02,apa_weak,background,blur1,0.1145,0.01557,0.08608,0.01137,1.33022,True,678.1
man_02,apa_weak,background,noise0.05,0.14536,0.00382,0.08608,0.01137,1.68871,True,678.1
man_02,apa_weak,background,quantize16,0.11222,0.00631,0.08608,0.01137,1.30374,True,678.1
man_02,apa_weak,background,jpeg75,0.10829,0.01741,0.08608,0.01137,1.2581,True,678.1
man_02,apa_weak,background,jpeg30,0.13008,0.01233,0.08608,0.01137,1.51123,True,678.1
man_02,apa_weak,background,crop_resize0.1,0.15171,0.00644,0.08608,0.01137,1.76247,True,678.1
man_02,apa_weak,background,jpeg_then_resize75,0.12043,0.01338,0.08608,0.01137,1.39906,True,678.1
man_02,apa_weak,background,adverse_cleaner,0.10171,0.02178,0.08608,0.01137,1.18159,True,678.1
man_02,apa_weak,background,impress,0.09276,0.00901,0.08608,0.01137,1.07769,True,678.1
man_02,mist,background,identity,0.17181,0.00604,0.17181,0.00604,1.0,True,684.6
man_02,mist,background,blur1,0.14511,0.00552,0.17181,0.00604,0.84461,True,684.6
man_02,mist,background,noise0.05,0.16928,0.00485,0.17181,0.00604,0.98525,True,684.6
man_02,mist,background,quantize16,0.17362,0.00597,0.17181,0.00604,1.01051,True,684.6
man_02,mist,background,jpeg75,0.15622,0.00763,0.17181,0.00604,0.90926,True,684.6
man_02,mist,background,jpeg30,0.13494,0.00915,0.17181,0.00604,0.78539,True,684.6
man_02,mist,background,crop_resize0.1,0.18755,0.00709,0.17181,0.00604,1.09159,True,684.6
man_02,mist,background,jpeg_then_resize75,0.14249,0.0056,0.17181,0.00604,0.82937,True,684.6
man_02,mist,background,adverse_cleaner,0.14795,0.00806,0.17181,0.00604,0.86112,True,684.6
man_02,mist,background,impress,0.15137,0.00485,0.17181,0.00604,0.88104,True,684.6
man_02,dia_r,background,identity,0.05567,0.00375,0.05567,0.00375,1.0,True,683.6
man_02,dia_r,background,blur1,0.07685,0.01598,0.05567,0.00375,1.38064,True,683.6
man_02,dia_r,background,noise0.05,0.12121,0.00754,0.05567,0.00375,2.17746,True,683.6
man_02,dia_r,background,quantize16,0.07838,0.00719,0.05567,0.00375,1.40811,True,683.6
man_02,dia_r,background,jpeg75,0.07678,0.02534,0.05567,0.00375,1.37927,True,683.6
man_02,dia_r,background,jpeg30,0.08887,0.00336,0.05567,0.00375,1.59642,True,683.6
man_02,dia_r,background,crop_resize0.1,0.1538,0.00339,0.05567,0.00375,2.76284,True,683.6
man_02,dia_r,background,jpeg_then_resize75,0.09374,0.02081,0.05567,0.00375,1.68395,True,683.6
man_02,dia_r,background,adverse_cleaner,0.05557,0.02153,0.05567,0.00375,0.99831,True,683.6
man_02,dia_r,background,impress,0.06626,0.0067,0.05567,0.00375,1.19034,True,683.6
