image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
parrot_00,add,human,identity,0.36147,0.0907,0.36147,0.0907,1.0,True,143.3
parrot_00,add,human,blur1,0.23516,0.04927,0.36147,0.0907,0.65056,True,143.3
parrot_00,add,human,noise0.05,0.63414,0.05518,0.36147,0.0907,1.75434,True,143.3
parrot_00,add,human,quantize16,0.42094,0.0567,0.36147,0.0907,1.16452,True,143.3
parrot_00,add,human,jpeg75,0.08963,0.09895,0.36147,0.0907,0.24797,True,143.3
parrot_00,add,human,jpeg30,0.32272,0.03489,0.36147,0.0907,0.8928,True,143.3
parrot_00,add,human,crop_resize0.1,0.52701,0.0381,0.36147,0.0907,1.45796,True,143.3
parrot_00,add,human,jpeg_then_resize75,0.18479,0.03733,0.36147,0.0907,0.51122,True,143.3
parrot_00,add,human,adverse_cleaner,0.11,0.07323,0.36147,0.0907,0.30432,True,143.3
parrot_00,phase,human,identity,0.33865,0.05028,0.33865,0.05028,1.0,True,143.6
parrot_00,phase,human,blur1,0.25809,0.03174,0.33865,0.05028,0.7621,True,143.6
parrot_00,phase,human,noise0.05,0.63001,0.05931,0.33865,0.05028,1.86035,True,143.6
parrot_00,phase,human,quantize16,0.37095,0.0498,0.33865,0.05028,1.09537,True,143.6
parrot_00,phase,human,jpeg75,0.23748,0.06099,0.33865,0.05028,0.70125,True,143.6
parrot_00,phase,human,jpeg30,0.31018,0.0389,0.33865,0.05028,0.91592,True,143.6
parrot_00,phase,human,crop_resize0.1,0.52188,0.0487,0.33865,0.05028,1.54105,True,143.6
parrot_00,phase,human,jpeg_then_resize75,0.2011,0.03234,0.33865,0.05028,0.59382,True,143.6
parrot_00,phase,human,adverse_cleaner,0.31557,0.05786,0.33865,0.05028,0.93185,True,143.6
parrot_00,phase_rand,human,identity,0.1085,0.11596,0.1085,0.11596,1.0,False,143.8
parrot_00,phase_rand,human,blur1,0.24476,0.02998,0.1085,0.11596,2.25579,False,143.8
parrot_00,phase_rand,human,noise0.05,0.63118,0.05477,0.1085,0.11596,5.81707,False,143.8
parrot_00,phase_rand,human,quantize16,0.29727,0.02363,0.1085,0.11596,2.73967,False,143.8
parrot_00,phase_rand,human,jpeg75,0.08872,0.07148,0.1085,0.11596,0.81762,False,143.8
parrot_00,phase_rand,human,jpeg30,0.27613,0.02911,0.1085,0.11596,2.54489,False,143.8
parrot_00,phase_rand,human,crop_resize0.1,0.51123,0.04007,0.1085,0.11596,4.71162,False,143.8
parrot_00,phase_rand,human,jpeg_then_resize75,0.1876,0.03728,0.1085,0.11596,1.72898,False,143.8
parrot_00,phase_rand,human,adverse_cleaner,0.11944,0.05316,0.1085,0.11596,1.10083,False,143.8
parrot_00,apa_weak,native,identity,0.21395,0.08944,0.21395,0.08944,1.0,False,143.3
parrot_00,apa_weak,native,blur1,0.19277,0.05195,0.21395,0.08944,0.90099,False,143.3
parrot_00,apa_weak,native,noise0.05,0.59962,0.04463,0.21395,0.08944,2.80258,False,143.3
parrot_00,apa_weak,native,quantize16,0.40579,0.0201,0.21395,0.08944,1.89661,False,143.3
parrot_00,apa_weak,native,jpeg75,0.2028,0.09088,0.21395,0.08944,0.94787,False,143.3
parrot_00,apa_weak,native,jpeg30,0.25233,0.03341,0.21395,0.08944,1.17936,False,143.3
parrot_00,apa_weak,native,crop_resize0.1,0.53059,0.06099,0.21395,0.08944,2.47994,False,143.3
parrot_00,apa_weak,native,jpeg_then_resize75,0.19429,0.06059,0.21395,0.08944,0.90807,False,143.3
parrot_00,apa_weak,native,adverse_cleaner,0.14521,0.04379,0.21395,0.08944,0.67871,False,143.3
parrot_00,mist,native,identity,0.5932,0.02995,0.5932,0.02995,1.0,True,143.2
parrot_00,mist,native,blur1,0.40485,0.02011,0.5932,0.02995,0.68249,True,143.2
parrot_00,mist,native,noise0.05,0.64874,0.01443,0.5932,0.02995,1.09363,True,143.2
parrot_00,mist,native,quantize16,0.60707,0.02691,0.5932,0.02995,1.02339,True,143.2
parrot_00,mist,native,jpeg75,0.57023,0.04385,0.5932,0.02995,0.96128,True,143.2
parrot_00,mist,native,jpeg30,0.44237,0.03481,0.5932,0.02995,0.74574,True,143.2
parrot_00,mist,native,crop_resize0.1,0.61193,0.03299,0.5932,0.02995,1.03157,True,143.2
parrot_00,mist,native,jpeg_then_resize75,0.40825,0.03594,0.5932,0.02995,0.68822,True,143.2
parrot_00,mist,native,adverse_cleaner,0.53995,0.04612,0.5932,0.02995,0.91023,True,143.2
parrot_00,dia_r,native,identity,0.4322,0.02448,0.4322,0.02448,1.0,True,143.3
parrot_00,dia_r,native,blur1,0.24141,0.0654,0.4322,0.02448,0.55856,True,143.3
parrot_00,dia_r,native,noise0.05,0.63492,0.05393,0.4322,0.02448,1.46903,True,143.3
parrot_00,dia_r,native,quantize16,0.4951,0.04074,0.4322,0.02448,1.14553,True,143.3
parrot_00,dia_r,native,jpeg75,0.31299,0.06421,0.4322,0.02448,0.72417,True,143.3
parrot_00,dia_r,native,jpeg30,0.31729,0.01486,0.4322,0.02448,0.73412,True,143.3
parrot_00,dia_r,native,crop_resize0.1,0.56866,0.04312,0.4322,0.02448,1.31572,True,143.3
parrot_00,dia_r,native,jpeg_then_resize75,0.2586,0.02254,0.4322,0.02448,0.59833,True,143.3
parrot_00,dia_r,native,adverse_cleaner,0.18671,0.08386,0.4322,0.02448,0.43199,True,143.3
parrot_00,photoguard_c,native,identity,0.45398,0.07213,0.45398,0.07213,1.0,True,143.3
parrot_00,photoguard_c,native,blur1,0.26043,0.04742,0.45398,0.07213,0.57367,True,143.3
parrot_00,photoguard_c,native,noise0.05,0.63287,0.05727,0.45398,0.07213,1.39405,True,143.3
parrot_00,photoguard_c,native,quantize16,0.41418,0.02471,0.45398,0.07213,0.91233,True,143.3
parrot_00,photoguard_c,native,jpeg75,0.32968,0.09222,0.45398,0.07213,0.72619,True,143.3
parrot_00,photoguard_c,native,jpeg30,0.33748,0.08503,0.45398,0.07213,0.74339,True,143.3
parrot_00,photoguard_c,native,crop_resize0.1,0.54223,0.04881,0.45398,0.07213,1.1944,True,143.3
parrot_00,photoguard_c,native,jpeg_then_resize75,0.1673,0.0299,0.45398,0.07213,0.36852,True,143.3
parrot_00,photoguard_c,native,adverse_cleaner,0.13066,0.02851,0.45398,0.07213,0.2878,True,143.3
