image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,edit_strength,usable,seconds
raccoon_00,add,human,identity,0.23051,0.05863,0.23051,0.05863,1.0,0.7,True,142.5
raccoon_00,add,human,blur1,0.39341,0.10549,0.23051,0.05863,1.70664,0.7,True,142.5
raccoon_00,add,human,noise0.05,0.47252,0.07478,0.23051,0.05863,2.04986,0.7,True,142.5
raccoon_00,add,human,quantize16,0.31183,0.0751,0.23051,0.05863,1.35277,0.7,True,142.5
raccoon_00,add,human,jpeg75,0.12872,0.07518,0.23051,0.05863,0.5584,0.7,True,142.5
raccoon_00,add,human,jpeg30,0.19151,0.04199,0.23051,0.05863,0.83079,0.7,True,142.5
raccoon_00,add,human,crop_resize0.1,0.50538,0.04119,0.23051,0.05863,2.19241,0.7,True,142.5
raccoon_00,add,human,jpeg_then_resize75,0.25911,0.04748,0.23051,0.05863,1.12405,0.7,True,142.5
raccoon_00,add,human,adverse_cleaner,0.12231,0.01193,0.23051,0.05863,0.53058,0.7,True,142.5
raccoon_00,phase,human,identity,0.58819,0.02165,0.58819,0.02165,1.0,0.7,True,142.8
raccoon_00,phase,human,blur1,0.49366,0.10413,0.58819,0.02165,0.8393,0.7,True,142.8
raccoon_00,phase,human,noise0.05,0.6038,0.01229,0.58819,0.02165,1.02655,0.7,True,142.8
raccoon_00,phase,human,quantize16,0.52869,0.07808,0.58819,0.02165,0.89885,0.7,True,142.8
raccoon_00,phase,human,jpeg75,0.39866,0.1213,0.58819,0.02165,0.67779,0.7,True,142.8
raccoon_00,phase,human,jpeg30,0.25198,0.05397,0.58819,0.02165,0.4284,0.7,True,142.8
raccoon_00,phase,human,crop_resize0.1,0.58628,0.03362,0.58819,0.02165,0.99675,0.7,True,142.8
raccoon_00,phase,human,jpeg_then_resize75,0.4233,0.12132,0.58819,0.02165,0.71968,0.7,True,142.8
raccoon_00,phase,human,adverse_cleaner,0.55485,0.05122,0.58819,0.02165,0.94332,0.7,True,142.8
raccoon_00,phase_rand,human,identity,0.14686,0.08632,0.14686,0.08632,1.0,0.7,False,142.9
raccoon_00,phase_rand,human,blur1,0.37026,0.11282,0.14686,0.08632,2.52122,0.7,False,142.9
raccoon_00,phase_rand,human,noise0.05,0.45274,0.08301,0.14686,0.08632,3.08284,0.7,False,142.9
raccoon_00,phase_rand,human,quantize16,0.19815,0.04949,0.14686,0.08632,1.34928,0.7,False,142.9
raccoon_00,phase_rand,human,jpeg75,0.18456,0.07644,0.14686,0.08632,1.25673,0.7,False,142.9
raccoon_00,phase_rand,human,jpeg30,0.2437,0.04506,0.14686,0.08632,1.65941,0.7,False,142.9
raccoon_00,phase_rand,human,crop_resize0.1,0.51082,0.05165,0.14686,0.08632,3.47833,0.7,False,142.9
raccoon_00,phase_rand,human,jpeg_then_resize75,0.26425,0.05342,0.14686,0.08632,1.79938,0.7,False,142.9
raccoon_00,phase_rand,human,adverse_cleaner,0.20736,0.07424,0.14686,0.08632,1.41194,0.7,False,142.9
raccoon_00,apa_weak,native,identity,0.3393,0.06056,0.3393,0.06056,1.0,0.7,True,142.9
raccoon_00,apa_weak,native,blur1,0.4958,0.09968,0.3393,0.06056,1.46125,0.7,True,142.9
raccoon_00,apa_weak,native,noise0.05,0.52876,0.0305,0.3393,0.06056,1.55838,0.7,True,142.9
raccoon_00,apa_weak,native,quantize16,0.38761,0.05907,0.3393,0.06056,1.14238,0.7,True,142.9
raccoon_00,apa_weak,native,jpeg75,0.36034,0.04275,0.3393,0.06056,1.06201,0.7,True,142.9
raccoon_00,apa_weak,native,jpeg30,0.42077,0.07824,0.3393,0.06056,1.24013,0.7,True,142.9
raccoon_00,apa_weak,native,crop_resize0.1,0.57159,0.04194,0.3393,0.06056,1.68461,0.7,True,142.9
raccoon_00,apa_weak,native,jpeg_then_resize75,0.44425,0.07857,0.3393,0.06056,1.30932,0.7,True,142.9
raccoon_00,apa_weak,native,adverse_cleaner,0.35905,0.0309,0.3393,0.06056,1.0582,0.7,True,142.9
raccoon_00,mist,native,identity,0.65634,0.03406,0.65634,0.03406,1.0,0.7,True,142.9
raccoon_00,mist,native,blur1,0.52498,0.07327,0.65634,0.03406,0.79985,0.7,True,142.9
raccoon_00,mist,native,noise0.05,0.61949,0.03246,0.65634,0.03406,0.94386,0.7,True,142.9
raccoon_00,mist,native,quantize16,0.6399,0.02241,0.65634,0.03406,0.97494,0.7,True,142.9
raccoon_00,mist,native,jpeg75,0.56314,0.09988,0.65634,0.03406,0.85799,0.7,True,142.9
