guidance_scale,n,rho_dist_sem,rho_dist_deg,rho_sem_deg,mean_net_lpips,mean_dsiglip,mean_dniqe,runs
1.0,217,0.1402,-0.207,0.0135,0.2491,0.00406,-0.3274,30
7.5,3,1.0,0.5,0.5,0.2957,-0.00165,0.3452,3
