image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,3.0,False,0.0,0.35,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36253,0.95986,23.766,0.44048,0.088,0.44555,0.68487,15.78,0.25153,0.23919,0.97255,0.06482,0.8742,0.86183,False,0.837,213.3
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,3.0,False,0.0,0.35,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42547,0.91685,23.124,0.35126,0.16156,0.57301,0.40898,9.905,0.18002,0.31178,0.99216,0.06979,0.84694,0.83973,False,0.837,202.3
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,3.0,False,0.0,0.35,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47465,0.91033,19.555,0.33988,0.18089,0.73601,0.21998,8.145,0.18843,0.40269,0.79216,0.10525,0.79452,0.83162,True,0.837,201.8
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,3.0,False,0.0,0.35,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42981,0.96653,31.58,0.33388,0.11737,0.38929,0.62046,12.475,0.65183,0.32059,0.9166,0.02636,0.92128,0.8698,False,0.837,201.4
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,3.0,False,0.0,0.35,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36904,0.95154,26.121,0.46802,0.13468,0.50567,0.57609,11.588,0.36498,0.28381,0.96863,0.04942,0.87829,0.83098,True,0.837,201.3
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.0,False,0.0,0.35,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47409,0.9577,28.406,0.49064,0.06307,0.79879,0.4304,11.228,0.20878,0.32985,0.95899,0.03799,0.62202,0.60722,True,0.837,201.6
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.0,False,0.0,0.35,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45532,0.83791,17.521,0.26924,0.1511,0.61249,0.25377,13.761,0.12776,0.3502,1.0,0.13303,0.88728,0.84436,False,0.837,201.5
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,3.0,False,0.0,0.35,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43056,0.95025,22.996,0.3764,0.10167,0.50744,0.57308,15.465,0.20788,0.3012,0.83517,0.07083,0.86061,0.80736,True,0.837,201.3
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,3.0,False,0.0,0.35,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49104,0.9162,23.617,0.37223,0.14249,0.53022,0.39655,15.569,0.23403,0.37222,0.82958,0.06594,0.86044,0.74155,True,0.837,201.4
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,3.0,False,0.0,0.35,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43181,0.93049,23.315,0.45709,0.10799,0.68905,0.30793,8.213,0.10526,0.35813,1.0,0.06827,0.7456,0.69721,True,0.837,201.5
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,3.0,False,0.0,0.35,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47764,0.77628,19.495,0.18434,0.21383,0.64693,0.5284,12.784,0.01497,0.39909,0.95686,0.10599,0.78623,0.82866,True,0.837,201.5
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,3.0,False,0.0,0.35,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50373,0.89566,20.985,0.31786,0.14092,0.64224,0.25903,9.646,0.06045,0.26666,0.99608,0.08928,0.63509,0.62601,True,0.837,204.7
