image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_123744,dct_shield,instruct-pix2pix,turn the color of cushion to be black,,1.0,False,100,7.5,1.5,20260812,False,0.41513,0.91336,29.266,0.54824,0.03153,0.65223,0.24774,9.672,0.09366,0.41206,0.23766,0.03441,582.6
task_attr_mod_color_22137,dct_shield,instruct-pix2pix,turn the color of ring to be gray,,1.0,False,100,7.5,1.5,20260812,False,0.54954,0.78578,30.251,0.34327,0.07911,0.55052,0.64526,16.458,0.01233,0.58892,0.22426,0.03072,587.9
task_attr_mod_color_71985,dct_shield,instruct-pix2pix,turn the color of piano to be gray,,1.0,False,100,7.5,1.5,20260812,False,0.4754,0.86599,29.624,0.5075,0.04338,0.77814,0.36785,12.241,0.09574,0.52241,0.2341,0.03302,582.9
task_env_weather_137230,dct_shield,instruct-pix2pix,change the setting to a summer day,,1.0,False,100,7.5,1.5,20260812,False,0.45114,0.86529,29.493,0.52632,0.04701,0.65215,0.53892,14.639,0.29161,0.31874,0.28384,0.03352,582.0
task_env_weather_39740,dct_shield,instruct-pix2pix,change the setting to a misty scene,,1.0,False,100,7.5,1.5,20260812,False,0.39443,0.91987,29.202,0.55882,0.03462,0.51059,0.65355,14.355,0.30214,0.29368,0.29605,0.03466,579.4
task_obj_add_166344,dct_shield,instruct-pix2pix,Add mountain,,1.0,False,100,7.5,1.5,20260812,False,0.4915,0.86361,29.387,0.50323,0.0486,0.56114,0.62001,17.393,0.15234,0.31821,0.2474,0.03393,582.7
task_obj_add_44802,dct_shield,instruct-pix2pix,Add clouds,,1.0,False,100,7.5,1.5,20260812,False,0.4039,0.88236,29.137,0.54431,0.03568,0.56539,0.54769,12.974,0.24618,0.35422,0.24412,0.03493,581.6
task_obj_add_709390,dct_shield,instruct-pix2pix,Add glasses,,1.0,False,100,7.5,1.5,20260812,False,0.56502,0.82969,29.799,0.41033,0.11597,0.72527,0.34248,10.388,0.04179,0.40968,0.21141,0.03236,581.2
task_obj_remove_284852,dct_shield,instruct-pix2pix,Remove khaki pants,,1.0,False,100,7.5,1.5,20260812,False,0.53142,0.74965,30.148,0.43604,0.07941,0.73418,0.40761,10.324,0.07952,0.33146,0.24257,0.03109,578.5
task_obj_remove_571780,dct_shield,instruct-pix2pix,Remove the house,,1.0,False,100,7.5,1.5,20260812,False,0.46578,0.85387,29.528,0.45302,0.05857,0.58025,0.41835,12.994,0.03563,0.31621,0.24435,0.03339,578.4
task_obj_swap_joint_mask_337228,dct_shield,instruct-pix2pix,Replace the silk sash with yellow shawl,,1.0,False,100,7.5,1.5,20260812,False,0.4372,0.80104,29.521,0.41586,0.07684,0.6803,0.43006,9.038,0.06681,0.30707,0.24244,0.03342,581.5
task_obj_swap_rand_mask_11376,dct_shield,instruct-pix2pix,Replace the glass dome with house,,1.0,False,100,7.5,1.5,20260812,False,0.35281,0.8876,28.976,0.54018,0.03453,0.58555,0.40409,13.157,0.12086,0.36156,0.25562,0.03558,580.3
task_obj_swap_rand_mask_660100,dct_shield,instruct-pix2pix,Replace the hot dog with taco,,1.0,False,100,7.5,1.5,20260812,False,0.49796,0.90076,29.051,0.52695,0.0479,0.75488,0.13554,9.185,0.0301,0.33815,0.27938,0.03527,572.9
