image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_124169,dct_shield,instruct-pix2pix,turn the color of backpack to gray,,1.0,False,100,7.5,1.5,20260812,False,0.55184,0.8844,29.414,0.51814,0.04427,0.71406,0.4115,13.307,0.15236,0.27983,0.2331,0.03383,571.5
task_attr_mod_color_229454,dct_shield,instruct-pix2pix,turn the color of cat to orange,,1.0,False,100,7.5,1.5,20260812,False,0.47188,0.81278,29.764,0.45053,0.03646,0.63514,0.39211,11.307,0.05686,0.40758,0.27568,0.03249,569.3
task_attr_mod_color_75937,dct_shield,instruct-pix2pix,turn the color of eye to green,,1.0,False,100,7.5,1.5,20260812,False,0.52808,0.78992,30.007,0.3648,0.06267,0.53929,0.36481,9.549,0.07683,0.42178,0.23378,0.0316,570.3
task_env_weather_146611,dct_shield,instruct-pix2pix,change the setting to spring with blooming trees,,1.0,False,100,7.5,1.5,20260812,False,0.37762,0.91714,28.926,0.5881,0.05032,0.62916,0.52359,12.973,0.15168,0.34783,0.27381,0.03579,569.8
task_env_weather_52051,dct_shield,instruct-pix2pix,change the setting to a snowy scene,,1.0,False,100,7.5,1.5,20260812,False,0.29228,0.92118,28.571,0.58065,0.03716,0.51809,0.54623,16.758,0.27262,0.30832,0.26258,0.03728,571.8
task_obj_add_239597,dct_shield,instruct-pix2pix,Add goalkeeper,,1.0,False,100,7.5,1.5,20260812,False,0.43001,0.90033,29.125,0.54895,0.04179,0.63401,0.53067,15.191,0.21065,0.353,0.26074,0.03497,568.7
task_obj_add_458919,dct_shield,instruct-pix2pix,Add the person with a hat,,1.0,False,100,7.5,1.5,20260812,False,0.43902,0.87639,29.24,0.50791,0.03326,0.69797,0.35015,11.166,0.07932,0.42571,0.26066,0.03451,569.3
task_obj_add_726991,dct_shield,instruct-pix2pix,Add stem,,1.0,False,100,7.5,1.5,20260812,False,0.54403,0.81156,29.832,0.41042,0.06855,0.75515,0.27575,14.166,0.04182,0.3693,0.22714,0.03224,568.9
task_obj_remove_286801,dct_shield,instruct-pix2pix,Remove red boat,,1.0,False,100,7.5,1.5,20260812,False,0.40294,0.8694,28.032,0.53091,0.03096,0.57473,0.47243,15.168,0.25155,0.31336,0.39431,0.03967,570.7
task_obj_remove_606694,dct_shield,instruct-pix2pix,Remove facial expression,,1.0,False,100,7.5,1.5,20260812,False,0.52147,0.82696,29.573,0.37602,0.06575,0.78417,0.21269,9.698,0.01629,0.49028,0.22923,0.03322,571.4
task_obj_swap_joint_mask_356849,dct_shield,instruct-pix2pix,Replace the robot with glowing eyes with Yoda,,1.0,False,100,7.5,1.5,20260812,False,0.53947,0.7837,30.026,0.37291,0.06397,0.71241,0.18698,9.198,0.02983,0.32252,0.24154,0.03153,572.6
task_obj_swap_rand_mask_116052,dct_shield,instruct-pix2pix,Replace the mountain path with ocean,,1.0,False,100,7.5,1.5,20260812,False,0.47648,0.79986,29.546,0.44585,0.07461,0.53976,0.50028,13.306,0.1362,0.28013,0.26078,0.03332,568.1
task_obj_swap_rand_mask_683349,dct_shield,instruct-pix2pix,Replace the abstract sculpture with bronze statue,,1.0,False,100,7.5,1.5,20260812,False,0.33838,0.90404,28.962,0.56453,0.02618,0.38093,0.62966,18.11,0.33967,0.20144,0.28918,0.03564,561.9
