image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_136767,dct_shield,instruct-pix2pix,turn the color of astronaut to pink,,1.0,False,100,7.5,1.5,20260812,False,0.42279,0.84926,29.693,0.51536,0.05742,0.62876,0.27642,7.431,0.02839,0.42727,0.24216,0.03276,587.9
task_attr_mod_color_32648,dct_shield,instruct-pix2pix,turn the color of potion bottle to orange,,1.0,False,100,7.5,1.5,20260812,False,0.58693,0.7337,30.515,0.22584,0.11089,0.60507,0.41755,10.745,0.07902,0.38131,0.2,0.0298,591.7
task_env_weather_112463,dct_shield,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.0,False,100,7.5,1.5,20260812,False,0.5584,0.8672,29.453,0.49826,0.04942,0.86405,0.34333,10.415,0.2184,0.3709,0.27413,0.03368,597.2
task_env_weather_181583,dct_shield,instruct-pix2pix,change the setting to a stormy day,,1.0,False,100,7.5,1.5,20260812,False,0.49986,0.8728,29.419,0.47765,0.04376,0.79454,0.28156,11.118,0.05161,0.4377,0.20931,0.03381,592.3
task_env_weather_63722,dct_shield,instruct-pix2pix,change the setting to a snowy landscape,,1.0,False,100,7.5,1.5,20260812,False,0.45826,0.86881,29.62,0.51089,0.04854,0.62738,0.4716,13.391,0.10024,0.40562,0.27942,0.03304,593.3
task_obj_add_340466,dct_shield,instruct-pix2pix,Add orange juice,,1.0,False,100,7.5,1.5,20260812,False,0.5136,0.86455,29.537,0.50864,0.07034,0.74754,0.36731,10.436,0.11111,0.38116,0.25963,0.03335,590.4
task_obj_add_581286,dct_shield,instruct-pix2pix,Add sauce,,1.0,False,100,7.5,1.5,20260812,False,0.5546,0.82277,29.816,0.40871,0.07287,0.80159,0.28761,11.559,0.0368,0.34274,0.23147,0.0323,596.3
task_obj_remove_10197,dct_shield,instruct-pix2pix,Remove gravel path,,1.0,False,100,7.5,1.5,20260812,False,0.39271,0.92435,29.18,0.55462,0.03921,0.51891,0.35841,15.82,0.06712,0.27589,0.23998,0.03476,590.3
task_obj_remove_380621,dct_shield,instruct-pix2pix,Remove iceberg,,1.0,False,100,7.5,1.5,20260812,False,0.51316,0.87125,29.594,0.51098,0.09202,0.72586,0.23937,7.989,0.04753,0.38793,0.23896,0.03314,591.8
task_obj_remove_657585,dct_shield,instruct-pix2pix,Remove frisbee,,1.0,False,100,7.5,1.5,20260812,False,0.6097,0.82402,29.785,0.43585,0.0851,0.85063,0.29441,11.08,0.06808,0.36237,0.36992,0.03242,592.5
task_obj_swap_joint_mask_533428,dct_shield,instruct-pix2pix,Replace the samurai armor with red jacket,,1.0,False,100,7.5,1.5,20260812,False,0.3954,0.90006,29.196,0.56543,0.03475,0.63396,0.31961,10.221,0.09669,0.28635,0.23529,0.03469,592.5
task_obj_swap_rand_mask_298147,dct_shield,instruct-pix2pix,Replace the wizard's robe with red shirt,,1.0,False,100,7.5,1.5,20260812,False,0.40214,0.84752,28.88,0.52727,0.05422,0.79869,0.16699,10.424,0.07455,0.4898,0.36325,0.03598,582.7
