image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50551,0.929,25.132,0.28591,0.11818,0.52157,0.59198,12.648,0.17729,0.27228,0.58045,0.05539,0.76579,0.77537,True,0.837,410.5
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4794,0.91924,25.222,0.2924,0.18259,0.59145,0.33055,8.197,0.17253,0.34664,0.64052,0.05482,0.79177,0.82265,True,0.837,397.8
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49127,0.88628,21.866,0.29975,0.20879,0.74735,0.14022,7.137,0.14594,0.5683,0.5921,0.08067,0.67074,0.73001,True,0.837,397.5
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.56027,0.94639,29.369,0.14266,0.13457,0.6165,0.40236,10.916,0.08396,0.38624,0.68199,0.034,0.77643,0.75946,True,0.837,397.5
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52312,0.93528,27.758,0.32275,0.15234,0.74825,0.2043,6.634,0.34505,0.65908,0.65199,0.04094,0.54483,0.44962,True,0.837,397.7
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.57488,0.93115,28.163,0.33505,0.09127,0.83743,0.3323,10.264,0.17581,0.36425,0.4137,0.03907,0.56842,0.57299,True,0.837,397.6
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42935,0.88671,21.053,0.30019,0.13476,0.62122,0.24978,13.706,0.12996,0.35714,0.71717,0.08858,0.89399,0.8445,False,0.837,397.6
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50713,0.91927,24.371,0.29156,0.11972,0.64273,0.42279,13.339,0.06633,0.43761,0.56336,0.06046,0.6266,0.65873,True,0.837,397.6
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50521,0.91009,24.789,0.3515,0.16222,0.59285,0.34099,15.025,0.21212,0.43787,0.49606,0.05761,0.82876,0.61248,True,0.837,397.6
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52551,0.94381,26.397,0.36013,0.13237,0.72684,0.25005,8.116,0.04844,0.38877,0.64474,0.04788,0.73678,0.71731,True,0.837,397.8
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44404,0.90023,24.347,0.2674,0.15274,0.6695,0.48718,12.563,0.01399,0.43271,0.94048,0.06062,0.80764,0.83794,False,0.837,397.4
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49614,0.90015,23.874,0.30739,0.14216,0.64045,0.23972,9.506,0.05508,0.27454,0.53515,0.06402,0.62933,0.61934,True,0.837,397.3
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50982,0.90949,24.982,0.29771,0.11995,0.77625,0.23354,9.265,0.07143,0.5111,0.71557,0.05635,0.39174,0.47636,True,0.837,391.0
