image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.12494,0.96799,28.652,0.58653,0.04147,0.16017,0.88071,22.252,0.41927,0.09055,0.55137,0.03693,40.5
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.19373,0.95275,29.214,0.52779,0.07922,0.23052,0.78683,22.835,0.35441,0.14367,0.43336,0.03462,37.8
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.22335,0.91389,23.833,0.44592,0.11249,0.28769,0.64497,17.413,0.29521,0.21034,0.62284,0.06432,37.5
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.1828,0.98969,40.747,0.68632,0.03695,0.2163,0.85242,21.153,0.66113,0.16996,0.25046,0.00918,37.4
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.12822,0.96589,31.76,0.62655,0.08539,0.26607,0.76257,14.128,0.47843,0.17338,0.5875,0.02582,37.4
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.20355,0.94927,31.471,0.60313,0.04006,0.30531,0.74744,20.678,0.28359,0.12559,0.32984,0.0267,37.4
task_env_weather_133752,phase_gain,instruct-pix2pix,transform the setting to a rainy day,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.21098,0.96727,32.794,0.6181,0.03999,0.26595,0.86981,23.729,0.35655,0.08024,0.28327,0.02292,37.3
task_env_weather_181583,phase_gain,instruct-pix2pix,change the setting to a stormy day,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.23177,0.93637,31.849,0.57945,0.03848,0.62496,0.6669,14.092,0.33593,0.35991,0.27786,0.02556,37.4
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.25588,0.89772,21.486,0.43718,0.07874,0.3917,0.55895,17.028,0.1814,0.18767,0.77392,0.08428,37.2
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.19095,0.95245,26.776,0.50313,0.0629,0.22983,0.81889,21.15,0.30558,0.11185,0.65798,0.04583,37.3
task_obj_add_13726,phase_gain,instruct-pix2pix,Add subscribe button,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.25108,0.93033,27.24,0.47147,0.07905,0.5047,0.58125,16.485,0.22215,0.27775,0.58133,0.04345,37.2
task_obj_add_340466,phase_gain,instruct-pix2pix,Add orange juice,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.1377,0.96864,30.644,0.62461,0.05987,0.24446,0.82659,17.524,0.44778,0.15677,0.41559,0.02936,37.2
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.3654,0.93118,27.357,0.48856,0.06385,0.35187,0.57276,17.464,0.28806,0.24837,0.43048,0.04287,37.3
task_obj_add_581286,phase_gain,instruct-pix2pix,Add sauce,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.14222,0.97467,36.277,0.72204,0.04118,0.15679,0.89044,27.362,0.60734,0.10955,0.36299,0.01535,37.2
task_obj_add_692065,phase_gain,instruct-pix2pix,Add monk,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.16322,0.94873,27.588,0.63269,0.0533,0.21494,0.85198,22.981,0.44196,0.07434,0.60304,0.04174,37.2
task_obj_remove_10197,phase_gain,instruct-pix2pix,Remove gravel path,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.28502,0.93071,25.711,0.53972,0.05585,0.43632,0.42376,13.522,0.07352,0.25995,0.60229,0.05181,37.1
task_obj_remove_257910,phase_gain,instruct-pix2pix,Remove bracelet,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.22758,0.97495,34.303,0.6802,0.03891,0.22596,0.86378,24.908,0.43752,0.09968,0.31242,0.01927,37.2
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.26066,0.95207,28.748,0.60312,0.06337,0.42153,0.66748,16.306,0.24612,0.20492,0.62154,0.03653,37.2
task_obj_remove_509477,phase_gain,instruct-pix2pix,Remove the man with glasses,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.27308,0.92451,26.34,0.46902,0.07298,0.2903,0.73381,20.876,0.30733,0.12686,0.6688,0.04819,37.2
task_obj_remove_657585,phase_gain,instruct-pix2pix,Remove frisbee,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.12804,0.98253,37.997,0.79284,0.0403,0.27417,0.81154,20.58,0.68082,0.17966,0.24941,0.01259,37.4
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.42554,0.87701,26.479,0.30718,0.10442,0.19513,0.79631,21.019,0.26492,0.21208,0.55454,0.04743,37.2
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.28929,0.92494,25.772,0.47425,0.0759,0.3427,0.63741,17.053,0.23162,0.16213,0.71484,0.05145,37.3
task_obj_swap_joint_mask_75733,phase_gain,instruct-pix2pix,Replace the snowy landscape with sea,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.29009,0.95555,33.6,0.5369,0.07502,0.37534,0.72988,16.162,0.31308,0.25371,0.30495,0.02089,37.3
task_obj_swap_rand_mask_298147,phase_gain,instruct-pix2pix,Replace the wizard's robe with red shirt,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.36165,0.89649,26.596,0.41087,0.10331,0.61569,0.40793,15.826,0.20893,0.31218,0.80784,0.04679,37.3
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.2,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.22317,0.94209,28.525,0.51615,0.04533,0.27829,0.7282,20.949,0.35069,0.14953,0.62668,0.03747,37.2
