image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,1.2,False,0.0,100,7.5,1.5,20260812,False,0.0974,0.97428,29.588,0.60792,0.03029,0.13138,0.90554,23.108,0.45122,0.06543,0.45991,0.03316,120.4
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,1.2,False,0.0,100,7.5,1.5,20260812,False,0.16533,0.96142,30.179,0.55488,0.06341,0.19952,0.83188,23.073,0.38358,0.1244,0.39671,0.03098,120.5
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,1.2,False,0.0,100,7.5,1.5,20260812,False,0.1829,0.92878,24.586,0.46431,0.0738,0.2865,0.68616,17.456,0.30671,0.19987,0.58952,0.05898,120.3
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,1.2,False,0.0,100,7.5,1.5,20260812,False,0.14936,0.99201,42.234,0.73337,0.03244,0.16716,0.88178,21.755,0.69319,0.1459,0.19213,0.00773,120.3
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,1.2,False,0.0,100,7.5,1.5,20260812,False,0.10271,0.97234,32.766,0.65267,0.06446,0.21007,0.83518,17.734,0.52748,0.13251,0.36766,0.023,120.6
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.2,False,0.0,100,7.5,1.5,20260812,False,0.16607,0.95645,32.1,0.61441,0.02639,0.27462,0.7792,21.135,0.30982,0.12128,0.31399,0.02483,120.5
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,1.2,False,0.0,100,7.5,1.5,20260812,False,0.16976,0.97257,33.406,0.64045,0.02821,0.20993,0.90245,26.83,0.4083,0.05239,0.29253,0.02137,120.3
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,1.2,False,0.0,100,7.5,1.5,20260812,False,0.19717,0.94589,32.497,0.59428,0.02981,0.33494,0.77527,18.615,0.44483,0.21194,0.24266,0.02372,120.1
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.2,False,0.0,100,7.5,1.5,20260812,False,0.23053,0.91235,22.101,0.45533,0.06304,0.35598,0.59831,17.713,0.19642,0.15419,0.71308,0.07851,120.4
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,1.2,False,0.0,100,7.5,1.5,20260812,False,0.16169,0.96282,27.774,0.5291,0.05032,0.19455,0.85917,22.241,0.33494,0.08927,0.59906,0.04086,120.9
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,1.2,False,0.0,100,7.5,1.5,20260812,False,0.21546,0.94084,27.968,0.49061,0.06686,0.29269,0.70676,20.301,0.2334,0.18785,0.42593,0.03996,120.8
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,1.2,False,0.0,100,7.5,1.5,20260812,False,0.10887,0.97516,31.621,0.64877,0.04383,0.20137,0.85256,17.965,0.47449,0.13302,0.3833,0.02624,121.0
