image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,deliver_retention,deliver_cosine,deliver_retention_base,deliver_rms_raw,deliver_rms_out,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.35,0.33575,0.36429,0.31027,0.04428,0.040811,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3374,0.89214,27.784,0.36428,0.12769,0.32057,0.8118,22.08,0.25042,0.14629,0.33141,0.04081,0.9042,0.93171,False,0.837,195.5
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.35,0.29932,0.36009,0.28408,0.043709,0.036332,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29275,0.88382,28.794,0.39098,0.10619,0.30408,0.73601,23.577,0.27085,0.1701,0.38537,0.03633,0.97658,0.95042,False,0.837,186.6
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.35,0.43351,0.44946,0.40609,0.053454,0.051558,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.27715,0.92872,25.754,0.40169,0.0852,0.3196,0.75836,20.343,0.24567,0.16436,0.34186,0.05156,0.97494,0.93762,False,0.837,186.2
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.35,0.19265,0.31814,0.18082,0.036537,0.022125,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43624,0.85932,33.102,0.18759,0.18178,0.37674,0.72892,19.708,0.24923,0.15211,0.23737,0.02213,0.93561,0.92522,False,0.837,186.6
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.35,0.25887,0.31708,0.2317,0.040531,0.033089,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34101,0.88883,29.606,0.40266,0.13632,0.39733,0.75456,15.651,0.33837,0.18814,0.49569,0.03309,0.92105,0.90593,False,0.837,186.5
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.35,0.24,0.34046,0.21685,0.040829,0.028781,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.33606,0.911,30.818,0.45287,0.08033,0.30046,0.74867,21.12,0.2981,0.1136,0.30329,0.02878,0.92745,0.94581,False,0.837,186.6
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.35,0.31892,0.34872,0.28815,0.046116,0.042175,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35261,0.90589,27.499,0.38802,0.12723,0.37961,0.70957,19.193,0.24193,0.16633,0.53288,0.04218,0.95053,0.92872,False,0.837,186.5
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.35,0.3805,0.36779,0.29115,0.052373,0.054183,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37749,0.83459,25.323,0.26895,0.11235,0.42596,0.72206,16.571,0.06391,0.23663,0.50405,0.05418,0.93431,0.94705,False,0.837,186.4
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.35,0.33121,0.37736,0.30819,0.051252,0.044985,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29319,0.91126,26.939,0.39527,0.09395,0.43501,0.54935,16.328,0.1554,0.18193,0.35301,0.04498,0.95843,0.88683,False,0.837,186.5
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.35,0.3382,0.36264,0.30488,0.045587,0.042516,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29593,0.86661,27.429,0.36784,0.10134,0.34067,0.72137,21.814,0.24524,0.15378,0.44776,0.04252,0.91645,0.9166,False,0.837,186.0
