condition,lr_key,lr,steps,image_id,final_loss,final_L_def,final_L_fid,finite,diverged,monitor,monitor_first,monitor_last,monitor_per_step,final_lpips,final_psnr
N1,lr.N1,0.0001,60,bird_02,0.05842762440443039,0.05842762440443039,0.0,True,False,shared_mass,0.9415173530578613,0.941572368144989,9.324591038590771e-07,,
N1,lr.N1,0.001,60,bird_02,0.058406613767147064,0.058406613767147064,0.0,True,False,shared_mass,0.9415173530578613,0.9415934085845947,1.2890767242948887e-06,,
N1,lr.N1,0.005,60,bird_02,0.05809377133846283,0.05809377133846283,0.0,True,False,shared_mass,0.9415173530578613,0.941906213760376,6.590859364655058e-06,,
N1,lr.N1,0.02,60,bird_02,0.057516857981681824,0.057516857981681824,0.0,True,False,shared_mass,0.9415173530578613,0.942483127117157,1.636905185246872e-05,,
N1,lr.N1,0.1,60,bird_02,0.0565401129424572,0.0565401129424572,0.0,True,False,shared_mass,0.9415173530578613,0.9434598684310913,3.292398937677933e-05,,
N2,lr.N2,0.0001,60,bird_02,0.8481240272521973,0.8481240272521973,0.0,True,False,edit_shift,0.15037710964679718,0.15100593864917755,1.065811868441307e-05,,
N2,lr.N2,0.001,60,bird_02,0.8474406003952026,0.8474406003952026,0.0,True,False,edit_shift,0.15037710964679718,0.15229031443595886,3.2427199816299696e-05,,
N2,lr.N2,0.005,60,bird_02,0.8421927690505981,0.8421927690505981,0.0,True,False,edit_shift,0.15037710964679718,0.15294286608695984,4.348739729089252e-05,,
N2,lr.N2,0.02,60,bird_02,0.8280849456787109,0.8280849456787109,0.0,True,False,edit_shift,0.15037710964679718,0.16111449897289276,0.00018198964959484037,,
N2,lr.N2,0.1,60,bird_02,0.8086444735527039,0.8086444735527039,0.0,True,False,edit_shift,0.15037710964679718,0.18651925027370453,0.0006125786546933449,,
N3,lr.N3_stage1,0.0001,60,bird_02,0.0,,,True,False,,,,,0.18488414585590363,27.193695068359375
N3,lr.N3_stage1,0.001,60,bird_02,0.0,,,True,False,,,,,0.1849733591079712,27.262676239013672
N3,lr.N3_stage1,0.005,60,bird_02,0.0,,,True,False,,,,,0.18322604894638062,27.26139259338379
N3,lr.N3_stage1,0.02,60,bird_02,1411.6180419921875,,,True,False,,,,,0.8235347270965576,8.010259628295898
N3,lr.N3_stage1,0.1,50,bird_02,inf,,,False,True,,,,,nan,nan
N3,lr.N3_stage2,0.0001,60,bird_02,0.11015205085277557,0.11015205085277557,0.0,True,False,edit_shift,0.16737030446529388,0.16503003239631653,-3.9665628287751795e-05,,
N3,lr.N3_stage2,0.001,60,bird_02,0.08980103582143784,0.08980103582143784,0.0,True,False,edit_shift,0.16737030446529388,0.18289098143577576,0.00026306232153359104,,
N3,lr.N3_stage2,0.005,60,bird_02,0.07972568273544312,0.07972568273544312,0.0,True,False,edit_shift,0.16737030446529388,0.23371128737926483,0.0011244234392198465,,
N3,lr.N3_stage2,0.02,60,bird_02,0.09035921096801758,0.09035921096801758,0.0,True,False,edit_shift,0.16737030446529388,0.21744148433208466,0.0008486640655388266,,
N3,lr.N3_stage2,0.1,60,bird_02,20.74793815612793,0.09863115847110748,20.649307250976562,True,False,edit_shift,0.16737030446529388,0.31402379274368286,0.002485652343701508,,
