image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips
car_00,PF,16,a wrecked car after an accident,25,10,10,1,97.4,rotate,0,0.0,,,10154.9,4.7,512.0,382.0,239.0,512.0,381.3333333333333,0.0348103865981102,9.65522289276123,0.15341883897781372,9.50180435180664,0.3465811610221863,33.23105239868164,0.10649308562278748,33.23105239868164,0.10649308562278748,0.9723318815231323,0.06757254898548126
car_00,P,16,a wrecked car after an accident,25,10,10,1,97.5,rotate,0,0.0,,,11509.4,6.83,344.6666666666667,16.666666666666668,11.666666666666666,16.0,15.666666666666666,0.012996673583984375,1.5916534662246704,0.24901404976844788,1.342639446258545,0.2509859502315521,39.79322052001953,0.07316785305738449,39.79322052001953,0.07316785305738449,0.9926442503929138,0.018498200923204422
car_01,PF,16,a wrecked car after an accident,25,10,10,1,97.4,rotate,0,0.0,,,11518.8,4.72,512.0,382.6666666666667,241.66666666666666,512.0,382.6666666666667,0.00859578512609005,9.77651596069336,0.1366826593875885,9.639833450317383,0.3633173406124115,33.41160583496094,0.10584622621536255,33.41160583496094,0.10584622621536255,0.9744925498962402,0.06960101425647736
car_01,P,16,a wrecked car after an accident,25,10,10,1,97.5,rotate,0,0.0,,,11507.6,8.56,205.66666666666666,16.0,13.0,16.0,16.0,0.0019480388145893812,0.2309722900390625,0.2178046703338623,0.013167627155780792,0.2821953296661377,43.79035568237305,0.058377861976623535,43.79035568237305,0.058377861976623535,0.9975902438163757,0.010757870972156525
dog_00,PF,16,a cat sitting on the grass,25,10,10,1,97.4,rotate,0,0.0,,,11518.8,4.61,512.0,384.3333333333333,245.33333333333334,512.0,384.6666666666667,0.00605010986328125,14.70073413848877,0.16651636362075806,14.534217834472656,0.33348363637924194,32.42018508911133,0.10845732688903809,32.42018508911133,0.10845732688903809,0.9480485916137695,0.11521320790052414
dog_00,P,16,a cat sitting on the grass,25,10,10,1,97.4,rotate,0,0.0,,,11509.1,15.34,102.33333333333333,16.0,13.333333333333334,16.0,16.0,0.0013415019493550062,0.2715259790420532,0.2536085844039917,0.017917387187480927,0.2463914155960083,45.679412841796875,0.03259909152984619,45.679412841796875,0.03259909152984619,0.9968873858451843,0.014804772101342678
dog_01,PF,16,a cat sitting on the grass,25,10,10,1,97.4,rotate,0,0.0,,,11518.8,4.59,512.0,381.0,238.33333333333334,512.0,380.6666666666667,0.01813252829015255,18.881324768066406,0.07238012552261353,18.808944702148438,0.4276198744773865,32.39189147949219,0.10890018939971924,32.39189147949219,0.10890018939971924,0.9110578894615173,0.1567324995994568
dog_01,P,16,a cat sitting on the grass,25,10,10,1,97.3,rotate,0,0.0,,,11509.1,16.63,118.0,16.0,13.666666666666666,16.0,16.0,0.0023562114220112562,0.264844685792923,0.24591287970542908,0.018931813538074493,0.2540871202945709,48.20365905761719,0.030074119567871094,48.20365905761719,0.030074119567871094,0.9981422424316406,0.01707405596971512
person_00,PF,16,an elderly person with gray hair,25,10,10,1,97.5,rotate,0,0.0,,,11518.8,4.47,512.0,383.0,243.0,512.0,383.0,0.0240631103515625,18.05852699279785,0.11517333984375,17.9433536529541,0.38482666015625,31.948766708374023,0.1117342859506607,31.948766708374023,0.1117342859506607,0.9236960411071777,0.1454813927412033
person_00,P,16,an elderly person with gray hair,25,10,10,1,97.7,rotate,0,0.0,,,11509.1,18.05,77.66666666666667,16.0,13.333333333333334,16.0,16.0,0.0007909139385446906,0.2975770831108093,0.28088223934173584,0.01669483818113804,0.21911777555942535,47.3994255065918,0.027698613703250885,47.3994255065918,0.027698613703250885,0.9972724318504333,0.013967270031571388
person_01,PF,16,an elderly person with gray hair,25,10,10,1,97.6,rotate,0,0.0,,,11518.8,4.41,511.6666666666667,382.0,240.33333333333334,512.0,381.3333333333333,0.028502147644758224,17.844621658325195,0.003667175769805908,17.840953826904297,0.4963328242301941,31.744890213012695,0.11341369152069092,31.744890213012695,0.11341369152069092,0.8737103939056396,0.14230984449386597
person_01,P,16,an elderly person with gray hair,25,10,10,1,97.6,rotate,0,0.0,,,11509.1,16.03,235.66666666666666,16.0,13.0,16.0,16.0,0.0061581931076943874,0.24313730001449585,0.22214236855506897,0.020994924008846283,0.27785763144493103,47.733001708984375,0.03119310736656189,47.733001708984375,0.03119310736656189,0.9962484240531921,0.01724334806203842
