image_id,tau,reachable,k,lpips,psnr,note,acut,dists,metric
horse_03,0.0,True,0.0,0.1446,25.22,φ=0，即 VAE 重建下限,,,
horse_03,0.0864,True,0.5,0.0907,23.06,,0.8737,0.0907,dists
