image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,4.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39548,0.94421,22.605,0.38623,0.10009,0.57176,0.50446,10.631,0.16239,0.29191,0.98824,0.07409,0.77113,0.73259,True,0.837,189.9
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,4.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45251,0.89774,22.148,0.30894,0.18443,0.58216,0.36163,8.548,0.18671,0.32469,1.0,0.07809,0.82896,0.80094,True,0.837,180.1
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,4.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50535,0.88066,18.425,0.28609,0.21449,0.75586,0.1335,7.33,0.1276,0.52158,0.97978,0.11988,0.67991,0.72278,True,0.837,180.0
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,4.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48457,0.96031,29.997,0.27079,0.10903,0.38959,0.62901,12.659,0.63031,0.31003,0.97603,0.03164,0.91729,0.8657,False,0.837,179.9
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,4.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40866,0.93732,24.713,0.41488,0.14573,0.58944,0.37887,8.981,0.39423,0.36636,0.98824,0.05812,0.83281,0.7714,True,0.837,180.0
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,4.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5041,0.94161,26.952,0.42343,0.071,0.81735,0.39736,10.828,0.21639,0.34163,0.96493,0.04492,0.64215,0.60733,True,0.837,180.1
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,4.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4813,0.80822,16.976,0.22942,0.1638,0.60668,0.29351,15.084,0.10518,0.32354,1.0,0.14165,0.90505,0.89762,False,0.837,180.1
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,4.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46879,0.93123,21.821,0.31968,0.1216,0.62638,0.47038,13.808,0.08754,0.4181,0.86275,0.08108,0.67604,0.71218,True,0.837,180.1
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,4.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51628,0.87902,22.392,0.31196,0.16595,0.62134,0.36393,15.119,0.21716,0.41345,0.8,0.07593,0.85331,0.71181,True,0.837,180.1
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,4.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4598,0.90828,21.947,0.4107,0.11925,0.71887,0.28078,7.928,0.07545,0.37906,1.0,0.07992,0.72194,0.69782,True,0.837,180.2
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,4.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49185,0.74225,18.393,0.15092,0.22352,0.6638,0.50606,12.655,0.01356,0.42664,0.97255,0.12032,0.79184,0.84646,False,0.837,180.1
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,4.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53174,0.86304,20.015,0.26858,0.17421,0.63857,0.24725,9.471,0.05744,0.27635,0.98039,0.09983,0.64341,0.61733,True,0.837,180.2
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,4.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,rgb,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51348,0.86112,21.311,0.27611,0.13265,0.77896,0.25618,9.032,0.06943,0.5295,0.99216,0.08599,0.3956,0.48345,True,0.837,181.1
